name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle
GreenStreet,Miami,,,,,,,,N/A,No website found,"Give GreenStreet a digital facelift: boost speed, modernize design, and make Miami shine online."
Root Beer Palace,Miami,,,,,,,,N/A,No website found,"Give Root Beer Palace a refreshing online boost with a modern, fast, and mobile-friendly website."
El Cartel Colombian Restaurant,Miami,FL,194 Southeast 1st Avenue,33131,+1-305-358-7800,,,,N/A,No website found,"Transform El Cartel's online presence with a modern, fast, and mobile-friendly website that serves up a 5-star digital experience."
Wok Town,Miami,,,,,,,,N/A,No website found,"Elevate Wok Town's online presence with a modern, fast, and mobile-friendly website that ignites a culinary flame."
New York Bagel Deli,Miami,,,,,,,,N/A,No website found,"Revamp New York Bagel Deli's Miami website for a fresh, fast, and mobile-friendly experience."
Pollo Tropical,Miami,,,,,,,,N/A,No website found,"Revamp Pollo Tropical's website for a juicy digital experience, boosting online orders and mobile engagement."
Iron Sushi,Miami,FL,120 Southeast 3rd Avenue,33131-2004,+1-305-373-2000,,,,N/A,No website found,"Give Iron Sushi a fresh, high-performing website that showcases its Miami flavors to hungry customers everywhere."
Tre Italian Bistro,Miami,,,,,,,,N/A,No website found,"Revamp Tre Italian Bistro's website to boost online presence, speed, and mobile accessibility, driving Miami foodies to your door."
Camila's Restaurante Brasileiro,Miami,,129 Southeast 1st Avenue,33131,+1 305-375-0992,,,,N/A,No website found,"Elevate Camila's Restaurante Brasileiro's online presence with a vibrant, mobile-friendly website that showcases Miami's Brazilian cuisine."
Sushi Sake,Miami,,,,,,,,N/A,No website found,"Reinvigorate Sushi Sake's online presence with a modern, mobile-friendly website to boost customer engagement and drive sales."
Munchies at Brickell,Miami,,,,,,,,N/A,No website found,"Reboot Munchies at Brickell's online presence with a modern, lightning-fast website that delights Miami foodies."
Chick'n Grill,Miami,FL,250 Southwest 8th Street,33130,+1-786-621-4800,,,,N/A,No website found,"Transform Chick'n Grill's digital presence with a modern, fast, and mobile-friendly website to drive sales and delight Miami customers."
Cozy Corner,Miami,,,,,,,,N/A,No website found,Refresh Cozy Corner's outdated website for a seamless user experience and boost customer engagement in Miami.
Miller's Ale House,Miami,,,,,,,,N/A,No website found,"Revamp Miller's Ale House website for a seamless online experience, boosting sales and customer engagement in Miami."
Primo Cafe and Market,Miami,,3924 Collins Avenue,33140,+1 305-674-1886,,,,N/A,No website found,"Transform Primo Cafe's online presence with a modern, mobile-friendly website to boost customer engagement and sales."
3 Chefs Chinese & Vietnamese Food,Miami,,1800 Biscayne Boulevard,33132,,,,,N/A,No website found,"Transform 3 Chefs' online presence, boosting mobile-friendliness, speed, and discoverability for Miami's diverse food scene."
La Provence French Bakery,Miami,,,,,,,,N/A,No website found,"Revamp La Provence's website for a delicious online presence, boosting sales and delighting Miami's French food lovers."
Sunny's Subs,Miami,,,,,,,,N/A,No website found,"Give Sunny's Subs a fresh Miami vibe online, boosting sales with a speedy, mobile-friendly website transformation."
Subrageous,Miami,,,,,,,,N/A,No website found,"Reboot Subrageous in Miami with a lightning-fast, mobile-friendly website that drives sales and grows your brand."
Taste of Philly,Miami,,3940 Curtiss Parkway,33166,+1-305-456-0481,,,,N/A,No website found,"Give Miami a taste of Philly's speed and style with a fresh, mobile-friendly website that shines."
