name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Moon Massage,Seattle,,1423 North 45th Street,,,,,,N/A,No website,,osm
M Spa,Seattle,,6500 8th Avenue Northwest,98117,,,,,N/A,No website,,osm
Center for Five Element Acupuncture,Seattle,,,,,,,,N/A,No website,,osm
Queen Anne Chiropractic,Seattle,,1905 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Dreamscape Massage,Seattle,WA,619 Broadway East,98102,,,,,N/A,No website,,osm
Ballard Back Clinic,Seattle,,1534 Northwest 56th Street,98107,,,,,N/A,No website,,osm
Dream SPA,Seattle,,1713 Northwest Market Street,98107,,,,,N/A,No website,,osm
GW Relax Station,Seattle,,2034 Northwest Market Street,98107,,,,,N/A,No website,,osm
Two Smiling Feet,Seattle,,600 North 36th Street,98103,,,,,N/A,No website,,osm
Evergreen Chiropractic,Seattle,,1666 East Olive Way,98102,,,,,N/A,No website,,osm
The Pin Cushion,Seattle,,1716 East Olive Way,98102,,,,,N/A,No website,,osm
Chiro One,Seattle,WA,235 Westlake Avenue North,98109,,,,,N/A,No website,,osm
Smiling Art,Seattle,WA,7358 15th Avenue Northwest,98117,,,,,N/A,No website,,osm
Full Circle Natural Medicine,Seattle,,417 Northeast 72nd Street,98115,,,,,N/A,No website,,osm
My Foot Massage,Seattle,WA,824 Northeast 45th Street,98105,+1-206-632-1648,,,,N/A,No website,,osm
Emerald City Massage,Seattle,,5518 Roosevelt Way Northeast,98105,,,,,N/A,No website,,osm
Deep Tissue Sports Massage,Seattle,WA,2714 Elliott Avenue,98121,+1-206-849-2103,,,,N/A,No website,,osm
Wellness Medical Arts,Seattle,WA,9025 35th Avenue Southwest,98126,,,,,N/A,No website,,osm
Tea Family Head Spa,Seattle,WA,10420 Holman Road North,98133,+1-206-789-4222,,,,N/A,No website,,osm
The One Massage,Seattle,,7903 Aurora Avenue North,98103,+1-206-484-9215,,,,N/A,No website,,osm
Acu-Herb Healing Center,Seattle,,9841 Aurora Avenue North,98103,+1-206-525-5120,,,,N/A,No website,,osm
Mildred+Gertrude,Seattle,,2809 East Madison Street,98112,,,,,N/A,No website,,osm
35th Avenue Chiropractic,Seattle,WA,9455 35th Avenue Southwest,98126,,,,,N/A,No website,,osm
Maple Village Spa,Seattle,,,,,,,,N/A,No website,,osm
Whole Health Wellness Center,Seattle,,2206 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Seattle Body Massage,Seattle,WA,1220 South Jackson Street,98144,,,,,N/A,No website,,osm
Swing,Seattle,,2423 East Union Street,98122,,,,,N/A,No website,,osm
Diamond Spa,Seattle,WA,303 12th Avenue South,98144,+1-206-637-5040,,,,N/A,No website,,osm
Canna West Culture Shop,Seattle,,5435 California Avenue Southwest,98136,,,,,N/A,No website,,osm
Safe Haven Massage,Seattle,WA,4518 Fauntleroy Way Southwest,98126,,,,,N/A,No website,,osm
Fauntleroy Chiropractic,Seattle,WA,4154 California Avenue Southwest,98116,,,,,N/A,No website,,osm
West Seattle Chiropractic Clinic,Seattle,WA,4137 California Avenue Southwest,98116,,,,,N/A,No website,,osm
Inner Alchemy,Seattle,WA,4312 Southwest Oregon Street,98116,,,,,N/A,No website,,osm
Ageless Acupuncture,Seattle,WA,1515 1st Avenue,98101,,,,,N/A,No website,,osm
H Spa,Seattle,,121 North 85th Street,98103,,,,,N/A,No website,,osm
Relaxing Station,Seattle,WA,2019 Northwest Market Street,98107,+1-425-655-5555,,,,N/A,No website,,osm
North Star Chiropractic,Seattle,,820 Northeast Northgate Way,98125,,,,,N/A,No website,,osm
Massage,Seattle,WA,620 South Jackson Street,98104,,,,,N/A,No website,,osm
Massage Spa,Seattle,WA,624 South Jackson Street,98104,,,,,N/A,No website,,osm
Ruby Spa Massage,Seattle,WA,654 South Jackson Street,98104,,,,,N/A,No website,,osm
Amasia Acupuncture Massage Herbs Center,Seattle,WA,621 South Weller Street,98104,,,,,N/A,No website,,osm
Quynh Huong,Seattle,WA,1233 South Jackson Street,98144,,,,,N/A,No website,,osm
West Seattle Neighborhood Chiropractic,Seattle,WA,2140 California Avenue Southwest,98116,,,,,N/A,No website,,osm
Soma Right Massage,Seattle,WA,9260 57th Avenue South,98118,,,,,N/A,No website,,osm
Seattle Northeast Chiropractic,Seattle,,11734 15th Avenue Northeast,98125,,,,,N/A,No website,,osm
Evergreen Massage,Seattle,,812 Northwest 65th Street,98117,,,,,N/A,No website,,osm
The Little Massage,Seattle,WA,12304 Lake City Way Northeast,98125,,,,,N/A,No website,,osm
Bomei Massage,Seattle,WA,3309 Northeast 125th Street,98125,+1-206-420-4783,,,,N/A,No website,,osm
Green Lake Natural Health,Seattle,,8113 Stone Avenue North,98103,+1-206-926-9494,,,,N/A,No website,,osm
Ravenna Homeopathic Clinic,Seattle,,3711 Northeast 45th Street,98105,,,,,N/A,No website,,osm
Sand Point Chiropractic,Seattle,,5418 Sand Point Way Northeast,98105,,,,,N/A,No website,,osm
East West Massage,Seattle,WA,661 South Jackson Street,98104,,,,,N/A,No website,,osm
ONE Bodywork,Seattle,,521 15th Avenue East,,,,,,N/A,No website,,osm
Joyful Soul Wellness,Seattle,,8606 35th Avenue Northeast,,,,,,N/A,No website,,osm
MassageWorks,Seattle,WA,159 Denny Way,98109,,,,,N/A,No website,,osm
Hillclimb Chiropractic Clinic,Seattle,WA,1409 5th Avenue,98101,,,,,N/A,No website,,osm
Reflex Massage,Seattle,WA,4459 Fremont Avenue North,98103,,,,,N/A,No website,,osm
Evergreen Tree Massage,Seattle,,8536 Greenwood Avenue North,98103,+1-206-724-6170,,,,N/A,No website,,osm
Roosevelt Chiropractic,Seattle,,,,,,,,N/A,No website,,osm
In Touch With Health,Seattle,,1111 North Northgate Way,98133,,,,,N/A,No website,,osm
One More Spa,Seattle,,1115 North Northgate Way,98133,,,,,N/A,No website,,osm
Long Chiropractic,Seattle,,,,,,,,N/A,No website,,osm
Pain Treatment & Wellness Center,Seattle,WA,2445 4th Avenue South,,+1-206-467-7202,,,,N/A,No website,,osm
Columbia City Chiropractic,Seattle,,,,,,,,N/A,No website,,osm
Massage For Seattle Inc.,Seattle,,4906 Rainier Avenue South,,,,,,N/A,No website,,osm
