name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Massage Etoile,Atlanta,,857 Collier Road Northwest,,,,,,N/A,No website,,osm
Healthy Massage,Atlanta,GA,2355 Cumberland Parkway Southeast,30339,,,,,N/A,No website,,osm
Lenox Massage & Spa,Atlanta,GA,2770 Lenox Road,30324,+1 404 600 3180,,,,N/A,No website,,osm
Massage Envy,Atlanta,,,,,,,,N/A,No website,,osm
T-Massage,Atlanta,,,,,,,,N/A,No website,,osm
ZR Massage,Atlanta,,821 Concord Road Southeast,,,,,,N/A,No website,,osm
LaVida Massage,Atlanta,,1200 South Cobb Drive,,,,,,N/A,No website,,osm
Chiropractic Specialists,Atlanta,,1154 Concord Road Southeast,,,,,,N/A,No website,,osm
Tiny House Massage,Atlanta,GA,181 Flat Shoals Avenue Southeast,30316,,,,,N/A,No website,,osm
Ease Wellness Chiropractic,Atlanta,GA,210 Bill Kennedy Way,30316,,,,,N/A,No website,,osm
Atlanta Chiropractic & Wellness Center,Atlanta,,,,,,,,N/A,No website,,osm
Acupuncture Herb & Wellness Center,Atlanta,,,,,,,,N/A,No website,,osm
H Massage,Atlanta,,,,,,,,N/A,No website,,osm
DL Massage,Atlanta,,,,,,,,N/A,No website,,osm
Q Massage,Atlanta,,,,,,,,N/A,No website,,osm
I Heart Massage,Atlanta,,1248 Clairmont Road,,+1-678-705-1902,,,,N/A,No website,,osm
Barefoot Massage Health Spa,Atlanta,,826 Juniper Street Northeast,,,,,,N/A,No website,,osm
M3 Chiropractic Sports Medicine,Atlanta,,2080 Defoor Avenue Northwest,,,,,,N/A,No website,,osm
HealthSource,Atlanta,,857 Collier Road Northwest,,,,,,N/A,No website,,osm
Oasis Spa,Atlanta,,1640 Northside Drive Northwest,,,,,,N/A,No website,,osm
Mother Earth's Blessing,Atlanta,,1830 Cheshire Bridge Road,,+1-678-760-9299,,,,N/A,No website,,osm
