name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Taylors Scottsdale,Phoenix,,,,,,,,N/A,No website,"Create a stunning online presence for Taylors Scottsdale, showcasing their luxurious properties and exceptional services.",osm
Discount Tire,Phoenix,,,,,,,,N/A,No website,"Let's roll out a website for Discount Tire Phoenix, elevating customer experience and tire sales nationwide.",osm
Mendozas Auto Interiors Inc,Phoenix,,,,,,,,N/A,No website,"Transform your online presence, Mendozas Auto Interiors Inc, and showcase your expertise to Phoenix's automotive community.",osm
Road Runner Tire Shop & Window,Glendale,AZ,5604 West Glendale Avenue,85301,,,,,N/A,No website,"Bring Road Runner Tire Shop & Window's expertise online, reaching more customers in Glendale, Arizona, with a modern website.",osm
Tire Masters,Glendale,AZ,6001 West Glendale Avenue,85301,,,,,N/A,No website,"Elevate Tire Masters' visibility and drive customer loyalty with a professional, user-friendly online presence.",osm
NASA Automotive Electric,Glendale,AZ,6132 West Glendale Avenue,85301,,,,,N/A,No website,"Rev up your online presence with a website that showcases NASA's innovative electric vehicles in Glendale, AZ.",osm
AN Auto Repair,Glendale,AZ,6133 West Glendale Avenue,85301,,,,,N/A,No website,Get found by Glendale drivers with a professional website showcasing your auto repair services.,osm
Adolphs Automatic Transmission,Glendale,AZ,6626 West Glendale Avenue,85301,,,,,N/A,No website,"Get online with Adolphs Automatic Transmission and shift your business into high gear in Glendale, AZ.",osm
Valenzuela Tire Shop,Glendale,AZ,5506 West Glendale Avenue,85301,,,,,N/A,No website,"Establish a strong online presence through a simple, informative website for Valenzuela Tire Shop in Glendale, AZ.",osm
Dap Auto Care,Phoenix,,,,,,,,N/A,No website,Establish a strong online presence with a custom website that showcases Dap Auto Care's services and expertise.,osm
San Martin Tire Shop,Phoenix,,,,,,,,N/A,No website,Build a website for San Martin Tire Shop to showcase services and reach a wider Phoenix customer base.,osm
Amigo Tire Shop,Glendale,AZ,5902 West Maryland Avenue,85301,,,,,N/A,No website,"Help Amigo Tire Shop in Glendale, AZ, roll out a website to boost customer engagement.",osm
Taylor's Gas & Auto,Glendale,AZ,7504 West Glendale Avenue,85303,,,,,N/A,No website,Establish an online presence with Taylor's Gas & Auto to serve customers more efficiently and effectively.,osm
used tires,Phoenix,,,,,,,,N/A,No website,Drive more sales with a website that showcases your used tires and sets you apart in Phoenix.,osm
Hal's Radiator Service,Phoenix,,,,,,,,N/A,No website,Help Hal's Radiator Service shine in Phoenix with a website that cools competition and heats sales.,osm
911 Auto Sales,Glendale,AZ,7941 West Glendale Avenue,85303,,,,,N/A,No website,Get found online and sell more cars with a website that showcases your pre-owned vehicles.,osm
AFAB Upholstery,Phoenix,,,,,,,,N/A,No website,"Bring your furniture to life with expert reupholstery services from AFAB Upholstery in Phoenix, Arizona.",osm
Kar Buffs Auto Detail,Phoenix,,,,,,,,N/A,No website,Give your business a showroom shine with a professional website for Kar Buffs Auto Detail in Phoenix.,osm
Auto Air & Electric,Phoenix,,,,,,,,N/A,No website,Boost your auto repair shop's credibility and attract more customers with a modern website presence.,osm
Auto & Truck Care Center,Peoria,AZ,8355 West Grand Avenue,85345,,,,,N/A,No website,Get online and grow your auto repair business with a professional website that showcases your services.,osm
Auto Glass Now,Phoenix,,,,,,,,N/A,No website,Help Phoenix drivers find you: create a website to showcase auto glass services and repair expertise.,osm
Automotive Services Incorporated,Phoenix,,,,,,,,N/A,No website,"Elevate your brand, attract more customers, and rev up your sales with a sleek new website for Automotive Services.",osm
Automotive Transmisson Experts,Phoenix,,,,,,,,N/A,No website,Gear up for online success with an expertly crafted website for Automotive Transmission Experts in Phoenix.,osm
Pit Stop Performance,Phoenix,,,,,,,,N/A,No website,Pit Stop Performance: Your one-stop-shop for high-performance car tuning in the heart of Phoenix.,osm
Chaney's Collision Centers,Phoenix,,,,,,,,N/A,No website,Establish a strong online presence for Chaney's Collision Centers to showcase services and attract local customers.,osm
West Side Auto Repairs,Peoria,AZ,7961 West Market Street,85345,,,,,N/A,No website,We'll get you back in gear with a website that showcases West Side Auto Repairs' expertise and services.,osm
Clayton's Automotive,Peoria,AZ,7961 West Gold Dust Avenue,85345,+1-623-934-7950,,,,N/A,No website,"Help Clayton's Automotive shine online, reaching Peoria's car owners with a user-friendly and informative website presence.",osm
