name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Krispy Kreme,Dallas,,,,,,,,N/A,No website,,osm
Hook Line & Sinker,Dallas,,,,,,,,N/A,No website,,osm
Breadwinner's Bakery Cafe,Dallas,,,,,,,,N/A,No website,,osm
Buli's Cafe Bakery,Dallas,,,,,,,,N/A,No website,,osm
Snuffers,Dallas,,,,,,,,N/A,No website,,osm
Lucky's,Dallas,,,,,,,,N/A,No website,,osm
La Victoria,Dallas,,,,,,,,N/A,No website,,osm
Vietnam Restaurant Bar & Grill,Dallas,,,,,,,,N/A,No website,,osm
Wing-Stop,Dallas,,,,,,,,N/A,No website,,osm
Inwood Theater Lounge,Dallas,,,,,,,,N/A,No website,,osm
H Buffet,Dallas,,,,,,,,N/A,No website,,osm
Cicis,Dallas,,,,,,,,N/A,No website,,osm
On The Border,Dallas,,,,,,,,N/A,No website,,osm
Uno 1 China Super Buffet,Irving,TX,,,,,,,N/A,No website,,osm
Oceanaire Seafood,Dallas,,,,,,,,N/A,No website,,osm
Grand Lux Cafe,Dallas,,,,,,,,N/A,No website,,osm
The Grill on the Alley,Dallas,,,,,,,,N/A,No website,,osm
Second Floor Bistro,Dallas,,,,,,,,N/A,No website,,osm
Bonchon Chicken,Dallas,TX,3036 Mockingbird Lane,75205,,,,,N/A,No website,,osm
The Goat,Dallas,,,,,,,,N/A,No website,,osm
Loca Luna,Dallas,,,,,,,,N/A,No website,,osm
Sonny Bryan's Steakhouse,Dallas,,,,,,,,N/A,No website,,osm
Paradise Bakery & Café,Dallas,TX,13710 Dallas Parkway,75240,,,,,N/A,No website,,osm
Hunky's Old Fashioned Hamburgers,Dallas,TX,321 North Bishop Avenue,75208,,,,,N/A,No website,,osm
El Jordan Cafe,Dallas,TX,416 North Bishop Avenue,75208,,,,,N/A,No website,,osm
Espumoso Caffe,Dallas,,408 North Bishop Avenue,,,,,,N/A,No website,,osm
Veracruz Cafe,Dallas,,,,,,,,N/A,No website,,osm
Jason's Deli,Richardson,,101 South Coit Road,,+1-972-437-9156,,,,N/A,No website,,osm
Dickies BBQ,Dallas,,5330 North Macarthur Boulevard,,,,,,N/A,No website,,osm
Dubliner,Dallas,,,,,,,,N/A,No website,,osm
Bread Winners,Dallas,,,,,,,,N/A,No website,,osm
Boston Market,Dallas,,,,,,,,N/A,No website,,osm
Taco Bueno,Irving,TX,North Belt Line Road,,,,,,N/A,No website,,osm
Schlotzsky's,Dallas,TX,8235 North Stemmons Freeway,75247,+1-214-630-9944,,,,N/A,No website,,osm
Schlotzsky's,Farmers Branch,TX,13881 Midway Road,75244,+1-972-239-8002,,,,N/A,No website,,osm
Schlotzsky's,Grand Prairie,TX,795 Small Street,75050,+1-972-263-2370,,,,N/A,No website,,osm
Princi Italia,Dallas,,,,,,,,N/A,No website,,osm
Mustang Donuts,Dallas,TX,6601 Hillcrest Avenue,75205,,,,,N/A,No website,,osm
La Madeleine Country French Café,Dallas,TX,3072 Mockingbird Lane,75205,,,,,N/A,No website,,osm
East Hampton Sandwich Co.,Dallas,TX,6912 75205 Snider Plaza,75205,,,,,N/A,No website,,osm
Short Stop Food to Go,Dallas,TX,6920 Snider Plaza,75205,,,,,N/A,No website,,osm
Burger House,Dallas,TX,6913 Hillcrest Avenue,75205,,,,,N/A,No website,,osm
Cava Digital Kitchen,Dallas,TX,6800 Snider Plaza,75205,,,,,N/A,No website,,osm
Joy Luck,Grand Prairie,TX,402 East Main Street,75051,+1-972-262-8188,,,,N/A,No website,,osm
Sí Tapas,Dallas,,,,,,,,N/A,No website,,osm
Dickey's,Dallas,,,,,,,,N/A,No website,,osm
Campisi’s,Dallas,,,,,,,,N/A,No website,,osm
Dickey’s Barbecue Pit,Dallas,,,,,,,,N/A,No website,,osm
Pagoda Asian Grill by P.F. Chang's,Dallas,,,,,,,,N/A,No website,,osm
Jason's Deli,Dallas,,,,,,,,N/A,No website,,osm
Tony's Italian,Dallas,,,,,,,,N/A,No website,,osm
Dallas Diner,Dallas,,,,,,,,N/A,No website,,osm
Charlie's Tavern & Kitchen,Dallas,,,,,,,,N/A,No website,,osm
Mexicali,Dallas,,,,,,,,N/A,No website,,osm
Chinese,Dallas,,,,,,,,N/A,No website,,osm
Hot Breads,Dallas,,5330 North Macarthur Boulevard,,,,,,N/A,No website,,osm
Lovers Egg Roll,Dallas,,5330 North Macarthur Boulevard,,,,,,N/A,No website,,osm
Keller's Drive-In,Dallas,TX,6537 East Northwest Highway,,,,,,N/A,No website,,osm
CAVA,Dallas,,8018 Park Lane North,,,,,,N/A,No website,,osm
The Cheesecake Factory,Dallas,,,,,,,,N/A,No website,,osm
Corner Bakery,Dallas,,,,,,,,N/A,No website,,osm
Classic Chicago Gourmet Pizza,Dallas,,,,,,,,N/A,No website,,osm
Zeytin Mediterranean Grill,Dallas,,,,,,,,N/A,No website,,osm
Noodle Wave,Richardson,TX,1490 W Spring Valley Rd W Spring Valley Road,75080,,,,,N/A,No website,,osm
Tara's Big and Juicy Burgers,Duncanville,TX,215 West Camp Wisdom Road,75116,+1-972-913-4907,,,,N/A,No website,,osm
Taco Casa,Dallas,TX,12950 Coit Road,75243,,,,,N/A,No website,,osm
The Dram,Dallas,,,,,,,,N/A,No website,,osm
The Halal Guys,Dallas,,,,,,,,N/A,No website,,osm
Pho 88,Dallas,TX,West 7th Street,75208,,,,,N/A,No website,,osm
Chan Thai Restaurant,Dallas,TX,312 West 7th Street,75208,,,,,N/A,No website,,osm
Dallas Grilled Cheese Company,Dallas,TX,310 West 7th Street,75208,,,,,N/A,No website,,osm
Crave Doughnut,Dallas,,,,+1-214-377-8415,,,,N/A,No website,,osm
Potbelly,Dallas,,,,,,,,N/A,No website,,osm
Jake's,Dallas,,,,,,,,N/A,No website,,osm
Afrah,Dallas,,,,,,,,N/A,No website,,osm
