name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Ger's Brake Service,Dallas,,,,+1-214-946-7380,,,,N/A,No website,Get back on the road with a professional online presence for Ger's Brake Service in Dallas.,osm
Grand Prairie Ford Service and Auto Repair Center,Dallas,,,,,,,,N/A,No website,Elevate your Grand Prairie service center's reputation with a user-friendly website showcasing trusted expertise and exceptional care.,osm
TintandAudio,Dallas,,,,,,,,N/A,No website,Get seen in the Lone Star State with a website that shines like TintandAudio's top-notch services.,osm
Kwik Kar,Dallas,,,,,,,,N/A,No website,Get your business online and ahead of the competition with a modern Kwik Kar website.,osm
German Motor Works,Dallas,,,,,,,,N/A,No website,Get online and rev up your sales with a custom website for German Motor Works in Dallas.,osm
Grimes Truck & Auto Parts,Dallas,,,,,,,,N/A,No website,Get your wheels rolling with a website that drives sales for Grimes Truck & Auto Parts.,osm
C&M Discount Tire,Dallas,,,,,,,,N/A,No website,Let's get C&M Discount Tire online and filling the tires of Dallas' car owners' needs.,osm
Lake Highlands Automotive,Dallas,,,,,,,,N/A,No website,Help Lake Highlands Automotive stand out with a sleek online presence that showcases services and builds customer trust.,osm
5 STAR EUROPEAN AUTO BODY & REPAIR,Dallas,TX,10233 North Central Expressway,75231,,,,,N/A,No website,"We'll drive more customers to your Dallas auto body shop with a sleek, high-performing website.",osm
"Top Choice - Wheels, Tires, & Autocare",Dallas,,,,,,,,N/A,No website,Get your wheels turning online - let's create a website that drives business to Top Choice.,osm
Christian Brothers Automotive Valley Ranch,Irving,TX,600 Valley Ranch Parkway South,75063,+19724573002,,,,N/A,No website,Get your trust in Christian Brothers Automotive Valley Ranch online with a website that showcases your exceptional service.,osm
Atomic Auto Repair,Dallas,,,,,,,,N/A,No website,Help Atomic Auto Repair drive more customers to their doorstep with a modern online presence.,osm
State Auto Parts,Dallas,,,,,,,,N/A,No website,"Bring State Auto Parts online, increasing visibility, sales, and customer convenience in the competitive Dallas market.",osm
Car Toys,Dallas,,,,,,,,N/A,No website,Let's gear up your business with a website that speeds up sales and drives more customers to Car Toys in Dallas.,osm
Firestone,Dallas,,,,,,,,N/A,No website,Create a modern website for Firestone in Dallas to boost customer engagement and sales.,osm
Pep Boys,Irving,TX,1950 North Belt Line Road,75061,,,,,N/A,No website,"Bring Pep Boys Irving online, reaching 200,000+ customers and increasing sales by leveraging a user-friendly website.",osm
Tesla Collision Dallas,Dallas,TX,6519 Cedar Springs Road,75235,,,,,N/A,No website,"We'll create a website for Tesla Collision Dallas, showcasing services and expertise in electric vehicle repairs.",osm
Pep Boys,Dallas,,,,,,,,N/A,No website,Bring Pep Boys into the digital age with a user-friendly website showcasing auto repair services in Dallas.,osm
Dallas Auto Hospital,Dallas,,,,,,,,N/A,No website,Establish a strong online presence for Dallas Auto Hospital through a custom-built website showcasing services and expertise.,osm
Safeplace Automotive,Dallas,TX,1835 Empire Central Drive,75235,,,,,N/A,No website,"Create a user-friendly website to showcase Safeplace Automotive's services, showcase reviews, and establish a strong online presence.",osm
Dallas Dent Company,Dallas,,,,,,,,N/A,No website,Elevate your dental care reputation in Dallas with a modern website showcasing services and expertise.,osm
Sewell GMC Service,Dallas,,,,,,,,N/A,No website,Elevate your customer experience with a professional website showcasing Sewell GMC Service in Dallas.,osm
Sewell Cadillac Service,Dallas,,,,,,,,N/A,No website,"Create a website showcasing Sewell Cadillac Service's expertise, trust, and luxury experience in Dallas, Texas.",osm
Professional Auto Repair,Dallas,,,,,,,,N/A,No website,Get your Dallas business online with a website that sets your auto repair shop apart from the competition.,osm
Honcura Car Repair,Dallas,,105 North Story Road,75061,+19723990455,,,,N/A,No website,"Build a website that puts Honcura Car Repair on the map, literally.",osm
