name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Out of the Closet,Los Angeles,,,,,,,,N/A,No website,,osm
Camille DePedrini Boutique,South Pasadena,CA,1516 Mission Street,91030,+1 626-441-7868,,,,N/A,No website,,osm
Rue De Mimo,Los Angeles,,,,,,,,N/A,No website,,osm
Adobe Design,South Pasadena,CA,1506 Mission Street,91030,,,,,N/A,No website,,osm
Hans Gift Shop,Los Angeles,,,,,,,,N/A,No website,,osm
Aeropostale,Los Angeles,,,,+1 323-726-1017,,,,N/A,No website,,osm
Calvin Klein,Los Angeles,,,,+1-323-726-9660,,,,N/A,No website,,osm
Puma,Los Angeles,,,,+1-323-722-1320,,,,N/A,No website,,osm
DXL Men's Apparel,Los Angeles,,,,,,,,N/A,No website,,osm
Gap,Los Angeles,,,,,,,,N/A,No website,,osm
Reebok,Los Angeles,,,,,,,,N/A,No website,,osm
Urban Outfitters,Los Angeles,,,,,,,,N/A,No website,,osm
Harari,Los Angeles,,,,,,,,N/A,No website,,osm
Aerosoles,Los Angeles,,,,,,,,N/A,No website,,osm
Billabong,Los Angeles,,,,,,,,N/A,No website,,osm
Columbia,Los Angeles,,,,+1-323-726-2182,,,,N/A,No website,,osm
DKNY,Los Angeles,,,,+1-323-728-8996,,,,N/A,No website,,osm
H&M,Los Angeles,,,,,,,,N/A,No website,,osm
Nike,Los Angeles,,,,+1-323-720-1684,,,,N/A,No website,,osm
Old Navy,Los Angeles,,,,+1-323-726-0432,,,,N/A,No website,,osm
OshKosh B'gosh,Los Angeles,,,,+1-323-727-6780,,,,N/A,No website,,osm
Quiksilver,Los Angeles,,,,+1-323-887-1574,,,,N/A,No website,,osm
Tommy Hilfiger,Los Angeles,,,,,,,,N/A,No website,,osm
U.S. Polo Assn.,Los Angeles,,,,,,,,N/A,No website,,osm
United Colors of Benetton,Los Angeles,,,,,,,,N/A,No website,,osm
Men's Wearhouse,Los Angeles,,,,,,,,N/A,No website,,osm
Rainbow,Los Angeles,,,,,,,,N/A,No website,,osm
West Plaza,Los Angeles,,,,,,,,N/A,No website,,osm
Old Navy,Manhattan Beach,CA,1800 Rosecrans Avenue,90266,,,,,N/A,No website,,osm
David's Bridal,Los Angeles,,,,,,,,N/A,No website,,osm
"BAIT TACKLE ""The Last Stop Shop""",Los Angeles,,,,,,,,N/A,No website,,osm
Vintage,Los Angeles,,,,,,,,N/A,No website,,osm
Production Central,Universal City,CA,100 Universal City Plaza,91608,,,,,N/A,No website,,osm
Nordstrom Rack,Los Angeles,,,,,,,,N/A,No website,,osm
PacSun,Los Angeles,,,,+1-323-726-1987,,,,N/A,No website,,osm
Agent Provocateur,Beverly Hills,CA,242 North Rodeo Drive,90210,,,,,N/A,No website,,osm
Barbara Bui,Beverly Hills,CA,405 North Rodeo Drive,90210,,,,,N/A,No website,,osm
Brooks Brothers,Beverly Hills,,468 North Rodeo Drive,,,,,,N/A,No website,,osm
