name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Hotel Churchill,New York,NY,,,,,,,N/A,No website,,osm
Country Inn & Suites by Carlson,New York,NY,40-34 Crescent Street,,,,,,N/A,No website,,osm
Amsterdam Inn,New York,,,,,,,,N/A,No website,,osm
The Frederick Hotel,New York,,,,,,,,N/A,No website,,osm
Latham,New York,NY,4 East 28th Street,,,,,,N/A,No website,,osm
"The Standard, East Village",New York,,25 Cooper Square,10003,+1-212-475-5700,,,,N/A,No website,,osm
Clarion Hotel Park Avenue,New York,,,,,,,,N/A,No website,,osm
adour alan ducasse,New York,,,,,,,,N/A,No website,,osm
TRYP,New York,,,,,,,,N/A,No website,,osm
Hotel Chelsea,New York,,222 West 23rd Street,10011,,,,,N/A,No website,,osm
Roger Smith Hotel,New York,,,,,,,,N/A,No website,,osm
The Gatsby Hotel,New York,,135 East Houston Street,10002,,,,,N/A,No website,,osm
Red Carpet Inn,New York,,980 Wyckoff Avenue,,+1-718-417-4111,,,,N/A,No website,,osm
Renaissance New York Times Square Hotel,New York,,,,,,,,N/A,No website,,osm
Americana Inn,New York,,69 West 38th Street,10018,,,,,N/A,No website,,osm
70 Park Avenue Hotel,New York,NY,70 Park Avenue,10016,+1 212-973-2400,,,,N/A,No website,,osm
House ZAZA,New York,,330 East 100th Street,10029,,,,,N/A,No website,,osm
Hotel91,New York,NY,91 East Broadway,10002,,,,,N/A,No website,,osm
La Quinta Inn,New York,,37-18 Queens Boulevard,11101,,,,,N/A,No website,,osm
Crown Motel,New York,,74-01 Queens Boulevard,11373,+1 718-446-1414,,,,N/A,No website,,osm
Hotel Boutique,New York,,,,,,,,N/A,No website,,osm
Club Quarters Hotel,New York,,128 East 45th Street,10017,+1 212-986-6400,,,,N/A,No website,,osm
Sunshine Hotel,New York,NY,245 Bowery,10002,,,,,N/A,No website,,osm
The Boro Hotel,Queens,NY,27th Street,11101,,,,,N/A,No website,,osm
Mint House,New York,,70 Pine Street,,,,,,N/A,No website,,osm
Efuru Guest House,New York,,,,,,,,N/A,No website,,osm
Ruby & Emrys,New York,,,11228,,,,,N/A,No website,,osm
casa reservada para vacaciones,New York,,,,,,,,N/A,No website,,osm
