name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Hampshire House,Boston,MA,84 Beacon Street,02108,,,,,N/A,No website,,osm
Le Meridien Cambridge-MIT,Cambridge,MA,20 Sidney Street,02139,,,,,N/A,No website,,osm
Inn at Longwood Medical,Boston,,,,,,,,N/A,No website,,osm
Mary Prentiss Inn,Cambridge,MA,6 Prentiss Street,02138,,,,,N/A,No website,,osm
Harborside Inn,Boston,,165 State Street,02109,+1 617-723-7500,,,,N/A,No website,,osm
Churchill at Boston View,Boston,,,,,,,,N/A,No website,,osm
The Bostonian Boston,Boston,,,,,,,,N/A,No website,,osm
Oakwood at Downtown Boston,Boston,,,,,,,,N/A,No website,,osm
Churchill At The Radian,Boston,,,,,,,,N/A,No website,,osm
Copley Inn,Boston,,,,,,,,N/A,No website,,osm
The Charles Hotel,Boston,,,,,,,,N/A,No website,,osm
Quarters on Dots,Boston,,80 Dorchester Street,,,,,,N/A,No website,,osm
Hotel Veritas,Cambridge,MA,1 Remington Street,02138,,,,,N/A,No website,,osm
The Row Hotel at Assembly Row,Somerville,MA,360 Foley Street,02145,,,,,N/A,No website,,osm
Hotel Aka,Boston,MA,154 Berkeley Street,02116,,,,,N/A,No website,,osm
