name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Urban Outfitters,Dallas,,,,,,,,N/A,No website,,osm
Dirt,Dallas,TX,417 North Bishop Avenue,75208,,,,,N/A,No website,,osm
Zola's Everyday Vintage,Dallas,TX,414 North Bishop Avenue,75208,,,,,N/A,No website,,osm
Ouch! Fashion,Dallas,,,,,,,,N/A,No website,,osm
Melanie Gayle,Dallas,TX,6818 Snider Plaza,75205,,,,,N/A,No website,,osm
The Blue Jeans Bar,Dallas,TX,6810 Snider Plaza,75205,,,,,N/A,No website,,osm
Edible Arrangements,Dallas,,,,,,,,N/A,No website,,osm
Kidswap Consignment Shop,Dallas,,,,,,,,N/A,No website,,osm
DXL Men's Apparel,Dallas,,,,,,,,N/A,No website,,osm
Baley's Bridal,Dallas,,,,,,,,N/A,No website,,osm
Tiffany & Company,Dallas,,,,,,,,N/A,No website,,osm
Mama's Jewelry,Dallas,,,,,,,,N/A,No website,,osm
Melrose,Dallas,,,,,,,,N/A,No website,,osm
Opportunity Market,Dallas,TX,North Bishop Avenue,75208,,,,,N/A,No website,,osm
Just Add Jeans,Dallas,TX,320 West 7th Street,75208,+1-214-943-9335,,,,N/A,No website,,osm
Favor the Kind,Dallas,,2928 North Henderson Avenue,,,,,,N/A,No website,,osm
Epic Apparel,Dallas,,,,,,,,N/A,No website,,osm
J.Crew,Dallas,,,,,,,,N/A,No website,,osm
Lorna Jane,Dallas,,,,,,,,N/A,No website,,osm
Tommy Bahama,Dallas,,,,,,,,N/A,No website,,osm
Suitsupply,Dallas,TX,3700 McKinney Avenue,75204,+1-214-643-8556,,,,N/A,No website,,osm
Wild Bill's Western Store,Dallas,,,,,,,,N/A,No website,,osm
Nordstrom Rack,Dallas,,,,,,,,N/A,No website,,osm
Soybu Bliss,Dallas,,,,,,,,N/A,No website,,osm
Shoppers World,Dallas,,,,,,,,N/A,No website,,osm
Victoria's Secret,Dallas,,,,,,,,N/A,No website,,osm
rue21,Dallas,,,,,,,,N/A,No website,,osm
Kay Jewelers,Dallas,,,,,,,,N/A,No website,,osm
Aeropostale,Dallas,,,,,,,,N/A,No website,,osm
American Eagle Outfitters,Dallas,,,,,,,,N/A,No website,,osm
The Children's Place,Dallas,,,,,,,,N/A,No website,,osm
Lids,Dallas,,,,,,,,N/A,No website,,osm
Helzberg Diamonds,Dallas,,,,,,,,N/A,No website,,osm
Zales,Dallas,,,,,,,,N/A,No website,,osm
Express,Dallas,,,,,,,,N/A,No website,,osm
Hot Topic,Dallas,,,,,,,,N/A,No website,,osm
Spencer's,Dallas,,,,,,,,N/A,No website,,osm
Thrift World of Dallas,Dallas,,,,,,,,N/A,No website,,osm
Old Navy,Dallas,,,,,,,,N/A,No website,,osm
Eddie Bauer,Dallas,,,,,,,,N/A,No website,,osm
Fans United,Dallas,,,,,,,,N/A,No website,,osm
Tory Burch,Dallas,,,,,,,,N/A,No website,,osm
Lululemon,Dallas,,,,,,,,N/A,No website,,osm
Nike,Dallas,,,,,,,,N/A,No website,,osm
Louis Vuitton,Dallas,,,,,,,,N/A,No website,,osm
Pink,Dallas,,,,,,,,N/A,No website,,osm
Anthropologie,Dallas,,,,,,,,N/A,No website,,osm
Vineyard Vines,Dallas,,,,,,,,N/A,No website,,osm
Gap,Dallas,,,,,,,,N/A,No website,,osm
Ann Taylor,Dallas,,,,,,,,N/A,No website,,osm
Swarovski,Dallas,,,,,,,,N/A,No website,,osm
Pandora,Dallas,,,,,,,,N/A,No website,,osm
Martini Consignment,Dallas,,,,,,,,N/A,No website,,osm
Lake Highlands Flowers,Dallas,TX,9661 Audelia Road,75238,,,,,N/A,No website,,osm
The Store in Lake Highlands,Dallas,,,,,,,,N/A,No website,,osm
Sample House,Dallas,,9440,,,,,,N/A,No website,,osm
St. Bernard,Dallas,,,,,,,,N/A,No website,,osm
Koslow's Furs,Dallas,,,,,,,,N/A,No website,,osm
Lands' End,Dallas,,,,,,,,N/A,No website,,osm
OshKosh B'gosh,Dallas,,,,,,,,N/A,No website,,osm
Carter's,Dallas,,,,,,,,N/A,No website,,osm
Torrid,Dallas,,,,,,,,N/A,No website,,osm
Men's Wearhouse,Dallas,,,,,,,,N/A,No website,,osm
Zara,Dallas,,,,,,,,N/A,No website,,osm
Club Monaco,Dallas,,,,,,,,N/A,No website,,osm
Armani Exchange,Dallas,,,,,,,,N/A,No website,,osm
Michael Kors,Dallas,,,,,,,,N/A,No website,,osm
Lucky Brand,Dallas,,,,,,,,N/A,No website,,osm
Gucci,Dallas,,,,,,,,N/A,No website,,osm
Bachendorf's Jewelers,Dallas,,,,,,,,N/A,No website,,osm
Marciano,Dallas,,,,,,,,N/A,No website,,osm
Aerie,Dallas,,,,,,,,N/A,No website,,osm
Zumiez,Dallas,,,,,,,,N/A,No website,,osm
Buckle,Dallas,,,,,,,,N/A,No website,,osm
Apricot Lane,Dallas,,,,,,,,N/A,No website,,osm
