name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Varsity Tennis Courts,Tampa,,,,,,,,N/A,No website,,osm
Recreation Center,Tampa,FL,,,,,,,N/A,No website,,osm
Physical Education Building,Tampa,FL,,,,,,,N/A,No website,,osm
YouFit Health Club,Tampa,,,,,,,,N/A,No website,,osm
Curves,Tampa,,,,,,,,N/A,No website,,osm
Healthworks,Saint Petersburg,FL,112th Avenue,33716,,,,,N/A,No website,,osm
Pin Chasers,Tampa,FL,West Hillsborough Avenue,33634,,,,,N/A,No website,,osm
The Next Level Training Center,Tampa,FL,12722 Dupont Cir,33626,,,,,N/A,No website,,osm
Jazzercize,Tampa,FL,12714 Dupont Cir,33626,,,,,N/A,No website,,osm
Kim's Karate After School Program,Tampa,FL,12712 DuPont Cir,33626,,,,,N/A,No website,,osm
15 Hole,Tampa,,,,,,,,N/A,No website,,osm
12 Hole,Tampa,,,,,,,,N/A,No website,,osm
16 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
12 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
14 Hole,Tampa,,,,,,,,N/A,No website,,osm
9 Hole,Tampa,,,,,,,,N/A,No website,,osm
15 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
13 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
17 Hole,Tampa,,,,,,,,N/A,No website,,osm
10 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
16 Hole,Tampa,,,,,,,,N/A,No website,,osm
13 Hole,Tampa,,,,,,,,N/A,No website,,osm
10 Hole,Tampa,,,,,,,,N/A,No website,,osm
17 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
14 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
11 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
8 Hole,Tampa,,,,,,,,N/A,No website,,osm
11 Hole,Tampa,,,,,,,,N/A,No website,,osm
9 Tee Box,Tampa,,,,,,,,N/A,No website,,osm
Better Fit Gym,Tampa,,,,,,,,N/A,No website,,osm
Elite Training Center,Tampa,,,,,,,,N/A,No website,,osm
New York Yankees Training Center,Tampa,,,,,,,,N/A,No website,,osm
WIBMMS Gymnasium,Tampa,,,,,,,,N/A,No website,,osm
Tampa Gymnastics and Dance,Tampa,,,,,,,,N/A,No website,,osm
Southern Muscle,Tampa,,,,,,,,N/A,No website,,osm
Epic Boxing & Fitness,Tampa,FL,1108 West Kennedy Boulevard,33606,+1-813-549-9456,,,,N/A,No website,,osm
Jazzercise,Tampa,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Tampa,FL,11721 West Hillsborough Avenue,33635,+1 813-852-8009,,,,N/A,No website,,osm
Punch Boxing,Tampa,FL,411 West Grand Central Avenue,33606,,,,,N/A,No website,,osm
Pulse Personal Training,Tampa,,,,,,,,N/A,No website,,osm
Mayweather Boxing + Fitness,Tampa,,,,,,,,N/A,No website,,osm
Lagree Fitness,Tampa,FL,1021 Gramercy Lane,33607,,,,,N/A,No website,,osm
F45 Training,Tampa,,,,,,,,N/A,No website,,osm
Esporta Fitness,Tampa,,,,,,,,N/A,No website,,osm
Pitt Bull Fitness,Tampa,FL,10031 West Hillsborough Avenue,33615,,,,,N/A,No website,,osm
The Exercise Coach,Tampa,FL,12950 Race Track Road,33626,+1-813-961-0001,,,,N/A,No website,,osm
