name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
YWCA,Boston,MA,,,,,,,N/A,No website,,osm
Down Under School of Yoga,Boston,,,,,,,,N/A,No website,,osm
Zesiger Aquatic Facility,Boston,,,,,,,,N/A,No website,,osm
Cambridge Healthworks,Boston,,35 White Street,02138,,,,,N/A,No website,,osm
Wu Dao Kung Fu and Tai Chi,Boston,,,,,,,,N/A,No website,,osm
Healthworks,Boston,,,,,,,,N/A,No website,,osm
Pause,Boston,,,,,,,,N/A,No website,,osm
War Memorial Recreation Center,Cambridge,MA,1640 Cambridge Street,02138,,,,,N/A,No website,,osm
Ever Fitness,Boston,,,,,,,,N/A,No website,,osm
Women's Fitness of Boston,Boston,,,,,,,,N/A,No website,,osm
Sunbeam Yoga Studio,Cambridge,MA,1773 Massachusetts Avenue,02140,,,,,N/A,No website,,osm
Get In Shape for Women,Cambridge,MA,Massachusetts Avenue,,,,,,N/A,No website,,osm
Commonwealth Crossfit,Boston,,,,,,,,N/A,No website,,osm
Barre & Soul,Cambridge,MA,,,,,,,N/A,No website,,osm
O2 Yoga,Cambridge,MA,Massachusetts Avenue,,,,,,N/A,No website,,osm
Blackstone Community Center Gym,Boston,,,,,,,,N/A,No website,,osm
Bobbi Brown and Steven Plofker Gym,Boston,,,,,,,,N/A,No website,,osm
Emerson College Fitness Center,Boston,,,,,,,,N/A,No website,,osm
Yawkey Athletics Center,Boston,,,,,,,,N/A,No website,,osm
My Gym,Boston,,,,,,,,N/A,No website,,osm
F45 Training,Boston,,,,,,,,N/A,No website,,osm
Allston Billiards,Boston,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Cambridge,MA,270 Third Street,02142,+1 617-714-5280,,,,N/A,No website,,osm
Beacon Hill Athletic Clubs,East Boston,MA,252 Meridian Street,02128,,,,,N/A,No website,,osm
UFC Gym,Boston,,,,,,,,N/A,No website,,osm
EverybodyFights FiDi,Boston,,,,,,,,N/A,No website,,osm
YogaSix Assembly Row,Somerville,MA,335 Canal Street,02145,,,,,N/A,No website,,osm
Fitness Together,Boston,,,,,,,,N/A,No website,,osm
Wang Fitness Center,Boston,,,,,,,,N/A,No website,,osm
Mats (Motion Awareness Training Studio),Boston,,,,,,,,N/A,No website,,osm
"MOTA Fitness, Wellness & Spaces",Somerville,MA,11 Bow Street,02143,,,,,N/A,No website,,osm
Lotus Yoga Studio,Boston,,,,,,,,N/A,No website,,osm
CBFIT617,Boston,,,,,,,,N/A,No website,,osm
Sets & Reps Fitness Training,Boston,,,,,,,,N/A,No website,,osm
some.yoga.studio,Boston,,,,,,,,N/A,No website,,osm
Rumble Boxing,Boston,,,,,,,,N/A,No website,,osm
Solidcore,Boston,,,,,,,,N/A,No website,,osm
Commonwealth Circus Center,Boston,,8 Brookley Road,,,,,,N/A,No website,,osm
