name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Dentista,Miami,,,,,,,,N/A,No website,Revamp your outdated Miami dental website to attract new patients and boost online reputation.,osm
Lobaina Dental,Miami,FL,8822 Southwest 24th Street,33165,,,,,N/A,No website,"Transform Lobaina Dental's online presence with a modern, fast, and mobile-friendly website that showcases your expertise.",osm
Smile Design By Dr. Becerra,Miami,FL,936 Southwest 82nd Avenue,33144,,,,,N/A,No website,"Transform Smile Design By Dr. Becerra's online presence with a modern, mobile-friendly website that showcases exceptional dental care.",osm
SuperTeeth Pediatric Dentistry,Miami,FL,2260 Southwest 87th Avenue,33165,,,,,N/A,No website,"Update your website to shine like a sparkly smile, making it fast, mobile-friendly, and a true SuperTeeth star.",osm
"Dr. Daniel A. DelCastillo, DMD PA",Miami Beach,FL,925 Arthur Godfrey Road,33140,,,,,N/A,No website,"Create a modern, mobile-friendly website for Dr. DelCastillo, enhancing patient experience and online presence instantly.",osm
Epic Smiles Miami,Miami,FL,2525 Southwest 8th Street,33135,,,,,N/A,No website,"Elevate Epic Smiles Miami's online presence with a modern, mobile-friendly website that showcases your exceptional dental care.",osm
Bay Harbor Fine Esthetic & Implant Dentistry,Bay Harbor Islands,FL,1031 96th Street,33154,,,,,N/A,No website,"Transform your online presence, boost patient confidence, and drive new business with a modern, fast, and mobile-friendly website.",osm
M. Bravo-Campa DDS and Leyanne Salvador DMD Dentist,Miami,FL,Southwest 24th Street,33155,,,,,N/A,No website,"Transform your online presence, boost credibility, and attract new patients with a modern, fast, and mobile-friendly website.",nominatim
Harry Mayans DMD and Mercedes Mayans DDS Dentist,Miami,FL,Southwest 24th Street,33155,,,,,N/A,No website,"Give your Miami patients a modern, mobile-friendly online presence that shines as bright as your exceptional dental care.",nominatim
Miami Beach Orthodontics,Miami Beach,FL,41st Street,33140,,,,,N/A,No website,"Transform your Miami Beach Orthodontics practice with a modern, fast, and mobile-friendly website that attracts new patients.",nominatim
South Miami Family Dental,South Miami,FL,Southwest 62nd Avenue,33143,+1-305-666-3824,,,,N/A,No website,Transform your South Miami Family Dental website into a modern online hub for seamless patient experiences.,nominatim
