name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Tawakal Halal,Boston,,389,,,,,,N/A,No website,,osm
Romanza Pizzaria,Boston,,,,,,,,N/A,No website,,osm
Pacific Street Cafe,Cambridge,MA,70 Pacific Street,02139,,,,,N/A,No website,,osm
Mama Gina's,Somerville,MA,16-19 Union Square,02143,+1 617 625 0116,,,,N/A,No website,,osm
Flour,Boston,,,,,,,,N/A,No website,,osm
Miracle of Science Bar + Grill,Boston,,321 Massachusetts Avenue,,,,,,N/A,No website,,osm
Summer Shack,Cambridge,MA,149 Alewife Brook Parkway,02140,,,,,N/A,No website,,osm
Bon Me,Boston,,,,,,,,N/A,No website,,osm
Mary Chung,Boston,,464 Massachusetts Avenue,,,,,,N/A,No website,,osm
Scampo,Boston,,,,,,,,N/A,No website,,osm
Clink,Boston,,,,,,,,N/A,No website,,osm
Liberty Bar,Boston,,,,,,,,N/A,No website,,osm
Wasabi at Porter,Cambridge,MA,2088 Massachusetts Avenue,02140,+1 617 945 5001,,,,N/A,No website,,osm
Sydney's Grille,Boston,,20 Sidney Street,,,,,,N/A,No website,,osm
Thai Hut,Boston,,,,+16174928377,,,,N/A,No website,,osm
Kebab Factory,Somerville,MA,414 Washington Street,02143,,,,,N/A,No website,,osm
LTK: The Legal Test Kitchen,Boston,,,,,,,,N/A,No website,,osm
Wings Over Somerville,Boston,,,,,,,,N/A,No website,,osm
Blackmoor,Boston,,,,,,,,N/A,No website,,osm
Craft Food Halls,Boston,,,,,,,,N/A,No website,,osm
Mike's Roast Beef,Boston,,,,,,,,N/A,No website,,osm
Cafe Fiorella,Boston,,,,,,,,N/A,No website,,osm
Studio No 3,Boston,,,,,,,,N/A,No website,,osm
Cafe Luna,Boston,,,,,,,,N/A,No website,,osm
Sister Sorel,Boston,,,,,,,,N/A,No website,,osm
Tremont 647,Boston,,,,,,,,N/A,No website,,osm
Shan gri-La,Boston,,,,,,,,N/A,No website,,osm
Alta Strada,Boston,,,,,,,,N/A,No website,,osm
Legal Sea Foods,Boston,,,,,,,,N/A,No website,,osm
Berkshire Farms Market,Boston,,,,,,,,N/A,No website,,osm
Au Bon Pain,Boston,,,,,,,,N/A,No website,,osm
Monica's Mercato,Boston,,,,,,,,N/A,No website,,osm
Dine Boston Café,Boston,,,,,,,,N/A,No website,,osm
Dine Boston Restaurant,Boston,,,,,,,,N/A,No website,,osm
Pizzeria Regina,Boston,,,,,,,,N/A,No website,,osm
Biddy Early's,Boston,,,,,,,,N/A,No website,,osm
Meritage and Rowes Wharf Sea Grille,Boston,,,,,,,,N/A,No website,,osm
Boston Common Coffee Co.,Boston,,97 Salem Street,,,,,,N/A,No website,,osm
Terramia Ristorante,Boston,,,,,,,,N/A,No website,,osm
Back Bay Social,Boston,MA,867 Boylston Street,02116,+1-617-247-3200,,,,N/A,No website,,osm
Batifol: Brasserie Parisienne,Cambridge,MA,291 Third Street,,,,,,N/A,No website,,osm
Selma's Kitchen,Boston,,,,,,,,N/A,No website,,osm
Warren Towers Dining Hall,Boston,,700 Commonwealth Avenue,,,,,,N/A,No website,,osm
Buick Street Cafe,Boston,NY,10 Buick Street,,,,,,N/A,No website,,osm
Shelton Dining Hall,Boston,,91 Bay State Road,,,,,,N/A,No website,,osm
Nud Pob,Boston,,738 Commonwealth Avenue,,,,,,N/A,No website,,osm
Loose Leafs,Boston,,,,,,,,N/A,No website,,osm
City Girl Cafe,Boston,,204 Hampshire Street,,,,,,N/A,No website,,osm
Vintage Lounge,Boston,,80 Broad Street,,,,,,N/A,No website,,osm
Dragon's Lair,Boston,,,,,,,,N/A,No website,,osm
Fupo,Cambridge,MA,359 Huron Avenue,02138,,,,,N/A,No website,,osm
Full Moon,Boston,,,,,,,,N/A,No website,,osm
Los Paisanos,Boston,,62 Broadway,,,,,,N/A,No website,,osm
Café Rustica,Boston,,365 Beacon Street,02143,,,,,N/A,No website,,osm
Birch Bar,Boston,MA,425 Summer Street,02210,+1 617 532 4600,,,,N/A,No website,,osm
Antonio's Cucina Italiana,Boston,,288 Cambridge Street,02114,,,,,N/A,No website,,osm
Felcaros Pizzeria,Boston,,280 Cambridge Street,,,,,,N/A,No website,,osm
Zaruma Gold,Somerville,MA,37 Woodbine Street,02143,,,,,N/A,No website,,osm
Bauer Cafe,Cambridge,,,,,,,,N/A,No website,,osm
Forbes Family Cafe,Boston,,,,,,,,N/A,No website,,osm
Bosworth's Cafe,Boston,,,,,,,,N/A,No website,,osm
Tatte Bakery & Cafe,Cambridge,MA,318 Third Street,02142,+1 617 354 4200,,,,N/A,No website,,osm
Cafe Crossing,Boston,,,,,,,,N/A,No website,,osm
Ali's Roti,Boston,,,,,,,,N/A,No website,,osm
Kigo Kitchen,Boston,,,,,,,,N/A,No website,,osm
Sweet Tomatoes Pizza,Boston,,,,,,,,N/A,No website,,osm
Burger 373,Boston,,,,,,,,N/A,No website,,osm
Chaat House,Boston,,,,,,,,N/A,No website,,osm
Argo Tea,Boston,,,,,,,,N/A,No website,,osm
Our House East,Boston,,,,,,,,N/A,No website,,osm
Pavement Coffeehouse,Boston,,,,,,,,N/A,No website,,osm
Boston House of Pizza,Boston,,,,,,,,N/A,No website,,osm
Boston Shawarma,Boston,,,,,,,,N/A,No website,,osm
Mamacitas,Boston,,,,,,,,N/A,No website,,osm
Gong Cha,Boston,,,,,,,,N/A,No website,,osm
