name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Beverly West Dental,Los Angeles,CA,253 North Western Avenue,,,,,,N/A,No website,,osm
Calm Dental,Los Angeles,,,,,,,,N/A,No website,,osm
Mike Asatrayan DDS,Los Angeles,,,,,,,,N/A,No website,,osm
Hana Dental,Los Angeles,,,,,,,,N/A,No website,,osm
First Family Dental,Los Angeles,,,,,,,,N/A,No website,,osm
LA Dental,Los Angeles,,,,,,,,N/A,No website,,osm
Santa Monica Dentistry For Children,Santa Monica,,,,,,,,N/A,No website,,osm
Gary Warburton,Santa Monica,,,,,,,,N/A,No website,,osm
Total Tooth Fitness,Santa Monica,,,,,,,,N/A,No website,,osm
Jeffrey M Kotsubo D D S Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Columbia Dental Group,Santa Monica,,,,,,,,N/A,No website,,osm
Susan E & Brent Hale D D S,Santa Monica,,,,,,,,N/A,No website,,osm
Sanaz Khoubnazar D M D Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Ali Mogharei DDS Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Nancy Schort D D S A Prof Corp,Santa Monica,,,,,,,,N/A,No website,,osm
Santa Monica Oral And Maxillofacial Surgery,Santa Monica,,,,,,,,N/A,No website,,osm
Alison S Williams D D S,Santa Monica,,,,,,,,N/A,No website,,osm
Wilshire Dental,Santa Monica,,,,,,,,N/A,No website,,osm
Paige Moosavi DDS,Santa Monica,,,,,,,,N/A,No website,,osm
"Sam C Muslin DDS, M A G D, Inc",Santa Monica,,,,,,,,N/A,No website,,osm
Jennifer Akagi DDS INc,Santa Monica,,,,,,,,N/A,No website,,osm
"Rapid Smile Dental Group, Cos & Family Dentistry",Santa Monica,,,,,,,,N/A,No website,,osm
John G Adomian DDS Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Mark I Handelsman D D S Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Carol E Follette DDS,Santa Monica,,,,,,,,N/A,No website,,osm
Stephen E Needle DDS,Santa Monica,,,,,,,,N/A,No website,,osm
Drs Samuel & Videgain,Santa Monica,,,,,,,,N/A,No website,,osm
Richard J Kim D D S,Santa Monica,,,,,,,,N/A,No website,,osm
Stephanie Yeung DDS,Santa Monica,,,,,,,,N/A,No website,,osm
Roger H Schuster D D S Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Charles C Wood D D S,Santa Monica,,,,,,,,N/A,No website,,osm
Melinda W Pruitt DDS Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Diana Zinberg DDS Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Vision Dental,Santa Monica,,,,,,,,N/A,No website,,osm
Dr Fred Chao D D S,Santa Monica,,,,,,,,N/A,No website,,osm
Meridien Dental,Santa Monica,,,,,,,,N/A,No website,,osm
Richard Haber DDS Inc,Santa Monica,,,,,,,,N/A,No website,,osm
Brightleaf Dental,Santa Monica,,,,,,,,N/A,No website,,osm
Scott Gould Newhart D M D Inc,Santa Monica,,,,,,,,N/A,No website,,osm
