name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Maple Immigration Service,Los Angeles,,,,,,,,N/A,No website,,osm
"Rosenfield, Meyer, & Susman",Los Angeles,,,,,,,,N/A,No website,,osm
Sands & Associates,Los Angeles,,,,,,,,N/A,No website,,osm
Cooley LP,Los Angeles,,1333 2nd Street,90401,,,,,N/A,No website,,osm
"Kermisch & Paletz, LLP",Los Angeles,,,,+1-818-478-1043,,,,N/A,No website,,osm
Law Offices of Michael J. Gurfinkel,Glendale,CA,219 North Brand Boulevard,,,,,,N/A,No website,,osm
Working People's Law Center,Los Angeles,,,,+1-213-250-5500,,,,N/A,No website,,osm
Tangalakis Law Office,Los Angeles,,,,,,,,N/A,No website,,osm
Ford & Wallach,Los Angeles,,,,,,,,N/A,No website,,osm
Elkins Kalt Weintraub Reuben Gartside,Los Angeles,,,,,,,,N/A,No website,,osm
Barens,Los Angeles,,,,,,,,N/A,No website,,osm
"Sabbir Ahmed, esq. Law Offices",Little Bangladesh,CA,3717 West 3rd Street,90020,,,,,N/A,No website,,osm
Javaharian and Ruszecki,Los Angeles,,,,,,,,N/A,No website,,osm
Law Offices of Isen and Grant,Los Angeles,,,,,,,,N/A,No website,,osm
Korshidi Law Firm,Los Angeles,,,,,,,,N/A,No website,,osm
