name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Steven Keith - Oak Lawn Barber & Stylist,Dallas,TX,3012 Oak Lawn Avenue,75219,,,,,N/A,No website,,osm
Indulgence Nail Salon,Dallas,TX,6922 Snider Plaza,75205,,,,,N/A,No website,,osm
Osgood-O'Neil Salon,Dallas,TX,6932 Snider Plaza,75205,,,,,N/A,No website,,osm
Scott LeMaster Salon and Spa,Dallas,,,,,,,,N/A,No website,,osm
Hollywood Nails & Spa,Dallas,,,,,,,,N/A,No website,,osm
Lure Salon,Dallas,,,,,,,,N/A,No website,,osm
Nails & Spa,Dallas,,,,+1-214-434-1799,,,,N/A,No website,,osm
Smokii Monkey,Dallas,,7732 Forest Lane,,,,,,N/A,No website,,osm
The Village Salons,Dallas,,,,,,,,N/A,No website,,osm
Stephany's Hair Salon,Dallas,,,,,,,,N/A,No website,,osm
Brow Art 23,Dallas,,,,,,,,N/A,No website,,osm
King's Best Barber Shop,Duncanville,TX,118 North Main Street,75116,+1-469-353-4598,,,,N/A,No website,,osm
"Nail ""n"" NAILS",Dallas,,,,,,,,N/A,No website,,osm
Hollywood Beauty,Dallas,,,,,,,,N/A,No website,,osm
Sovereign Barber Shop,Dallas,,,,,,,,N/A,No website,,osm
Melrose Nail Spa,Dallas,,,,,,,,N/A,No website,,osm
L.L. Premium Bundle Hair,Dallas,,,,,,,,N/A,No website,,osm
Bath & Body Works,Dallas,,,,,,,,N/A,No website,,osm
Salon Society,Dallas,,,,,,,,N/A,No website,,osm
Highlands Nail Salon,Dallas,,,,,,,,N/A,No website,,osm
Benefit Brow Bar,Dallas,TX,9440 Garland Road,75218,,,,,N/A,No website,,osm
Nails 2000,Dallas,TX,9440 Garland Road,75218,,,,,N/A,No website,,osm
Tangerine Salon,Dallas,TX,7949 Walnut Hill Lane,75230,,,,,N/A,No website,,osm
Venetian Nail Spa,Dallas,TX,7949 Walnut Hill Lane,75230,,,,,N/A,No website,,osm
Eighteen Eight Fine Men's Salons,Dallas,TX,7949 Walnut Hill Lane,75230,,,,,N/A,No website,,osm
Aveda,Dallas,,,,,,,,N/A,No website,,osm
Laser Away,Dallas,,,,,,,,N/A,No website,,osm
North Texas Plastic Surgery,Dallas,,,,,,,,N/A,No website,,osm
Hairotic Love Studio,Dallas,,,,,,,,N/A,No website,,osm
Oviation,Dallas,,,,,,,,N/A,No website,,osm
