name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
FD Edwards Real Estate,New York,,,,+1-718-467-7477,,,,N/A,No website,,osm
Chiarelli Real Estate,New York,,1700 74th Street,11204,,,,,N/A,No website,,osm
Perl Group,New York,,1448 Bedford Avenue,11216,+1-718-258-2900,,,,N/A,No website,,osm
Skyline Group,New York,,675 6th Avenue,11215,,,,,N/A,No website,,osm
Royal Slope Realty,New York,,288 8th Street,11215,+1-718-768-7489,,,,N/A,No website,,osm
South Slope Realty,New York,,160 18th Street,11215,+1-718-840-0100,,,,N/A,No website,,osm
SRMC Management,New York,,,,,,,,N/A,No website,,osm
New Spirit Realty,New York,,9805 3rd Avenue,11209,+1-718-921-1200,,,,N/A,No website,,osm
Realty Executives,New York,,9732 3rd Avenue,11209,+1-718-439-1110,,,,N/A,No website,,osm
Gama Group,New York,,9726 3rd Avenue,11209,+1-718-717-7727,,,,N/A,No website,,osm
Brooklyn Realty Center,New York,,8817 3rd Avenue,11209,+1-718-745-6969,,,,N/A,No website,,osm
Brown Harris Stevens,New York,,,,,,,,N/A,No website,,osm
Hamilton Estates Co,New York,,9001 5th Avenue,11209,,,,,N/A,No website,,osm
Ted Bouzalas Realty,New York,,9002 5th Avenue,11209,+1-718-833-2700,,,,N/A,No website,,osm
Master International,New York,,480 Senator Street,11220,+1-718-748-2700,,,,N/A,No website,,osm
W. L. Lee & Co. Real Estate,New York,NY,141 Hester Street,10002,,,,,N/A,No website,,osm
Certa Realty,New York,,2379 East 1st Street,11223,+1 718-275-0555,,,,N/A,No website,,osm
Brooklyn Star Realty,New York,,784 44th Street,11220,,,,,N/A,No website,,osm
House Key Realty,New York,,6012 5th Avenue,11220,+1-718-581-7141,,,,N/A,No website,,osm
Palacio Realty,New York,,478 41st Street,11232,+1-917-397-6505,,,,N/A,No website,,osm
Real Estatement NY,Brooklyn,NY,373 Tompkins Avenue,11216,,,,,N/A,No website,,osm
Bedford & Dean,New York,,895 Nostrand Avenue,11225,,,,,N/A,No website,,osm
B. Belinda Realty,New York,,160 Rogers Avenue,11216,+1-718-467-6385,,,,N/A,No website,,osm
N.S.K. Management,New York,,459 6th Avenue,11215,+1 718 768 0099,,,,N/A,No website,,osm
E. Martin Sales & Rentals,New York,,792 Franklin Avenue,11238,+1-718-773-3255,,,,N/A,No website,,osm
First Century Real Estate,New York,,232 3rd Avenue,10003,+1-646-429-8078,,,,N/A,No website,,osm
Select Real Estate,New York,,,,+1-718-387-5112,,,,N/A,No website,,osm
Forgione Realty,New York,,395 Graham Avenue,11211,,,,,N/A,No website,,osm
Castoria Real Estate,New York,,363 Graham Avenue,11211,+1-718-388-9830,,,,N/A,No website,,osm
Bridge Realty,New York,,,,,,,,N/A,No website,,osm
Citi Habitats,New York,,482 Driggs Avenue,11211,,,,,N/A,No website,,osm
Home & Habitat Realty Corp.,New York,,71-20 35th Avenue,11372,+1 516 460 8260,,,,N/A,No website,,osm
Rocamar,New York,,76-11 Broadway,11373,,,,,N/A,No website,,osm
The Bouklis Group,New York,,34-27 28th Avenue,11103,,,,,N/A,No website,,osm
Realty 2000,Astoria,NY,30-13 Astoria Boulevard,11102,,,,,N/A,No website,,osm
Sterling Realty,New York,,28-17 23rd Avenue,11105,,,,,N/A,No website,,osm
AIM International Properties,New York,,21-10 31st Street,11105,,,,,N/A,No website,,osm
Douglas Elliman,New York,,1416 Cortelyou Road,,,,,,N/A,No website,,osm
Real Estate,New York,,201 West 136th Street,,+1 212 380 6620,,,,N/A,No website,,osm
Eduard Zaytsev Real Estate,New York,,125 East 56th Street,10022,,,,,N/A,No website,,osm
Halstead Property,New York,,,,,,,,N/A,No website,,osm
Nobody beats the Winzone,New York,,81-15 51st Avenue,,,,,,N/A,No website,,osm
L Nelson & Associates,New York,,227 DeKalb Avenue,,+1-718-923-1741,,,,N/A,No website,,osm
East Coast Realty,New York,,96-14 Queens Boulevard,11374,+1 718 271 2121,,,,N/A,No website,,osm
Werba Realty,Ridgewood,NY,66-45 Fresh Pond Road,11385,+1-718-456-9600,,,,N/A,No website,,osm
Woodhaven Multiservices,New York,,87-09 Jamaica Avenue,,,,,,N/A,No website,,osm
Farran & Associates,New York,,,,+1-718-768-0044,,,,N/A,No website,,osm
Solid Enterprise Realty Group,New York,,579 Woodward Avenue,,+1-718-366-1827,,,,N/A,No website,,osm
Townsley & Gay,New York,,,,+1 718 832 2669,,,,N/A,No website,,osm
Brenton Realty,New York,,,,+1 718 768 4566,,,,N/A,No website,,osm
Advanced Morgage Consultants,New York,,6901 18th Avenue,11204,,,,,N/A,No website,,osm
B.A. Consultants,New York,,,,+1 718 789 8193,,,,N/A,No website,,osm
Lepelstat,New York,,,,+1-718-622-0928,,,,N/A,No website,,osm
Joseph T King Realty,New York,,,,+1 718 857 3400,,,,N/A,No website,,osm
Prospect Heights Realty Corp.,Brooklyn,NY,618 Vanderbilt Avenue,11238,+1-718-789-6511,,,,N/A,No website,,osm
Towne House Properties,New York,,,,+1-718-788-0090,,,,N/A,No website,,osm
Terracrg Commercial Realty Group,New York,,,,,,,,N/A,No website,,osm
Sharpstone Realty,New York,,,,,,,,N/A,No website,,osm
John P. Burke Realty,New York,,,,+1-718-768-1001,,,,N/A,No website,,osm
Gheith Brokerage,New York,,,,+1-718-768-8064,,,,N/A,No website,,osm
Park Ridge Property,New York,,502A 7th Avenue,11215,,,,,N/A,No website,,osm
CRG Realty,New York,,,,,,,,N/A,No website,,osm
Virtual Real Estate,New York,,,,+1-718-965-3700,,,,N/A,No website,,osm
Washington Realty Corp.,New York,,,,+1-718-230-0340,,,,N/A,No website,,osm
