name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Salon Bali,Austin,,400 W. Slaughter Lane,,,,,,N/A,No website,,osm
Plan Beach Tan,Austin,,9911 Brodie Lane,,,,,,N/A,No website,,osm
T&S Nails,Austin,,160 Brodie Lane,,,,,,N/A,No website,,osm
Frenchy's,Austin,,,,,,,,N/A,No website,,osm
Bird's Barber Shop,Austin,,,,,,,,N/A,No website,,osm
Aestetica MedSpa,Austin,,,,,,,,N/A,No website,,osm
Luna Nail Spa,Austin,,,,,,,,N/A,No website,,osm
Kisma,Austin,,,,,,,,N/A,No website,,osm
Jamila Salon & Spa,Austin,,Rockwood Ln,,,,,,N/A,No website,,osm
Fadebox Barbershop,Austin,,,,,,,,N/A,No website,,osm
Chi Nail Bar,Austin,,,,,,,,N/A,No website,,osm
Sally,Austin,,,,,,,,N/A,No website,,osm
Arboretum Nails & Spa,Austin,,,,,,,,N/A,No website,,osm
Beauy Store Salon & Spa,Austin,,,,,,,,N/A,No website,,osm
Austin Haircut Company,Austin,TX,4815 W Braker Ln,78759,+1-512-340-9288,,,,N/A,No website,,osm
Style America,Austin,,,,,,,,N/A,No website,,osm
Lifestyle Nails & Spa,Austin,,,,,,,,N/A,No website,,osm
Styles Hair Studios,Austin,,,,,,,,N/A,No website,,osm
Wynn Nails,Austin,,,,,,,,N/A,No website,,osm
QNails,Austin,,,,,,,,N/A,No website,,osm
Cover Nails,Austin,,,,,,,,N/A,No website,,osm
Jackee's Centerstage Hair Salon,Austin,,,,,,,,N/A,No website,,osm
TGF Haircutters,Austin,,,,,,,,N/A,No website,,osm
Beauty Store Salon and Spa,Austin,,,,,,,,N/A,No website,,osm
Kingdom barbershop,Austin,TX,12400 North Interstate 35,78753,+1-737-400-8767,,,,N/A,No website,,osm
Charlie's Hair Styles,Austin,,714 Brazos Street,,,,,,N/A,No website,,osm
Pronails,Austin,,,,,,,,N/A,No website,,osm
Classy Nails Spa,Austin,,,,,,,,N/A,No website,,osm
Samuel Rey Salon,Austin,,,,,,,,N/A,No website,,osm
Milk + Honey,Austin,,,,,,,,N/A,No website,,osm
Sephora,Austin,,,,,,,,N/A,No website,,osm
Finley's Barber Shop,Austin,TX,237 West 3rd Street,78701,,,,,N/A,No website,,osm
Rae Cosmetics,Austin,,237 West 2nd Street,,,,,,N/A,No website,,osm
LVS La Vie Med Spas,Austin,TX,51 Rainey Street,78701,,,,,N/A,No website,,osm
Lush,Austin,,1012 West 6th Street,78703,,,,,N/A,No website,,osm
