name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Vegas Nails,Las Vegas,,,,,,,,N/A,No website,,osm
Polished nails & hair,Las Vegas,,710 East Flamingo Road,,+1 702-731-6245,,,,N/A,No website,,osm
Sephora,Las Vegas,,,,,,,,N/A,No website,,osm
Kugel Hands,Las Vegas,,,,,,,,N/A,No website,,osm
Eden,Las Vegas,,,,,,,,N/A,No website,,osm
Ana Karina's,Las Vegas,,,,,,,,N/A,No website,,osm
Atomic Style Lounge,Las Vegas,,,,,,,,N/A,No website,,osm
Get Nailed,Las Vegas,NV,4983 West Flamingo Road,89103,,,,,N/A,No website,,osm
Blow Dry Bar,Las Vegas,,,,,,,,N/A,No website,,osm
Faded Times,Las Vegas,,,,+1-702-272-2457,,,,N/A,No website,,osm
T Nail Spa,Las Vegas,,,,,,,,N/A,No website,,osm
Avon,Las Vegas,,,,,,,,N/A,No website,,osm
Fancy Nails,Las Vegas,,,,,,,,N/A,No website,,osm
Makeup Shack,Las Vegas,,,,,,,,N/A,No website,,osm
Solis Salon,Las Vegas,NV,2229 South Rainbow Boulevard,89146,,,,,N/A,No website,,osm
Downtown Vintage Barbershop,Las Vegas,,,,,,,,N/A,No website,,osm
Hair Zone,Las Vegas,,,,,,,,N/A,No website,,osm
Sport Cut,Las Vegas,,,,,,,,N/A,No website,,osm
J&S,Las Vegas,,,,,,,,N/A,No website,,osm
The Lash,Las Vegas,,,,,,,,N/A,No website,,osm
King Beauty Supply,Las Vegas,,,,,,,,N/A,No website,,osm
Beauty to Beauty Hair Salon,Las Vegas,,,,,,,,N/A,No website,,osm
Reiwatakiya,Las Vegas,,,,,,,,N/A,No website,,osm
Kingdom Hair Salon,Las Vegas,,,,,,,,N/A,No website,,osm
Agora,Paradise,NV,3717 South Las Vegas Boulevard,89109,,,,,N/A,No website,,osm
The Cosmetics Company Store,Las Vegas,,,,,,,,N/A,No website,,osm
Clarins Beauté de France,Las Vegas,,,,,,,,N/A,No website,,osm
Masterpiece Barber Shop,North Las Vegas,NV,1374 West Cheyenne Avenue,89030,+1 702-636-2887,,,,N/A,No website,,osm
Canyon Ranch Living Essentials,Las Vegas,,,,,,,,N/A,No website,,osm
Cliff's Barber Corral,Las Vegas,NV,3330 East Tropicana Avenue,89121,,,,,N/A,No website,,osm
Letty's Beauty Salon,Las Vegas,NV,3280 East Tropicana Avenue,89121,,,,,N/A,No website,,osm
Tere Beauty Salon,Las Vegas,NV,1201 South Jones Boulevard,89146,+1-702-268-8805,,,,N/A,No website,,osm
Chichi Braidz,Las Vegas,NV,1815 West Charleston Boulevard,89102,,,,,N/A,No website,,osm
Ramonsito La Salsa Barber Shop,Las Vegas,NV,1815 West Charleston Boulevard,89102,,,,,N/A,No website,,osm
Crown Nails,Las Vegas,NV,2250 East Tropicana Avenue,89119,,,,,N/A,No website,,osm
Aveda Institute,Las Vegas,NV,4856 South Eastern Avenue,89119,,,,,N/A,No website,,osm
Salon Spa,Las Vegas,NV,1940 North Decatur Boulevard,89108,,,,,N/A,No website,,osm
So In Style Suites,Las Vegas,NV,101B South Rainbow Boulevard,89145,,,,,N/A,No website,,osm
Hairitage Salon,Las Vegas,NV,101B South Rainbow Boulevard,89145,,,,,N/A,No website,,osm
Chiic Salon,Las Vegas,NV,101A South Rainbow Boulevard,89145,+1-906-367-2003,,,,N/A,No website,,osm
The Nail Collective,Las Vegas,NV,101A South Rainbow Boulevard,89145,,,,,N/A,No website,,osm
Bon Bon,Las Vegas,NV,318 Fremont Street Experience,89101,,,,,N/A,No website,,osm
Tina's Beauty Salon,Las Vegas,NV,2797 South Maryland Parkway,89109,,,,,N/A,No website,,osm
New York Nails,Las Vegas,NV,1105 South Rainbow Boulevard,89146,,,,,N/A,No website,,osm
Z Cuts,Las Vegas,NV,1105 South Rainbow Boulevard,89146,,,,,N/A,No website,,osm
Bath & Body Works,Las Vegas,NV,2176 North Rainbow Boulevard,89108,,,,,N/A,No website,,osm
Nex Level Barber,Las Vegas,NV,4575 West Charleston Boulevard,89102,,,,,N/A,No website,,osm
Universal Fade Kings Barbershop,Las Vegas,NV,3242 East Desert Inn Road,89121,+1 702-453-7432,,,,N/A,No website,,osm
ARIA Spa & Salon,Las Vegas,,,,,,,,N/A,No website,,osm
The Barbershop Cuts and Cocktails,Las Vegas,,,,,,,,N/A,No website,,osm
RH Beauty Lounge,Las Vegas,NV,6620 West Flamingo Road,89103,+1 702-690-6000,,,,N/A,No website,,osm
Candy's Beauty Salon,Las Vegas,NV,1103 East Tropicana Avenue,89119,,,,,N/A,No website,,osm
