name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Rachelle Salon,South Pasadena,CA,1522 Mission Street,91030,,,,,N/A,No website,,osm
Sephora,Studio City,CA,12036 Ventura Boulevard,91604,+1-818-506-3166,,,,N/A,No website,,osm
Universal Hair Salon,Los Angeles,,,,,,,,N/A,No website,,osm
LC's Beauty Salon,Los Angeles,,,,,,,,N/A,No website,,osm
A T Tramp,Los Angeles,,,,,,,,N/A,No website,,osm
Queen Skin Care,Los Angeles,,,,,,,,N/A,No website,,osm
Luxury Perfumes Wholesale,Los Angeles,,,,,,,,N/A,No website,,osm
The Fade Inn Barber Shop,Los Angeles,CA,5633 Hollywood Boulevard,90028,+1 323-467-7270,,,,N/A,No website,,osm
Fancy Nails,Los Angeles,,,,,,,,N/A,No website,,osm
Opyan's Hair,Los Angeles,,2042 Hillhurst Avenue,90027,,,,,N/A,No website,,osm
Floyd's,Los Angeles,,,,,,,,N/A,No website,,osm
The Hair Lab,Los Angeles,,6387 Bristol Parkway,,,,,,N/A,No website,,osm
Universal College of Beauty,Los Angeles,,3419 West 43rd Place,90008,,,,,N/A,No website,,osm
Rudy's Barbershop,Los Angeles,,,,,,,,N/A,No website,,osm
Salon of Beauty,Los Angeles,,5155 Hollywood Boulevard,90027,,,,,N/A,No website,,osm
Harmony,Los Angeles,,,,,,,,N/A,No website,,osm
Wilshire Beauty,Los Angeles,CA,5401 Wilshire Boulevard,90036,,,,,N/A,No website,,osm
Barbershop,Los Angeles,,,,,,,,N/A,No website,,osm
Galicuts,Los Angeles,,,,,,,,N/A,No website,,osm
Nail Villa,Los Angeles,,,,+1-323-697-5338,,,,N/A,No website,,osm
Pampered Hands,Los Angeles,,,,,,,,N/A,No website,,osm
Stag Hair Parlor,Los Angeles,,,,,,,,N/A,No website,,osm
Fuzzy Navel,Los Angeles,,,,,,,,N/A,No website,,osm
Atelier Cuticle,Los Angeles,,,,,,,,N/A,No website,,osm
Beauty Supply,Los Angeles,,,,,,,,N/A,No website,,osm
Sugar Nail,Los Angeles,,,,,,,,N/A,No website,,osm
Nail Bar,Los Angeles,CA,7022 Melrose Avenue,90046,+1 323 930 0099,,,,N/A,No website,,osm
Caressa Beauty Salon,Los Angeles,,,,,,,,N/A,No website,,osm
Sylvia's Hair Salon,Los Angeles,,,,,,,,N/A,No website,,osm
Blanca's,Los Angeles,,,,,,,,N/A,No website,,osm
Pamper Nail Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Kausar Beauty Salon & Boutique,Los Angeles,,,,,,,,N/A,No website,,osm
Bendicion Barber Shop,Los Angeles,,,,,,,,N/A,No website,,osm
The Luxe,Los Angeles,,9229 Venice Boulevard,,,,,,N/A,No website,,osm
Zaib's,Los Angeles,,9603 Venice Boulevard,,,,,,N/A,No website,,osm
111 Points,Los Angeles,,,,,,,,N/A,No website,,osm
Wax Candy,Los Angeles,,756 South Main Street,90014,,,,,N/A,No website,,osm
Universal Perfumes,Los Angeles,,755 South Los Angeles Street,90014,,,,,N/A,No website,,osm
Perfume Center,Los Angeles,,758 South Los Angeles Street,90014,,,,,N/A,No website,,osm
Pao Hua Perfumes & Cosmetics,Los Angeles,CA,East 4th Street,,,,,,N/A,No website,,osm
Perfumeria Starlux,Los Angeles,CA,800 South Los Angeles Street,90014,,,,,N/A,No website,,osm
Newport Perfume Inc.,Los Angeles,CA,215 #C East 7th Street,90014,,,,,N/A,No website,,osm
Perfume Warehouse,Los Angeles,CA,738 #3 South Los Angeles Street,90014,,,,,N/A,No website,,osm
