name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
North Austin Optimist Baseball Fields,Austin,,,,,,,,N/A,No website,,osm
Clinger Gymnasium,Austin,TX,,,,,,,N/A,No website,,osm
Sunstone Yoga,Austin,,,,,,,,N/A,No website,,osm
Fitness HQ,Austin,,,,,,,,N/A,No website,,osm
Fitness 360,Austin,,,,,,,,N/A,No website,,osm
Austin Peace Studio,Austin,,,,,,,,N/A,No website,,osm
Koko Fit Club,Austin,,,,,,,,N/A,No website,,osm
Hyde Park Gym,Austin,TX,4125 Guadalupe Street,78751,,,,,N/A,No website,,osm
YMCA,Austin,TX,1000 West Rundberg Lane,78758,,,,,N/A,No website,,osm
Wanderlust Yoga,Austin,,,,,,,,N/A,No website,,osm
Black Swan Yoga,Austin,,913 East Cesar Chavez Street,,,,,,N/A,No website,,osm
Pure Barre,Austin,TX,1401 East 6th Street,78702,,,,,N/A,No website,,osm
Solidcore,Austin,TX,204 Colorado Street,78701,+1-512-900-4740,,,,N/A,No website,,osm
Orangetheory Fitness,Austin,TX,401 West 3rd Street,78701,,,,,N/A,No website,,osm
Jääkarhu Crossfit,Austin,TX,113 Industrial Boulevard,78745,,,,,N/A,No website,,osm
Wellness Studio,Austin,,,,,,,,N/A,No website,,osm
SoulCycle,Austin,,,,,,,,N/A,No website,,osm
Crossfit Renew,Austin,,,,,,,,N/A,No website,,osm
Third Coast Fitness,Austin,,,,,,,,N/A,No website,,osm
Flow Yoga,Austin,,,,,,,,N/A,No website,,osm
South Austin Gym,Austin,TX,5700 Manchaca Road,78745,,,,,N/A,No website,,osm
Texas Barbell Club,Austin,,,,,,,,N/A,No website,,osm
Ro Fitness,Austin,,,,,,,,N/A,No website,,osm
CorePower Yoga,Austin,,,,,,,,N/A,No website,,osm
Retro Fitness,Austin,,,,,,,,N/A,No website,,osm
Gracie Humaita,Austin,,,,,,,,N/A,No website,,osm
AMLI South Shore fitness center,Austin,,,,,,,,N/A,No website,,osm
Barre3,Austin,TX,1911 Aldrich Street,78723,,,,,N/A,No website,,osm
My Vinyasa Practice,Austin,TX,109 Jacob Fontaine Lane,78752,,,,,N/A,No website,,osm
Austin Bouldering Project Westgate,Austin,TX,4477 South Lamar Boulevard,78745,,,,,N/A,No website,,osm
Total Fitness Kickboxing,Austin,TX,3601 West William Cannon Drive,78749,,,,,N/A,No website,,osm
Fixed By Fitness,Austin,TX,3601 West William Cannon Drive,78749,,,,,N/A,No website,,osm
B Pilates,Austin,TX,3601 West William Cannon Drive,78749,,,,,N/A,No website,,osm
Ninja Nation,Austin,,,,,,,,N/A,No website,,osm
30 Minute Hit,Austin,TX,3016 Guadalupe Street,78705,,,,,N/A,No website,,osm
Los Campeones Gym Austin North,Austin,,,,,,,,N/A,No website,,osm
Pure Pilates Austin,Austin,,,,,,,,N/A,No website,,osm
Stretch Lab,Austin,,,,,,,,N/A,No website,,osm
Castle Hill Fitness,Austin,TX,1112 North Lamar Boulevard,78703,,,,,N/A,No website,,osm
Club Pilates,Austin,TX,1011 East 5th Street,78702,,,,,N/A,No website,,osm
Campbell's Hole,Austin,,,,,,,,N/A,No website,,osm
Brass Ovaries,Austin,,6039 I 35 Frontage Road,,,,,,N/A,No website,,osm
Starting Strength,Austin,TX,4970 West US 290,78735,,,,,N/A,No website,,osm
