name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Family Barbershop,Nashville,,,,,,,,N/A,No website,,osm
Months Barbershop,Nashville,,25 Arcade Street,,,,,,N/A,No website,,osm
Scout's Barbershop,Nashville,,,,,,,,N/A,No website,,osm
Joe's Barber Shop,Nashville,,,,,,,,N/A,No website,,osm
Aesop,Nashville,TN,1200 Villa Place,37212,,,,,N/A,No website,,osm
East Nashville Beard and Narber,Nashville,TN,1101 Riverwood Drive,37216,+1-615-964-7499,,,,N/A,No website,,osm
Studs,Nashville,,,,,,,,N/A,No website,,osm
Lip Lab,Nashville,,,,,,,,N/A,No website,,osm
Sephora,Nashville,,,,,,,,N/A,No website,,osm
Venetian Nail Spa,Nashville,TN,,37215,,,,,N/A,No website,,osm
Blossom Med Spa & Brow Threading,Nashville,TN,,37215,,,,,N/A,No website,,osm
L'Occitane,Nashville,TN,,37215,,,,,N/A,No website,,osm
Heads Up Hair Salon,Nashville,TN,,37215,,,,,N/A,No website,,osm
MAC Cosmetics,Nashville,TN,,37215,,,,,N/A,No website,,osm
Lush,Nashville,TN,,37215,,,,,N/A,No website,,osm
Aveda,Nashville,TN,,37215,,,,,N/A,No website,,osm
Venus Nails & Spa,Nashville,TN,2924 West End Avenue,37203,+16157395457,,,,N/A,No website,,osm
Sisters Collective,Nashville,,,,,,,,N/A,No website,,osm
Star Nails,Nashville,,,,,,,,N/A,No website,,osm
