name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
UrgentVet,Houston,TX,4946 Beechnut Street,,,,,,N/A,No website,,osm
Gulf Coast Veterinary Clinic,Houston,,,,,,,,N/A,No website,,osm
BCP Veternary Pharmacy,Houston,,,,,,,,N/A,No website,,osm
Bayou City Veterinary Hospital,Houston,TX,4720 Washington Avenue,77007,,,,,N/A,No website,,osm
Memorial Town & Country Animal Clinic,Houston,TX,12661 Memorial Drive,77024,,,,,N/A,No website,,osm
Kirkwood Memorial Animal Clinic,Houston,TX,14015 Memorial Drive,77079,,,,,N/A,No website,,osm
Garden Oaks Veterinary Clinic,Houston,TX,3408 North Shepherd Drive,77018,,,,,N/A,No website,,osm
Thrive Pet Healthcare,Houston,TX,3422 Ella Boulevard,,,,,,N/A,No website,,osm
City Vet,Houston,,,,,,,,N/A,No website,,osm
Banfield Pet Hospital,Houston,,,,,,,,N/A,No website,,osm
The Urban Vet,Houston,TX,2625 Louisiana Street,77006,,,,,N/A,No website,,osm
Jester Plaza Veterinary Clinic,Houston,,1957 West T C Jester Boulevard,,,,,,N/A,No website,,osm
SNAP,Houston,TX,1801 Durham Drive,77007,,,,,N/A,No website,,osm
Rice Village Animal Hospital,Houston,,,,+1-713-527-0489,,,,N/A,No website,,osm
Houston Cat Hospital,Houston,,11169 Westheimer Road,,+1-713-597-6829,,,,N/A,No website,,osm
The Corner Vet,Houston,,440 West 19th Street,,,,,,N/A,No website,,osm
BARC Lost Pets & Registration,Houston,,3200 Carr Street,77026,,,,,N/A,No website,,osm
North Durham Animal Hospital,Houston,,,,,,,,N/A,No website,,osm
Memorial Village Animal Hospital,Houston,,9615 Yupondale Drive,,,,,,N/A,No website,,osm
veterinary Clinic,Houston,,,,,,,,N/A,No website,,osm
