name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Massage Envy,Austin,,,,,,,,N/A,No website,,osm
Back 'n Place Chiropractic,Austin,TX,1000 East 43rd Street,78751,+1-512-467-2225,,,,N/A,No website,,osm
Austin Hillside Family Chiropractic,Austin,,,,,,,,N/A,No website,,osm
Viva Day Spa,Austin,,,,,,,,N/A,No website,,osm
Spa Réveil,Austin,,,,,,,,N/A,No website,,osm
XpressSpa,Austin,,,,,,,,N/A,No website,,osm
Austin Acupuncture Clinic,Austin,TX,1707 Fort View Road,78704,,,,,N/A,No website,,osm
Massage Harmony,Austin,,,,,,,,N/A,No website,,osm
Sage Blossom,Austin,TX,Menchaca Road,78745,,,,,N/A,No website,,osm
Baby Face Day Spa,Austin,,,,,,,,N/A,No website,,osm
Bluebonnet Spa,Austin,,,,,,,,N/A,No website,,osm
Health Spa Massage,Austin,TX,6001 West Parmer Lane,78727,,,,,N/A,No website,,osm
Massage Golden Daisy,Austin,TX,1200 West Howard Lane,78753,+1-512-252-7680,,,,N/A,No website,,osm
Tran Chiropractic,Austin,TX,1212 West Parmer Lane,78753,+1-972-495-3407,,,,N/A,No website,,osm
The Tox,Austin,TX,360 Nueces Street,78701,,,,,N/A,No website,,osm
AUSTINDEEP,Austin,TX,320 Congress Avenue,78701,,,,,N/A,No website,,osm
Xin Spa,Austin,TX,3601 West William Cannon Drive,78749,,,,,N/A,No website,,osm
Sprout Chiropractic,Austin,TX,3421 West William Cannon Drive,78745,,,,,N/A,No website,,osm
Optimal Wellness & Chiropractic,Austin,TX,3421 West William Cannon Drive,78745,,,,,N/A,No website,,osm
ZenWell Massage + Wellness,Austin,TX,3421 West William Cannon Drive,78745,,,,,N/A,No website,,osm
XpresSpa,Austin,,,,,,,,N/A,No website,,osm
Austin Ashiatsu,Austin,TX,1601 East 5th Street,78702,,,,,N/A,No website,,osm
Bali Massage Spa,Austin,TX,6800 West Gate Boulevard,78745,+1-512-320-8999,,,,N/A,No website,,osm
Pure Relief Chiropractic,Austin,TX,1106 Clayton Lane,78723,,,,,N/A,No website,,osm
Body Therapy ATX,Austin,TX,8840 Business Park Drive,78759,+1-504-266-3627,,,,N/A,No website,,osm
