name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Midas,Tampa,,,,,,,,N/A,No website,"Elevate Midas in Tampa's online presence with a modern, user-friendly website to shine, not just their gold.",osm
Tires Plus,Tampa,,,,,,,,N/A,No website,"Elevate your Tampa presence with a professional website, driving more customers to Tires Plus.",osm
Tire Kingdom,Tampa,,,,,,,,N/A,No website,"Elevate your brand with a new Tire Kingdom website, driving customer engagement and sales in Tampa.",osm
Tuffy Auto Service Center,Tampa,,,,,,,,N/A,No website,Elevate your reputation and serve Tampa drivers more effectively with a professional online presence.,osm
Sears Auto Center,Tampa,FL,E Fowler Ave,33612,,,,,N/A,No website,"Rev up your online presence, Sears Auto Center Tampa, with a website to fuel customer convenience.",osm
Quick Lube,Tampa,FL,N 22nd St,33612,,,,,N/A,No website,"Get your Tampa Quick Lube in gear with a website that's fast, reliable, and oil-change ready.",osm
Just Brakes,Tampa,,,,,,,,N/A,No website,Bring your brakes business online with a website that stops customers in their tracks.,osm
Olin Mott Tire Store,Tampa,,,,,,,,N/A,No website,Help Olin Mott Tire Store in Tampa establish an online presence and drive customer engagement.,osm
Carsmetics Dent & Scratch Removal,Tampa,FL,930 E Fowler Ave,33612,,,,,N/A,No website,"Get a flawless finish for your ride without breaking the bank, Tampa.",osm
Carquest,Tampa,,,,,,,,N/A,No website,"Transform Carquest Tampa's offline presence into an online hub, increasing customer engagement and driving sales.",osm
Benny's Auto Service,Tampa,,,,,,,,N/A,No website,"Benny's Auto Service, get seen by Tampa locals - we'll build a website that makes repairs shine.",osm
Island Auto,Tampa,,,,,,,,N/A,No website,Give Island Auto a digital home in Tampa to attract more customers and boost sales.,osm
The Tire Choice & Total Care Care,Tampa,FL,601 N Morgan St,33602,,,,,N/A,No website,Help The Tire Choice in Tampa go from unknown to unstoppable with a professional online presence.,osm
Lorenzo's Alignment,Tampa,FL,111 South 22nd St,33605,,,,,N/A,No website,Establish an online presence for Lorenzo's Alignment to reach more Tampa drivers and increase customer trust.,osm
Ice Cold Air,Tampa,FL,West Hillsborough Avenue,33635,,,,,N/A,No website,Bring warmth to your online presence: create a website for Ice Cold Air to cool your competition.,osm
Jiffy Lube,Tampa,FL,West Hillsborough Avenue,33635,,,,,N/A,No website,Get your online wheels in motion with a website that drives Tampa locals to your Jiffy Lube services.,osm
Firestone,Tampa,,,,,,,,N/A,No website,Help Firestone in Tampa stand out with a compelling website that showcases expertise and builds trust.,osm
Meineke,Tampa,FL,East Busch Boulevard,33617,,,,,N/A,No website,Get a new online presence that boosts visibility and drives customers to Meineke in Tampa.,osm
AAMCO,Tampa,,,,,,,,N/A,No website,"Rev up your online presence with a custom AAMCO website, where customers can find trusted transmission services in Tampa.",osm
Olin Mott,Tampa,FL,10103 North Florida Avenue,33604,,,,,N/A,No website,"Establish a strong online presence with a custom website that showcases Olin Mott's expertise in Tampa, FL.",osm
Ludek's European Auto Service,Tampa,,3327 Gandy Boulevard,33611,+1-813-832-2738,,,,N/A,No website,Get found online and drive more customers to Ludek's European Auto Service with a professional website presence.,osm
SDS Auto & Tire,Tampa,,5512 West Waters Avenue,,,,,,N/A,No website,Help SDS Auto & Tire in Tampa build a website that's as reliable as their tire services.,osm
Econo Auto Painting and Body Works,Tampa,,,,,,,,N/A,No website,Get back on the road with a professional reputation through an affordable and reliable online presence.,osm
Autobahn Auto Service,Tampa,,8025 Anderson Road,,,,,,N/A,No website,Get your wheels on the web: a website for Autobahn Auto Service to drive in customer traffic.,osm
Mobil One Lube Shop,Tampa,,,,,,,,N/A,No website,"Transform Mobil One Lube Shop's online presence in Tampa, elevating customer convenience and loyalty.",osm
Rack Attack,Tampa,,,,,,,,N/A,No website,Help Rack Attack in Tampa thrive by designing an unforgettable online presence that's as unique as their bike racks.,osm
Saaab Store,Tampa,FL,4025 West Osborne Avenue,33614,+1 813-877-7222,,,,N/A,No website,"Transform your Tampa storefront into a 24/7 sales powerhouse with a sleek, user-friendly Saaab Store website.",osm
Mike's Auto Glass Tampa,Tampa,FL,4901 North Armenia Avenue,33603,+1-813-876-4115,,,,N/A,No website,Get your windshield back on track with Mike's Auto Glass Tampa's expert service and a new online presence.,osm
Rivian Service Center,Tampa,FL,701 North Dale Mabry Highway,33609,,,,,N/A,No website,Create a website for our Tampa Rivian Service Center to showcase services and build customer trust immediately.,osm
Super Dave Tire Shop,Tampa,,6323 South Dale Mabry Highway,33611,+1-813-304-0185,,,,N/A,No website,Give Super Dave Tire Shop a digital presence that drives customers to its Tampa location.,osm
NAPA Auto Parts,Tampa,,,,,,,,N/A,No website,"Elevate NAPA Auto Parts in Tampa with a modern website, driving customers and boosting sales instantly.",osm
Gz performance,Tampa,FL,6717 Benjamin Road,33643,+1-786-718-5573,,,,N/A,No website,"Give Gz Performance a digital home in Tampa, FL, where customers can discover and engage with your brand online.",osm
