name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
"Demand Drop - Lighting, HVAC, Electrical",Phoenix,,,,,,,,N/A,No website,,osm
ArcPoint Labs,Phoenix,,,,,,,,N/A,No website,,osm
Parsons Electric,Phoenix,,,,,,,,N/A,No website,,osm
MJ Electric,Phoenix,,,,,,,,N/A,No website,,osm
Independent Electrical Contractors,Phoenix,,,,,,,,N/A,No website,,osm
PFD Electric LLC,Phoenix,,,,,,,,N/A,No website,,osm
Mister Sparky,Phoenix,,,,,,,,N/A,No website,,osm
Independent Electric,Phoenix,,,,,,,,N/A,No website,,osm
Vivid Solutions,Phoenix,,,,,,,,N/A,No website,,osm
Efficient Electric,Phoenix,,,,,,,,N/A,No website,,osm
Armstrong Service Electric,Phoenix,,,,,,,,N/A,No website,,osm
US Installations,Phoenix,,,,,,,,N/A,No website,,osm
"Tilton Electric, LLC",Phoenix,,,,,,,,N/A,No website,,osm
"KER Electric, Inc.",Phoenix,AZ,2623 South 21st Street,85034,,,,,N/A,No website,,osm
Ludvik Electric,Phoenix,AZ,1020 East University Drive,85034,,,,,N/A,No website,,osm
Super Electric,Phoenix,,,,,,,,N/A,No website,,osm
Canyon State Electric,Phoenix,,,,,,,,N/A,No website,,osm
Paragon Power LLC,Phoenix,,,,,,,,N/A,No website,,osm
RWK Electric Co,Phoenix,,,,,,,,N/A,No website,,osm
CLS Electric Corporation,Phoenix,AZ,4222 South 37th Street,85040,,,,,N/A,No website,,osm
UES Residential Electrical Service,Phoenix,,,,,,,,N/A,No website,,osm
Water Springs Electric,Phoenix,,,,,,,,N/A,No website,,osm
Bjelde Electric,Phoenix,,,,,,,,N/A,No website,,osm
"Jacobs Electrical Services, LLC",Phoenix,,,,,,,,N/A,No website,,osm
