name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
H-E-B Pharmacy,Houston,TX,11815 Westheimer Road,77077,+1-281-497-8479,,,,N/A,No website,,osm
H-E-B Pharmacy,Sugar Land,TX,530 State Highway 6,77479,+1-281-240-6370,,,,N/A,No website,,osm
The Medicine Shoppe,Houston,,,,,,,,N/A,No website,,osm
Cullen Care Pharmacy,Houston,,,,,,,,N/A,No website,,osm
Elgin Pharmacy,Houston,,,,,,,,N/A,No website,,osm
Mid Town Specialty RX Pharmacy,Houston,TX,1701 Webster Street,77003,,,,,N/A,No website,,osm
Twin Lakes,Houston,,,,,,,,N/A,No website,,osm
H-E-B Pharmacy,Bellaire,TX,5106 Bissonnet Street,77401,+1-713-662-2000,,,,N/A,No website,,osm
Campbell's Compounding,Houston,TX,6601 Kirby Drive,,,,,,N/A,No website,,osm
Cedra Pharmacy,Houston,,1607 South Post Oak Lane,,,,,,N/A,No website,,osm
Loving Care Pharmacy,Houston,TX,4406 Airline Drive,,,,,,N/A,No website,,osm
Tidwell Professional Pharmacy,Houston,TX,2310 Tidwell Road,,,,,,N/A,No website,,osm
Essentials Pharmacy,Houston,,,,,,,,N/A,No website,,osm
Medic Pharmacy,Houston,,,,,,,,N/A,No website,,osm
Iridium Pharmacy,Houston,TX,2240 Navigation Boulevard,,,,,,N/A,No website,,osm
Evergreen Pharmacy,Houston,,,,,,,,N/A,No website,,osm
Park Place Pharmacy,Houston,,,,,,,,N/A,No website,,osm
Sterling Pharmacy,Houston,,,,,,,,N/A,No website,,osm
