name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
29th Avenue Animal Hospital,Denver,,,,,,,,N/A,No website,,osm
Veterinary Emergency Group,Denver,CO,6305 East Hampden Avenue,80222,+1 720-739-6003,,,,N/A,No website,,osm
City Bark Doggie Day Care,Denver,CO,3150 Brighton Boulevard,80216,,,,,N/A,No website,,osm
Urban Dogg,Denver,CO,695 East 19th Avenue,80203,,,,,N/A,No website,,osm
Woof In Boots,Denver,CO,719 West 8th Avenue,80204,,,,,N/A,No website,,osm
Maxfund Cat Adoption Center,Denver,CO,720 West 10th Avenue,80204,,,,,N/A,No website,,osm
Downtown Animal Care Center,Denver,,1041 Galapago Street,80204,,,,,N/A,No website,,osm
MaxFund Wellness Center,Denver,CO,1000 Inca Street,80204,,,,,N/A,No website,,osm
Center For Animal Wellness,Denver,CO,1167 Santa Fe Drive,80204,,,,,N/A,No website,,osm
Urban Vet Care,Denver,CO,2815 Clay Street,80211,,,,,N/A,No website,,osm
Highlands Animal Clinic,Denver,CO,3727 West 32nd Avenue,80211,,,,,N/A,No website,,osm
CityVet,Denver,CO,520 East Colfax Avenue,80203,,,,,N/A,No website,,osm
Corrie's Pet Grooming,Denver,CO,4162 Tennyson Street,80212,,,,,N/A,No website,,osm
Banfield Pet Hospital,Denver,CO,1402 South Parker Road,80231,,,,,N/A,No website,,osm
Thrive,Aurora,CO,1350 South Ironton Street,80012,+1-720-279-8328,,,,N/A,No website,,osm
WellHaven Pet Health,Denver,CO,3480 Park Avenue West,80216,,,,,N/A,No website,,osm
Pets on Broadway,Denver,,,,,,,,N/A,No website,,osm
Washington Park Veterinary Clinic,Denver,,395 South Pearl Street,,,,,,N/A,No website,,osm
GoodVets,Denver,CO,2819 Larimer Street,80205,,,,,N/A,No website,,osm
