name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Downtown Barbers,Denver,CO,1620 Champa Street,80202,,,,,N/A,No website,,osm
Floyd's 99 Barbershop,Denver,CO,1600 Champa Street,80202,,,,,N/A,No website,,osm
The Parlour,Denver,CO,1736 Wynkoop Street,80202,,,,,N/A,No website,,osm
Headwaves,Denver,,1304 South Pearl Street,,+1-303-777-7708,,,,N/A,No website,,osm
Thompson & Co,Denver,,2220 East Tennessee Avenue,,+1-303-733-1110,,,,N/A,No website,,osm
Flirt Salon,Denver,,1039 South Gaylord Street,,,,,,N/A,No website,,osm
Tootsies Nail Shoppe,Denver,,1021 South Gaylord Street,,+1-720-570-0974,,,,N/A,No website,,osm
Stl + Lthr Barber Co.,Denver,CO,1750 15th Street,80202,,,,,N/A,No website,,osm
Nail Sky,Denver,CO,1512 Larimer Street,80202,,,,,N/A,No website,,osm
Hollywood Nails,Denver,,,,,,,,N/A,No website,,osm
Nails & Care Salon,Denver,CO,1550 Cleveland Place,80202,,,,,N/A,No website,,osm
Bull Locks,Denver,CO,3621 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Star Salon,Denver,CO,1104 East 17th Avenue,80218,,,,,N/A,No website,,osm
Juno Hair,Aurora,CO,2353 South Havana Street,80014,+1-303-750-0477,,,,N/A,No website,,osm
D'Patty's Estilistas,Denver,,,,,,,,N/A,No website,,osm
Snappy Nails & Spa,Denver,CO,2780 South Colorado Boulevard,80222,+1-303-758-9924,,,,N/A,No website,,osm
MAX Beauty College,Aurora,CO,2720 South Havana Street,80014,+1-303-671-6707,,,,N/A,No website,,osm
The Face Shop,Aurora,CO,2765 South Parker Road,80014,,,,,N/A,No website,,osm
Joe's Barbers & Salon,Aurora,CO,2680 South Havana Street,80014,+1-720-366-5265,,,,N/A,No website,,osm
T & J Style,Denver,CO,South Galena Street,80231,,,,,N/A,No website,,osm
Village Square East Barbers,Denver,CO,8976 East Hampden Avenue,80231,+1-303-779-9153,,,,N/A,No website,,osm
Dimensions in Hair,Denver,,6491 East Hampden Avenue,80222,+1-303-756-9428,,,,N/A,No website,,osm
Daisy's Boutique,Denver,CO,3550 Downing Street,80205,,,,,N/A,No website,,osm
MoonDance Botanicals,Denver,CO,601 Corona Street,80218,,,,,N/A,No website,,osm
BJ's Hair Sensations,Denver,,2242 Oneida Street,80207,+1-303-322-4999,,,,N/A,No website,,osm
Vance Barber/Stylist,Denver,,2232 Oneida Street,80207,+1-303-321-2470,,,,N/A,No website,,osm
Opal,Denver,,,,+1-303-789-9520,,,,N/A,No website,,osm
Modern Hair & Design,Aurora,CO,10650 East Garden Drive,80012,,,,,N/A,No website,,osm
Joe's Salon & Barbers II,Denver,CO,1422 South Parker Road,80231,+1-303-353-8097,,,,N/A,No website,,osm
Senegalese African Hair Braiding,Aurora,,9357 East Colfax Avenue,80010,,,,,N/A,No website,,osm
Maria Bonita,Aurora,CO,9511 East Colfax Avenue,80010,+1-720-435-2780,,,,N/A,No website,,osm
Clinica De Belleza,Aurora,CO,9523 East Colfax Avenue,80010,+1-720-422-5677,,,,N/A,No website,,osm
J's Barber-Tattoo-Piercing,Aurora,CO,9516 East Colfax Avenue,80010,,,,,N/A,No website,,osm
Oneness Hair & Nails,Aurora,CO,9635 East Colfax Avenue,80010,+1-303-366-3484,,,,N/A,No website,,osm
Mariam's Hair Braiding,Aurora,CO,9625 East Colfax Avenue,80010,+1-303-537-4045,,,,N/A,No website,,osm
JC Barbers,Aurora,CO,9699 East Colfax Avenue,80010,+1-303-364-3655,,,,N/A,No website,,osm
Aveda Institute of Denver,Denver,CO,700 16th Street,80202,+1-303-567-7500,,,,N/A,No website,,osm
Fifth Avenue Nails,Denver,CO,1617 Wazee Street,80202,,,,,N/A,No website,,osm
Mile High Kutz,Denver,CO,1740 Federal Boulevard,80204,,,,,N/A,No website,,osm
Vida Salon,Denver,CO,3390 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Four Seasons Nails,Denver,CO,3481 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Studio Ny,Denver,CO,1263 30th Street,80205,,,,,N/A,No website,,osm
Laser Beauty Works,Denver,CO,3300 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Shearblondie Hair Salon,Denver,CO,424 21st Street,80205,,,,,N/A,No website,,osm
Fashion Nails,Denver,CO,757 East 20th Avenue,80205,,,,,N/A,No website,,osm
Hand in Hand Therapeutic Touch,Denver,CO,740 East 18th Avenue,80218,,,,,N/A,No website,,osm
Henry's Salon,Denver,CO,450 East 17th Avenue,80203,,,,,N/A,No website,,osm
The Station Hair Studio,Denver,CO,1120 Delaware Street,80204,,,,,N/A,No website,,osm
Skin in the City,Denver,CO,1120 Delaware Street,80204,,,,,N/A,No website,,osm
BangZ Salon,Denver,CO,300 West 11th Avenue,80204,,,,,N/A,No website,,osm
Posh & Polished Nails Spa,Denver,CO,555 Broadway,80203,+1-720-502-7109,,,,N/A,No website,,osm
Diesel Barbershop,Denver,CO,955 Lincoln Street,80203,,,,,N/A,No website,,osm
Rita B Salon,Denver,CO,975 Lincoln Street,80203,,,,,N/A,No website,,osm
Fleur Salon,Denver,CO,30 East 9th Avenue,80203,,,,,N/A,No website,,osm
Razors Sharp Cuts,Denver,CO,321 East 13th Avenue,80203,,,,,N/A,No website,,osm
Martha's Beauty Salon,Denver,CO,516 East Colfax Avenue,80203,,,,,N/A,No website,,osm
Salon Dayton,Denver,CO,2020 South Parker Road,80231,+1-303-752-2526,,,,N/A,No website,,osm
Salon Tau,Denver,CO,1842 South Parker Road,80231,+1-720-251-6786;+1-720-724-8521,,,,N/A,No website,,osm
Lulu's Looking Glass,Denver,CO,1407 Ogden Street,80218,,,,,N/A,No website,,osm
Mop Factory Salon,Denver,CO,1433 Ogden Street,80218,,,,,N/A,No website,,osm
Helena's Nails,Denver,CO,1010 East 11th Avenue,80218,,,,,N/A,No website,,osm
Central Park Barber Shop,Denver,,East Iliff Avenue,80231,,,,,N/A,No website,,osm
