name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
The Brass Rail,New York,,,,,,,,N/A,No website,,osm
Whiskey Tavern,New York,NY,79 Baxter Street,10013,+1 212 374 9119,,,,N/A,No website,,osm
Canteen,Brooklyn,NY,643 Dean Street,11238,,,,,N/A,No website,,osm
Mocha Hookah,New York,,,,,,,,N/A,No website,,osm
Craft + Carry,New York,,,,,,,,N/A,No website,,osm
Lenox Coffee,New York,,,,,,,,N/A,No website,,osm
Battle Hill Tavern,New York,,,,+1-347-987-3055,,,,N/A,No website,,osm
Washington Commons,Brooklyn,NY,748 Washington Avenue,11238,+1-718-230-3666,,,,N/A,No website,,osm
Mugs Ale House,Brooklyn,NY,125 Bedford Avenue,,,,,,N/A,No website,,osm
Cafe Delecctica,New York,,564 3rd Avenue,10016,,,,,N/A,No website,,osm
Café au bon gout,New York,,1 5th Avenue,10016,,,,,N/A,No website,,osm
The Richardson,New York,,,,,,,,N/A,No website,,osm
El Loco Burrito,New York,,345 Graham Avenue,11211,+1 718-388-8215,,,,N/A,No website,,osm
Tony's Pizza,New York,,,,+1-718-384-8669,,,,N/A,No website,,osm
East Met West,New York,,752 Metropolitan Avenue,11211,+1 718-218-7777,,,,N/A,No website,,osm
Sarah James,Brooklyn,NY,217 Pulaski Street,,,,,,N/A,No website,,osm
Carbone,New York,NY,331 West 38th Street,,,,,,N/A,No website,,osm
Cooper's Tavern,New York,,,,,,,,N/A,No website,,osm
City Market Cafe,New York,,,,,,,,N/A,No website,,osm
9th St Espresso,New York,,700 East 9th Street,10009,,,,,N/A,No website,,osm
Brooklyn Ice House,New York,,318 Van Brunt Street,11231,+1-718-222-1865,,,,N/A,No website,,osm
Gloria's,New York,,Nostrand Avenue,,,,,,N/A,No website,,osm
Red Hook Ball Field Food Trucks,New York,,Bay Street,,,,,,N/A,No website,,osm
Legal Grounds,New York,,,,,,,,N/A,No website,,osm
Fuji East Restaurant,New York,,,,,,,,N/A,No website,,osm
Standings,New York,NY,43 East 7th Street,10003,+1-212-420-0671,,,,N/A,No website,,osm
Burp Castle,New York,NY,41 East 7th Street,10003,,,,,N/A,No website,,osm
Ristorante Settepani,New York,,,,,,,,N/A,No website,,osm
Le Basket,New York,,683 Broadway,,,,,,N/A,No website,,osm
O'Hara's Pub,New York,,,,,,,,N/A,No website,,osm
Juliette Restaurant,New York,,,,,,,,N/A,No website,,osm
miDmuS,New York,,135 North 5th Street,,,,,,N/A,No website,,osm
Pressed Juicery,Brooklyn,NY,166 North 7th Street,11211,+1 347-689-2331,,,,N/A,No website,,osm
Twin Cafe,New York,,,,,,,,N/A,No website,,osm
Kaffe 1668,New York,,275 Greenwich Street,,,,,,N/A,No website,,osm
Pick-a-Bagel,New York,,102 North End Avenue,10282,,,,,N/A,No website,,osm
Le Pain Quotidien,New York,,,,,,,,N/A,No website,,osm
Rockmeisha Izakaya,New York,,,,,,,,N/A,No website,,osm
Annisa,New York,,,,,,,,N/A,No website,,osm
Fulton Grand,Brooklyn,NY,439 Grand Avenue,,,,,,N/A,No website,,osm
John's of Bleecker Street,New York,NY,278 Bleecker Street,10014,,,,,N/A,No website,,osm
Hummus Place,New York,,71 South 7th Avenue,,,,,,N/A,No website,,osm
Cafe Michelena,New York,,,,,,,,N/A,No website,,osm
Cooper's,New York,,,,,,,,N/A,No website,,osm
Daytripper NYC,New York,NY,158 Avenue C,,,,,,N/A,No website,,osm
Counting Room,New York,,,,,,,,N/A,No website,,osm
Urban Rustic,Brooklyn,NY,236 North 12th Street,11211,,,,,N/A,No website,,osm
Basic Coffee Shop,New York,,235 8th St,,,,,,N/A,No website,,osm
Dancing Crane Cafe,New York,,,,,,,,N/A,No website,,osm
Punjabi Deli & Grocery,New York,,,,+1-212-533-3356,,,,N/A,No website,,osm
Mezcal's,New York,,223 5th Avenue,11215,+1-718-783-3276,,,,N/A,No website,,osm
Silverleaf Tavern,New York,,70 Park Avenue,,,,,,N/A,No website,,osm
Park Avenue Tavern,New York,,,,,,,,N/A,No website,,osm
Pret A Manger,New York,,,,,,,,N/A,No website,,osm
Elite Palace,Queens,NY,6902 Garfield Avenue,11377,,,,,N/A,No website,,osm
The Breslin,New York,NY,16 West 29th Street,10001,+1 212-679-1939,,,,N/A,No website,,osm
fresh & co,New York,,,,,,,,N/A,No website,,osm
USA Brooklyn Delicatessen,New York,,200 West 57th Street,10019,,,,,N/A,No website,,osm
Hoy Wong Restaurant,New York,,81 Mott street,,,,,,N/A,No website,,osm
Madison & Vine,New York,,,,,,,,N/A,No website,,osm
LA Fonda Del Sol,New York,,,,,,,,N/A,No website,,osm
The Beer Bar Cafe Centro,New York,,,,,,,,N/A,No website,,osm
Blake & Todd,New York,,,,,,,,N/A,No website,,osm
The Capital Grille,New York,,,,,,,,N/A,No website,,osm
The Wheeltapper Pub,New York,,141 East 44th Street,10017,,,,,N/A,No website,,osm
Delmonico Gourmet Market,New York,,,,,,,,N/A,No website,,osm
Central Cafe,New York,,,,,,,,N/A,No website,,osm
Vivibowl,New York,NY,295 Madison Avenue,10017,,,,,N/A,No website,,osm
The Heavenly Burger,New York,,291 Madison Avenue,,,,,,N/A,No website,,osm
DIG,New York,,,,,,,,N/A,No website,,osm
Andaz,New York,,,,,,,,N/A,No website,,osm
Connolly's,New York,,,,,,,,N/A,No website,,osm
Wafels and Dinges,New York,,,,,,,,N/A,No website,,osm
Broadway Cafe,New York,,1123 Broadway,10010,+1-212-727-9797,,,,N/A,No website,,osm
Black Fox Coffee,New York,,,,,,,,N/A,No website,,osm
