name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Jollibee,Chicago,IL,116 South Michigan Avenue,60603,+1-312-270-8909,,,,N/A,No website,"Reinvigorate Jollibee Chicago's online presence with a modern, fast, and mobile-friendly website that matches its vibrant brand.",osm
Sbarro,Chicago,IL,1725 West Polk Street,60612,,,,,N/A,No website,"Reimagining your Sbarro website for a seamless Chicago online experience, starting with a modern and mobile-friendly platform.",osm
Park Place Cafe,Chicago,,,,,,,,N/A,No website,Give Park Place Cafe a modern website that serves up a seamless user experience.,osm
Lou Malnati's Pizzeria,Chicago,IL,958 West Wrightwood Avenue,60614,,,,,N/A,No website,"Revamp Lou Malnati's website to serve up a faster, more delicious online dining experience for Chicagoans.",osm
Savor the Flavor,Chicago,,,,,,,,N/A,No website,"Transforming your outdated site into a mobile-responsive, flavor-filled experience that will leave a lasting impression on Chicago foodies.",osm
Rocks Lincoln Park,Chicago,IL,1301 West Schubert Avenue,60614,,,,,N/A,No website,"Transform Rocks Lincoln Park's online presence with a fresh, fast, and mobile-friendly website redesign.",osm
Gaslight,Chicago,,,,,,,,N/A,No website,Bring Gaslight into the light: a new website that shines bright on desktop and mobile devices.,osm
Brunos Lounge,Chicago,IL,6562 North Sheridan Road,60626,+1-773-764-7900,,,,N/A,No website,Give Brunos Lounge a modern digital makeover to revitalize their online presence and attract new customers.,osm
Bird's Nest,Chicago,,,,,,,,N/A,No website,"Elevate your Bird's Nest experience with a modern, mobile-friendly website that welcomes Chicago visitors to your nest.",osm
The Ginger Man Tavern,Chicago,IL,3740 North Clark Street,60613,+1-773-549-2050,,,,N/A,No website,"Elevate The Ginger Man's online presence, enhancing the customer experience with a modern, mobile-friendly website.",osm
Wild Hare,Chicago,,,,,,,,N/A,No website,"Transform your Wild Hare brand with a modern, fast, and mobile-friendly website that exceeds customer expectations.",osm
Range,Chicago,,,,,,,,N/A,No website,"Transform your outdated website into a user-friendly experience, making it easier for customers to discover Range in Chicago.",osm
Mo's,Chicago,,,,,,,,N/A,No website,Mo's in Chicago needs a website refresh to attract new customers and keep up with the competition.,osm
Royal Highness Zhu,Chicago,,,,,,,,N/A,No website,Let's revamp your Royal Highness Zhu website for a seamless user experience and mobile-friendly charm.,osm
Golden Apple,Chicago,IL,2971 North Lincoln Avenue,60657,+1-773-528-1413,,,,N/A,No website,"Give Golden Apple a golden online glow with a fresh, fast, and mobile-friendly website that shines.",osm
Pockets,Chicago,IL,3001 North Lincoln Avenue,60657,,,,,N/A,No website,"Boost your Chicago presence with a modern, fast website that wows customers on every device.",osm
Giordano's Pizzeria,Chicago,IL,1040 West Belmont Avenue,60657,,,,,N/A,No website,"Reignite Giordano's online presence with a modern, mobile-friendly website that's as rich as their Chicago-style deep dish.",osm
Tapas Barcelona,Evanston,IL,1615 Chicago Avenue,60201,+1-847-866-9900,,,,N/A,No website,"Transform Tapas Barcelona's online presence with a modern, mobile-friendly website to boost bookings and local appeal.",osm
Buffalo Joe's,Evanston,IL,812 Clark Street,60201,+1-847-328-5525,,,,N/A,No website,"Give Buffalo Joe's a digital revamp: update the website, boost speed, and make it mobile-friendly for hungry locals.",osm
Koi,Evanston,IL,624 Davis Street,60201,,,,,N/A,No website,Transform your Koi Evanston website into a stunning digital experience that draws in local customers.,osm
Mt. Everest Restaurant,Evanston,IL,630 Church Street,60201,+1-847-491-1069,,,,N/A,No website,Scale our modern website design to match your upscale menu and Evanston reputation for excellence.,osm
Habibi In Mediterranean Grill,Evanston,IL,825 Church Street,60201,,,,,N/A,No website,"Elevate Habibi's online presence with a modern website, ensuring seamless user experience and mobile accessibility.",osm
Stella's Diner,Chicago,IL,3042 North Broadway,60657,,,,,N/A,No website,"Let's bring Stella's Diner into the digital age with a modern, fast website that wows Chicago foodies.",osm
Canton Express,Chicago,,,,,,,,N/A,No website,"Canton Express, it's time to upgrade your online presence and bring your Chicago flavors to mobile-minded customers.",osm
Efebina's,Chicago,,,,,,,,N/A,No website,"Egebina's deserves a modern, fast, and mobile-friendly website, elevating its online presence and customer experience.",osm
Rock's,Chicago,IL,3463 North Broadway,60657,,,,,N/A,No website,"Give Rock's in Chicago a fresh online presence that rocks and drives sales, starting with a mobile-friendly redesign.",osm
Eggsperience Pancakes & Cafe,Chicago,IL,3233 North Broadway,60657,,,,,N/A,No website,"Revamp Eggsperience's website for a delicious digital experience that's faster, fresher, and fully optimized for mobile users.",osm
Ping Pong Asian-Thai,Chicago,,,,,,,,N/A,No website,Give your Chicago customers a fast and modern online experience with a new Ping Pong Asian-Thai website.,osm
Charlie's Chicago,Chicago,IL,3726 North Broadway,60613,,,,,N/A,No website,"Give Charlie's Chicago a digital facelift, transforming its outdated website into a fast, user-friendly experience that shines.",osm
Circuit,Chicago,,,,,,,,N/A,No website,"Let's revamp your website and make it shine like Chicago's nightlife, where every user has a great time.",osm
