name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Fu Kang Reflexology,New York,,94 Bayard Street,10013,+1-646-861-3360,,,,N/A,No website,,osm
NY Eden Spa,New York,,,,+1917-409-5958,,,,N/A,No website,,osm
Nourishing Life Holistic Wellness,New York,NY,207 East 14th Street,10003,+1-212-780-9588,,,,N/A,No website,,osm
Heaven Spa,New York,,15 West 17th Street,10011,+1 212 206-1884,,,,N/A,No website,,osm
5th & 5th Wellness,New York,,339 5th Street,11215,+1-347-987-6729,,,,N/A,No website,,osm
Seasons Body Work,New York,,,,+1-212-337-3145,,,,N/A,No website,,osm
Waterlilly Spa,New York,,,,+1-212-343-7942,,,,N/A,No website,,osm
Lavender Spa 781,New York,,,,+1-646-920-0226,,,,N/A,No website,,osm
Home,New York,,130 Nevins Street,11217,,,,,N/A,No website,,osm
A & Y Beauty Salon,New York,,9411 3rd Avenue,11209,+1-347-294-9502,,,,N/A,No website,,osm
Mandarino Chiropractic,New York,,9705 3rd Avenue,11209,+1-718-748-9624,,,,N/A,No website,,osm
Lavender,New York,,,,+1-718-559-9272,,,,N/A,No website,,osm
L & L Beauty,New York,,512 84th Street,11209,+1-929-358-8836,,,,N/A,No website,,osm
Jinfu Spa,New York,,163 Mott Street,10013,+1-212-219-0818,,,,N/A,No website,,osm
New East Men Spa,New York,,,,+1-212-388-1020,,,,N/A,No website,,osm
Renewing Wellness,New York,NY,230 West Houston Street,10014,+1-212-510-7293,,,,N/A,No website,,osm
Relax Foot Spa,New York,,195 Centre Street,10013,,,,,N/A,No website,,osm
Good Luck Spa,New York,,33 Orchard Street,10002,+1-718-427-5457,,,,N/A,No website,,osm
167 Lincoln Place Spa,New York,,167 Lincoln Place,11217,+1 929 337 6431,,,,N/A,No website,,osm
Relaxing Spa,New York,,461 Sterling Place,11238,+1-917-285-4225,,,,N/A,No website,,osm
Nirvana Wellness NYC,New York,,366 2nd Avenue,10010,+1-212-533-3315,,,,N/A,No website,,osm
Four Seasons Beauty,New York,,892 9th Avenue,10019,,,,,N/A,No website,,osm
Royal Tuina,New York,,242 East 36th Street,10016,+1 212 696 1128,,,,N/A,No website,,osm
iLove spa,New York,,209 East 66th Street,10065,+1 646 918 6513,,,,N/A,No website,,osm
Taiji Body Work - Peng's Spa,New York,NY,216 West 102nd Street,10025,+1-212-222-9591,,,,N/A,No website,,osm
BW Spa,New York,,,,+1-917-388-3936,,,,N/A,No website,,osm
Angel’s Back Rub & Foot Rub,New York,,,,,,,,N/A,No website,,osm
Moon’s Acupuncture,New York,,21-04 31st Street,11105,,,,,N/A,No website,,osm
64 Bergen Spa,New York,,64 Bergen Street,11201,+1-347-689-4672,,,,N/A,No website,,osm
Zu Yuan Spa,New York,NY,48 Mott Street,10013,+1 718 808 5559,,,,N/A,No website,,osm
Massage Envy,Hoboken,NJ,1170 Maxwell Lane,07030,,,,,N/A,No website,,osm
Lily Foot Spa,New York,,,,+1-929-693-8188,,,,N/A,No website,,osm
LIC Chiropractic,New York,,,,,,,,N/A,No website,,osm
Gadenpa Buddhist Center,New York,,38-30 29th Street,,,,,,N/A,No website,,osm
Life Balance NY,New York,,1134 Broadway,,,,,,N/A,No website,,osm
Daya Yoda Studio,New York,,360 Jefferson Street,,,,,,N/A,No website,,osm
Foot Heaven,New York,,16 Pell Street,,+1-212-962-6588,,,,N/A,No website,,osm
Doyers Relaxing Spot,New York,,17 Doyers Street,10013,+1-212-226-2959,,,,N/A,No website,,osm
Hao Zu Dao,New York,NY,59 Mott Street,,+1-212-796-7878,,,,N/A,No website,,osm
No. 3 Spa,New York,,,,,,,,N/A,No website,,osm
Hand & Stone Massage and Facial Spa,New York,,,,,,,,N/A,No website,,osm
Medical Arts of New York,New York,,31-87 Steinway Street,,+1-718-626-8500,,,,N/A,No website,,osm
85 Spa,New York,,West 85th Street,,+1 646 678 5044,,,,N/A,No website,,osm
Unisex Hair Salon,New York,,79-21 Northern Boulevard,,,,,,N/A,No website,,osm
Olya Spa,New York,,,,+1-585-608-0666,,,,N/A,No website,,osm
Elena De Lucia,New York,,497 6th Avenue,11215,,,,,N/A,No website,,osm
New Green Center Bodywork,New York,,350 East 92nd Street,,+1 212-722-7686,,,,N/A,No website,,osm
Golden Stone Spa,New York,,,,+1-718-576-3577,,,,N/A,No website,,osm
Top Notch Beauty & Health Spa,New York,,,,+1-646-836-6068,,,,N/A,No website,,osm
Floral Health Spa,New York,,1129 Myrtle Avenue,11206,+1-929-313-0999,,,,N/A,No website,,osm
4th Relax Center,New York,,453B 4th Street,11215,+1-718-965-6086,,,,N/A,No website,,osm
Spa on 7th,New York,,,,+1 917 909 1931,,,,N/A,No website,,osm
Prospect Garden Spa,New York,,,,+1-718-230-0226,,,,N/A,No website,,osm
AAR Beauty & Health Center,New York,,,,+1 718 788 8886,,,,N/A,No website,,osm
Lucky Eastern Spa,New York,,,,+1 212 686 1678,,,,N/A,No website,,osm
