name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
The Grove Spot,Miami,,,,,,,,N/A,No website,,osm
GreenStreet,Miami,,,,,,,,N/A,No website,,osm
Barracuda,Miami,,,,,,,,N/A,No website,,osm
Root Beer Palace,Miami,,,,,,,,N/A,No website,,osm
El Cartel Colombian Restaurant,Miami,FL,194 Southeast 1st Avenue,33131,+1-305-358-7800,,,,N/A,No website,,osm
Wok Town,Miami,,,,,,,,N/A,No website,,osm
New York Bagel Deli,Miami,,,,,,,,N/A,No website,,osm
Pollo Tropical,Miami,,,,,,,,N/A,No website,,osm
Iron Sushi,Miami,FL,120 Southeast 3rd Avenue,33131-2004,+1-305-373-2000,,,,N/A,No website,,osm
Tre Italian Bistro,Miami,,,,,,,,N/A,No website,,osm
Camila's Restaurante Brasileiro,Miami,,129 Southeast 1st Avenue,33131,+1 305-375-0992,,,,N/A,No website,,osm
Sushi Sake,Miami,,,,,,,,N/A,No website,,osm
Munchies at Brickell,Miami,,,,,,,,N/A,No website,,osm
Chick'n Grill,Miami,FL,250 Southwest 8th Street,33130,+1-786-621-4800,,,,N/A,No website,,osm
Sky Bar,Miami,,,,,,,,N/A,No website,,osm
Bossa Nova Lounge,Miami,,,,,,,,N/A,No website,,osm
Cozy Corner,Miami,,,,,,,,N/A,No website,,osm
Miller's Ale House,Miami,,,,,,,,N/A,No website,,osm
Primo Cafe and Market,Miami,,3924 Collins Avenue,33140,+1 305-674-1886,,,,N/A,No website,,osm
3 Chefs Chinese & Vietnamese Food,Miami,,1800 Biscayne Boulevard,33132,,,,,N/A,No website,,osm
La Provence French Bakery,Miami,,,,,,,,N/A,No website,,osm
Sunny's Subs,Miami,,,,,,,,N/A,No website,,osm
Subrageous,Miami,,,,,,,,N/A,No website,,osm
Taste of Philly,Miami,,3940 Curtiss Parkway,33166,+1-305-456-0481,,,,N/A,No website,,osm
China King,Miami,,,,,,,,N/A,No website,,osm
Bubba Gump Shrimp Company,Miami,,,,,,,,N/A,No website,,osm
La Bottega,Miami,,1800 North Bayshore Drive,33132,+1 305 603 1003,,,,N/A,No website,,osm
The Cheesecake Factory,Miami,,,,,,,,N/A,No website,,osm
Monty's,Miami,,2550 South Bayshore Drive,33133,,,,,N/A,No website,,osm
Abraxas Lounge,Miami,,407 Meridian Avenue,33139,,,,,N/A,No website,,osm
Mac's Club Deuce,Miami Beach,,222 14th Street,33139,,,,,N/A,No website,,osm
Lost Weekend,Miami,,218 Espanola Way,33139,,,,,N/A,No website,,osm
South Pointe Cafe,Miami Beach,FL,1 Washington Avenue,33139,,,,,N/A,No website,,osm
Doral Ale House,Doral,,3271 NW 87th Ave,33172,,,,,N/A,No website,,osm
The Regent Cocktail Club,Miami,,1690 Collins Avenue,,,,,,N/A,No website,,osm
Sanctuary,Miami,,,,,,,,N/A,No website,,osm
The Islander Bar & Grill,Miami,,,,,,,,N/A,No website,,osm
Bacardi,Miami,,,,,,,,N/A,No website,,osm
Grove Bay Grill,Miami,FL,3381 Pan American Drive,33133,,,,,N/A,No website,,osm
Mary's Cafeteria,Miami,FL,2542 Southwest 27th Avenue,33133,+1 305 443-6672,,,,N/A,No website,,osm
Chivito Teca,Miami Beach,,6987 Collins Avenue,33141,+1 305 864 5252,,,,N/A,No website,,osm
Akashi Japanese Restaurant,Miami,FL,3444 Main Hwy,33133,+1-305-529-9954,,,,N/A,No website,,osm
Caffe Di Mauro,Miami Beach,FL,1464 Washington Avenue,33139,+1-305-673-5774,,,,N/A,No website,,osm
La Carreta Restaurant,Miami,FL,8650 Bird Rd,33155,+1-305-553-8383,,,,N/A,No website,,osm
FL Cafe,Miami,,,,,,,,N/A,No website,,osm
Fung Ku,Miami Beach,,1732 Collins Avenue,33139,,,,,N/A,No website,,osm
Red Bar,Miami Beach,,1756 Collins Avenue,33139,,,,,N/A,No website,,osm
Maxine's Bistro & Bar,Miami Beach,,1756 Collins Avenue,33139,,,,,N/A,No website,,osm
La Moon,Miami,FL,97 Southwest 8th Street,,+1-305-860-6209,,,,N/A,No website,,osm
Au Bon Pain,Miami,,,,,,,,N/A,No website,,osm
Smoothie King,Miami,,,,,,,,N/A,No website,,osm
Bella Cuba,Miami Beach,,1659 Washington Avenue,33139,,,,,N/A,No website,,osm
P.F. Chang's,Miami,,,,,,,,N/A,No website,,osm
East Side Pizza,Miami,,,,,,,,N/A,No website,,osm
Kon Chau,Miami,,,,,,,,N/A,No website,,osm
Floridita,Miami,,,,,,,,N/A,No website,,osm
Wynwood Cafe,Miami,FL,450 Northwest 27th Street,,,,,,N/A,No website,,osm
Jugofresh,Miami,,,,,,,,N/A,No website,,osm
Harry's Pizzeria,Miami,FL,3918 North Miami Avenue,33127,,,,,N/A,No website,,osm
Rubio's,Miami,FL,3201 North Miami Avenue,,,,,,N/A,No website,,osm
Europa Car Wash & Cafe,Miami,FL,6075 Biscayne Boulevard,,,,,,N/A,No website,,osm
Mmmm,Miami,FL,2519 Northwest 2nd Avenue,,,,,,N/A,No website,,osm
Via Verdi,Miami,,,,,,,,N/A,No website,,osm
Little Bread Cuban Sandwich Co.,Miami,FL,541 Southwest 12th Avenue,33130,+1-786-420-2672,,,,N/A,No website,,osm
Ball & Chain,Miami,,,,,,,,N/A,No website,,osm
Jacalito Taqueria,Miami,FL,3622 West Flagler Street,33135,,,,,N/A,No website,,osm
Graziano's Steak House,Miami,,,,,,,,N/A,No website,,osm
Earl of Sandwich,Miami,,,,,,,,N/A,No website,,osm
Miami-Havana Restaurant,Miami,,,,,,,,N/A,No website,,osm
BurgerFi,Miami Beach,,1242 Washington Avenue,33139,+1 305 534 0340,,,,N/A,No website,,osm
Cake Thai,Miami,FL,7919 Biscayne Boulevard,33138,+1-786-534-7906,,,,N/A,No website,,osm
guarapo,Miami,,,,,,,,N/A,No website,,osm
Columbus Restaurant,Miami Beach,FL,736 Ocean Drive,33139,,,,,N/A,No website,,osm
Corona Cafe,Miami,,,,,,,,N/A,No website,,osm
Ocean Kitchen Co.,Miami,,,,,,,,N/A,No website,,osm
