name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
CF Fitness - Orlando Dr Phillips,Orlando,FL,7733 Turkey Lake Road,32819,+1-407-226-9996,,,,N/A,No website,,osm
Magic Sports Center Silver Star,Orlando,,,,,,,,N/A,No website,,osm
Crossfit Taino,Orlando,,,,,,,,N/A,No website,,osm
Legacy Gymnastics Center,Orlando,,,,,,,,N/A,No website,,osm
Central Florida Sports Complex,Orlando,,,,,,,,N/A,No website,,osm
Box Hit Fitness Forma,Orlando,,,,,,,,N/A,No website,,osm
College Park Yoga,Orlando,FL,1837 Edgewater Drive,32804,+1-407-999-7871,,,,N/A,No website,,osm
Fitness Spa,Orlando,,,,,,,,N/A,No website,,osm
Apesquad Sports Performance,Orlando,FL,6765 Narcoossee Road,32822,,,,,N/A,No website,,osm
Forever Young Barbell,Orlando,FL,5895 Carrier Drive,32819,,,,,N/A,No website,,osm
Team Florida-Orlando Weightlifting,Orlando,,,,,,,,N/A,No website,,osm
Jack LaLanne Physical Fitness Studio,Orlando,,,,,,,,N/A,No website,,osm
Kalina Health & Fitness,Orlando,,,,,,,,N/A,No website,,osm
Esporta Fitness,Orlando,,,,,,,,N/A,No website,,osm
Iron Religion Gym,Orlando,FL,International Drive,32819,+1 407 530 9009,,,,N/A,No website,,osm
Blue Swan Boulders,Orlando,FL,400 Pittman Street,32801,,,,,N/A,No website,,osm
Cortland Nona Fitness Center,Orlando,,,,,,,,N/A,No website,,osm
Apex Fit Studios,Orlando,,,,,,,,N/A,No website,,osm
Functional Health & Weight Loss of Lake Nona,Orlando,,,,,,,,N/A,No website,,osm
Power Strength Gym,Orlando,,,,,,,,N/A,No website,,osm
All Inclusive Crossfit,Winter Park,FL,1152 Harmon Avenue,32789,,,,,N/A,No website,,osm
9Round,Orlando,,,,,,,,N/A,No website,,osm
YouFit,Orlando,,,,,,,,N/A,No website,,osm
F45 Training,Orlando,FL,4841 New Broad Street,32814,,,,,N/A,No website,,osm
