name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Gift Shop,Miami,,,,,,,,N/A,No website,,osm
Dash,Miami,,,,,,,,N/A,No website,,osm
Old Navy,Miami,,,,,,,,N/A,No website,,osm
Surf Style,Miami Beach,FL,840 Ocean Drive,33139,,,,,N/A,No website,,osm
Live!,Miami Beach,FL,723 Lincoln Road,33139,,,,,N/A,No website,,osm
Ted Baker,Miami Beach,FL,1103 Lincoln Road,33139,,,,,N/A,No website,,osm
Osklen,Miami Beach,FL,1101 Lincoln Road,33139,,,,,N/A,No website,,osm
Express,Miami,,1036 Lincoln Road,,,,,,N/A,No website,,osm
Vault,Miami,,1024 Lincoln Road,,,,,,N/A,No website,,osm
Lacoste,Miami,,1026 Lincoln Road,,,,,,N/A,No website,,osm
John Varvatos Bowery,Miami,,1020 Lincoln Road,,,,,,N/A,No website,,osm
Beach Bunny,Miami,,1006 Lincoln Road,,,,,,N/A,No website,,osm
Marciano,Miami,,904 Lincoln Road,,,,,,N/A,No website,,osm
Hannah Bella,Miami,FL,2600 Northwest 5th Avenue,33127,,,,,N/A,No website,,osm
Bethel Fashion,Miami,FL,2503 Northwest 5th Avenue,33127,+1 305 573 2122,,,,N/A,No website,,osm
ENT Summit Inc,Miami,FL,2505 Northwest 5th Avenue,33127,+1 305 576 2721,,,,N/A,No website,,osm
D&M Wholesale Linen and Beauty,Miami,FL,2501 Northwest 5th Avenue,33127,+1 305 576 3554,,,,N/A,No website,,osm
Fashion Gallerie Miami,Miami,,,,,,,,N/A,No website,,osm
Michael Kors,Miami,,,,,,,,N/A,No website,,osm
Taxco Sterling Co.,Miami,,,,,,,,N/A,No website,,osm
Wheels Boutique,Miami,,,,,,,,N/A,No website,,osm
motomiami,Miami,,,,,,,,N/A,No website,,osm
Elite Racong Motorsport,Miami,,,,,,,,N/A,No website,,osm
Palmeto Motoshop,Miami,,,,,,,,N/A,No website,,osm
Buybuy Baby,Miami,,,,,,,,N/A,No website,,osm
Carter's,Miami,,,,,,,,N/A,No website,,osm
Labellamafia,Miami,,231A 8th Street,33139,,,,,N/A,No website,,osm
Museum Shop,Miami,,,,,,,,N/A,No website,,osm
The Webster,Miami Beach,FL,1220 Collins Avenue,33139,,,,,N/A,No website,,osm
Duty Free Americas,Miami,,,,,,,,N/A,No website,,osm
Headlines,Miami,,,,,,,,N/A,No website,,osm
Scotch & Soda,Miami,,,,,,,,N/A,No website,,osm
wayman pilot supplies,Miami,FL,13491 Northwest 47th Avenue,33054,,,,,N/A,No website,,osm
Kith,Miami,,1931 Collins Avenue,33139,,,,,N/A,No website,,osm
Soles Inc,Miami,,3030 Grand Avenue,33133,,,,,N/A,No website,,osm
Sneak Attack Miami,Miami,,2519 Northeast 2nd Avenue,33137,,,,,N/A,No website,,osm
Shan,Miami,,,,,,,,N/A,No website,,osm
Epicure Flowers,Miami,,,,,,,,N/A,No website,,osm
Glimpse Active Lifestyle Boutique,Miami,,,,,,,,N/A,No website,,osm
splish,Miami,,,,,,,,N/A,No website,,osm
Simon's Sportswear,Miami Beach,,217 Lincoln Road,33139,,,,,N/A,No website,,osm
Surf Style,Miami,,,,,,,,N/A,No website,,osm
Miami Gift Shop,Miami,,1637 Washington Avenue,33139,,,,,N/A,No website,,osm
Bachi Jewels,Miami,,1627 Washington Avenue,33139,,,,,N/A,No website,,osm
1973 by Mr. R,Miami,,,,,,,,N/A,No website,,osm
Golden,Miami,,,,,,,,N/A,No website,,osm
Bikinis,Miami,,,,,,,,N/A,No website,,osm
Deciem,Miami,,172 Northeast 40th Street,33137,+1 760 870 4893,,,,N/A,No website,,osm
Claudio,Miami,,1602 Washington Avenue,33139,,,,,N/A,No website,,osm
Pan Am Aware,Miami,,,,,,,,N/A,No website,,osm
Calvin Klein,Miami,,,,,,,,N/A,No website,,osm
Penguin,Miami,,,,,,,,N/A,No website,,osm
Miami Inter CF,Miami,,,,,,,,N/A,No website,,osm
Taxco Sterling Co,Miami,,,,,,,,N/A,No website,,osm
Miami Gifts to Go,Miami,,,,,,,,N/A,No website,,osm
Air Essentials,Miami,,,,,,,,N/A,No website,,osm
El Gladiolo Florist,Miami,,246 Northwest 42nd Avenue,33126,,,,,N/A,No website,,osm
I Shine 365,Miami,FL,6560 Southwest 40th Street,33155,,,,,N/A,No website,,osm
V & V Jewelry,Miami,FL,6554 Southwest 40th Street,33155,,,,,N/A,No website,,osm
Flowers & Services,Miami,FL,6600 Southwest 24th Street,33155,,,,,N/A,No website,,osm
Swarovski,Miami Beach,FL,734 Lincoln Road,33139,,,,,N/A,No website,,osm
Variedades Isayana,Miami,FL,1640 Northwest 17th Avenue,33125,,,,,N/A,No website,,osm
Sufi,Miami Beach,FL,639 Lincoln Road,33139,,,,,N/A,No website,,osm
Beach Life Of Miami,Miami Beach,FL,240 71st Street,33141,,,,,N/A,No website,,osm
7-Six The Vacation Supply Co,Miami Beach,FL,200 71st Street,33141,,,,,N/A,No website,,osm
ODDS,Miami,FL,3850 North Miami Avenue,33127,+1-786-452-7030,,,,N/A,No website,,osm
THEARSENALE,Miami,FL,69 Northeast 41st Street,33137,,,,,N/A,No website,,osm
Giorgio Armani,Miami,FL,174 Northeast 39th Street,33137,+1 786 501 7215,,,,N/A,No website,,osm
Reformation,Miami,FL,3911 Northeast 1st Avenue,33137,,,,,N/A,No website,,osm
Maison Margiela,Miami,FL,3930 Northeast 2nd Avenue,33137,+1-786-718-1931,,,,N/A,No website,,osm
Re/done,Miami,FL,99 Northeast 39th Street,33137,,,,,N/A,No website,,osm
Ba&sh,Miami,FL,106 Northeast 40th Street,33137,+1-786-803-8673,,,,N/A,No website,,osm
RAG & BONE,Miami,FL,89 Northeast 41st Street,33137,+1-786-497-5424,,,,N/A,No website,,osm
Thom Browne,Miami,FL,191 Northeast 40th Street,33137,+1-305-603-8287,,,,N/A,No website,,osm
Alice + Olivia,Miami,FL,3922 Northeast 1st Avenue,33137,+1-305-375-6056,,,,N/A,No website,,osm
