name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Georgia Tech Hotel and Conference Center,Atlanta,,,,,,,,N/A,No website,,osm
University Inn,Atlanta,,,,,,,,N/A,No website,,osm
Otto's Apartment Hotel,Atlanta,GA,644 North Highland Avenue Northeast,30306,,,,,N/A,No website,,osm
Greenwood Bed & Breakfast,Atlanta,,,,,,,,N/A,No website,,osm
Ponce De Leon Place Bed & Breakfast,Atlanta,,,,,,,,N/A,No website,,osm
AC Hotel Atlanta Downtown,Atlanta,GA,101 Andrew Young International Boulevard,30303,,,,,N/A,No website,,osm
Cheshire Motor Inn,Atlanta,,,,,,,,N/A,No website,,osm
House Chandler Riggs,Atlanta,,,,,,,,N/A,No website,,osm
Element Atlanta Buckhead,Atlanta,GA,3491 Piedmont Road,30305,,,,,N/A,No website,,osm
"Bellyard, Atlanta, a Tribute Portfolio Hotel",Atlanta,,,,,,,,N/A,No website,,osm
Smyrna Inn,Atlanta,,,,,,,,N/A,No website,,osm
