name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Goodbyes Consignment,San Francisco,,3483 Sacramento Street,,,,,,N/A,No website,,osm
Bath Sense...and more,San Francisco,,,,,,,,N/A,No website,,osm
Reformation,San Francisco,,914 Valencia Street,,,,,,N/A,No website,,osm
Hani Ichi Flowers,San Francisco,,,,,,,,N/A,No website,,osm
Deleuse Jewelers,San Francisco,,,,,,,,N/A,No website,,osm
Y & I Clothing Boutique,San Francisco,,,,,,,,N/A,No website,,osm
Gap,San Francisco,,2159 Chestnut Street,,,,,,N/A,No website,,osm
babyGap,San Francisco,,2169 Chestnut Street,,,,,,N/A,No website,,osm
The APM,San Francisco,,701 Clement Street,,,,,,N/A,No website,,osm
Gold Diggers,San Francisco,,,,,,,,N/A,No website,,osm
Ebony Beauty Supply,San Francisco,,,,,,,,N/A,No website,,osm
Urban Outfitters,San Francisco,,,,,,,,N/A,No website,,osm
Entour,San Francisco,,3600 16th Street,,,,,,N/A,No website,,osm
The Petaler,San Francisco,,773 14th Street,,,,,,N/A,No website,,osm
Rare Vintage Finds,San Francisco,,910 Valencia Street,,,,,,N/A,No website,,osm
Gymboree,San Francisco,,1525 Lakeshore Plaza,,+1-415-242-5637,,,,N/A,No website,,osm
Things Lucky,San Francisco,,1601A Page Street,,+1 415-896-4053,,,,N/A,No website,,osm
Two Birds,San Francisco,,,,,,,,N/A,No website,,osm
ACME Surplus,San Francisco,,,,,,,,N/A,No website,,osm
Andy's Jewelery,San Francisco,,,,,,,,N/A,No website,,osm
Citizen Clothing,San Francisco,,489 Castro Street,94114,+1-415-575-3560,,,,N/A,No website,,osm
Freeborn,San Francisco,,463 Castro Street,94114,+1 415-294-1901,,,,N/A,No website,,osm
Welcome Castro,San Francisco,,525 Castro Street,94114,,,,,N/A,No website,,osm
Retail Therapy,San Francisco,,2086 Chestnut Street,,,,,,N/A,No website,,osm
Chadwick's of London,San Francisco,,Chestnut Street,,,,,,N/A,No website,,osm
G-Star Raw,San Francisco,,,,,,,,N/A,No website,,osm
Safe Harbor,San Francisco,,360 Jefferson Street,,,,,,N/A,No website,,osm
California City Wear,San Francisco,,,,,,,,N/A,No website,,osm
Krazy Kaps,San Francisco,,,,,,,,N/A,No website,,osm
San Francisco Keychain,San Francisco,,,,,,,,N/A,No website,,osm
We Be Knives,San Francisco,,,,,,,,N/A,No website,,osm
Levi's,San Francisco,CA,815 Market Street,,,,,,N/A,No website,,osm
Out of the Closet,San Francisco,,1295 Folsom Street,94103,,,,,N/A,No website,,osm
Trolley-bus Flowers,San Francisco,,,,,,,,N/A,No website,,osm
Sui Generis,San Francisco,,2265 Market Street,94114,,,,,N/A,No website,,osm
LOLA San Francisco,San Francisco,,1250 Sanchez Street,,,,,,N/A,No website,,osm
Lemon Twist,San Francisco,,3418 25th Street,,,,,,N/A,No website,,osm
Nike,San Francisco,,278 Post Street,,,,,,N/A,No website,,osm
Love & Stem,San Francisco,,1585 Church Street,,,,,,N/A,No website,,osm
Buffalo Exchange,San Francisco,,1210 Valencia Street,,,,,,N/A,No website,,osm
Cut Loose Factory Outlet,San Francisco,,1218 Valencia Street,,,,,,N/A,No website,,osm
Eye Thrift,San Francisco,,1264 Valencia Street,,,,,,N/A,No website,,osm
Wharf Central,San Francisco,,,,,,,,N/A,No website,,osm
Couture,San Francisco,CA,424 Sutter Street,,,,,,N/A,No website,,osm
Jewlery Collection,San Francisco,,,,,,,,N/A,No website,,osm
Victoria's Secret,San Francisco,CA,335 Powell Street,94102,+1-415-433-9671,,,,N/A,No website,,osm
Men's Wearhouse,San Francisco,CA,785 Market Street,94103,+1-415-957-9222,,,,N/A,No website,,osm
St. John,San Francisco,CA,767 Market Street,94103,+1-415-856-0420,,,,N/A,No website,,osm
BLOOMING ALLEY,San Francisco,CA,330 Sutter Street,94108,+1-415-391-6574,,,,N/A,No website,,osm
Simi’s,San Francisco,CA,62 West Portal Avenue,94127,,,,,N/A,No website,,osm
GG’s,San Francisco,CA,111 West Portal Avenue,94127,,,,,N/A,No website,,osm
Curiosities,San Francisco,CA,207 West Portal Avenue,94127,,,,,N/A,No website,,osm
Simply Bella,San Francisco,CA,159 West Portal Avenue,94127,,,,,N/A,No website,,osm
Petals,San Francisco,CA,365 West Portal Avenue,94127,,,,,N/A,No website,,osm
Tsering Youdon Jewlery,San Francisco,CA,1200A Polk Street,,,,,,N/A,No website,,osm
Goodwill Boutique,San Francisco,CA,61 West Portal Avenue,94127,,,,,N/A,No website,,osm
West Portal Floral Co.,San Francisco,CA,51 West Portal Avenue,94127,,,,,N/A,No website,,osm
Ernest Bock Jewelers,San Francisco,CA,226 West Portal Avenue,94127,,,,,N/A,No website,,osm
Quoc Long Jewelry,San Francisco,CA,639 Larkin Street,94109,,,,,N/A,No website,,osm
Oriental Art Gallery,San Francisco,CA,1340 9th Avenue,94122,+1 415-681-6448,,,,N/A,No website,,osm
Noo Moon Mini Rodini Pop-up,San Francisco,CA,536 Irving Street,94122,,,,,N/A,No website,,osm
Sunset Mercantile Emporium,San Francisco,CA,653 Irving Street,94122,,,,,N/A,No website,,osm
Ambiance,San Francisco,,756 Irving Street,94122,,,,,N/A,No website,,osm
Wishbone,San Francisco,CA,601 Irving Street,94122,,,,,N/A,No website,,osm
Pepper jack,San Francisco,CA,1232 9th Avenue,94122,,,,,N/A,No website,,osm
Channel 910,San Francisco,CA,910 Irving Street,94122,,,,,N/A,No website,,osm
San Franpsycho,San Francisco,CA,1256 9th Avenue,94122,,,,,N/A,No website,,osm
Sock Shop,San Francisco,,1742 Haight Street,,,,,,N/A,No website,,osm
Monkey Business Shop,San Francisco,,,,,,,,N/A,No website,,osm
Azil Boutique,San Francisco,CA,4010 24th Street,94114,,,,,N/A,No website,,osm
Rabat,San Francisco,CA,4001 24th Street,94114,,,,,N/A,No website,,osm
Qoio,San Francisco,CA,4068 24th Street,94114,,,,,N/A,No website,,osm
The Cable Car Store,San Francisco,,,,+1-415-9892040,,,,N/A,No website,,osm
Powell Florist,San Francisco,CA,1230 Powell Street,,+1 415 7818788,,,,N/A,No website,,osm
Wong Chong Kee Jewelery,San Francisco,,918 Pacific Avenue,,,,,,N/A,No website,,osm
