name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Coast Hotel,San Francisco,,,,,,,,N/A,No website,,osm
Hotel Union Square,San Francisco,,,,,,,,N/A,No website,,osm
Herbert Hotel,San Francisco,,161 Powell Street,,,,,,N/A,No website,,osm
Star Motel,San Francisco,CA,1727 Lombard Street,,,,,,N/A,No website,,osm
Edward II Inn,San Francisco,CA,3155 Scott Street,,,,,,N/A,No website,,osm
Sunnyside Hotel,San Francisco,,135 6th Street,94103,,,,,N/A,No website,,osm
Mayflower Hotel,San Francisco,,975 Bush Street,,,,,,N/A,No website,,osm
Pontiac Hotel,San Francisco,CA,509 Minna Street,94103,,,,,N/A,No website,,osm
Hotel Shahil,San Francisco,CA,664 Larkin Street,94109,,,,,N/A,No website,,osm
Susie Hotel,San Francisco,CA,237 Columbus Avenue,94133,,,,,N/A,No website,,osm
Krishna Hotel,San Francisco,,,,,,,,N/A,No website,,osm
Imagiknit,San Francisco,,519 Sanchez Street,94114,,,,,N/A,No website,,osm
Da Vinci Hotel,San Francisco,,,,,,,,N/A,No website,,osm
Tang Fat Hotel,San Francisco,,,,,,,,N/A,No website,,osm
Hotel Epik,San Francisco,CA,706 Polk Street,94109,,,,,N/A,No website,,osm
The Regency Inn,San Francisco,,,,,,,,N/A,No website,,osm
Hotel Astoria,San Francisco,,,,,,,,N/A,No website,,osm
Franklin Bay Inn,San Francisco,,,,,,,,N/A,No website,,osm
The Crosby on O' Farrell,San Francisco,,,,,,,,N/A,No website,,osm
Htl 587 Ascend Hotel Collection,San Francisco,CA,587 Eddy Street,94109,+1-415-872-7189,,,,N/A,No website,,osm
Union Hotel,San Francisco,CA,2030 Mission Street,,,,,,N/A,No website,,osm
Ram’s Hotel,San Francisco,CA,80 9th Street,94103,,,,,N/A,No website,,osm
Hotel Embassy,San Francisco,,610 Polk Street,,,,,,N/A,No website,,osm
Yale Hotel,San Francisco,CA,633 Larkin Street,94109,,,,,N/A,No website,,osm
Eddy Hotel,San Francisco,CA,640 Eddy Street,94109,,,,,N/A,No website,,osm
Balmoral Hotel North # 3,San Francisco,CA,640 Clay Street,94111,,,,,N/A,No website,,osm
Seneca Hotel,San Francisco,,36 6th Street,,,,,,N/A,No website,,osm
Washington Square Inn,San Francisco,,,,,,,,N/A,No website,,osm
Chase Hotel,San Francisco,,1278 Market Street,,,,,,N/A,No website,,osm
The Line,San Francisco,,,,,,,,N/A,No website,,osm
Hotel 964,San Francisco,,952 Howard Street,,,,,,N/A,No website,,osm
CW Hotel,San Francisco,,917 Folsom Street,,,,,,N/A,No website,,osm
El Capitan Hotel,San Francisco,,2361 Mission Street,,+1 415-695-1597,,,,N/A,No website,,osm
Minna Hotel,San Francisco,,138 6th Street,,,,,,N/A,No website,,osm
Raman Hotel,San Francisco,,1011 Howard Street,,,,,,N/A,No website,,osm
Nob Hill Hotel,San Francisco,,835 Hyde Street,,+1 415-885-2987,,,,N/A,No website,,osm
1770 Pine Grove Apts,San Francisco,,1770 Pine Street,94109,,,,,N/A,No website,,osm
Hotel Castro,San Francisco,,4230 18th Street,,,,,,N/A,No website,,osm
Ocean Park Motel,San Francisco,,,,,,,,N/A,No website,,osm
Crystal Hotel,San Francisco,,2766 Mission Street,,,,,,N/A,No website,,osm
Hotel Madrid,San Francisco,,22 South Park,,,,,,N/A,No website,,osm
