name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Orthodontist,Orlando,,,,,,,,N/A,No website,,osm
Lake Nona Family Dentistry,Orlando,,,,,,,,N/A,No website,,osm
"Dr. Anthony G. Mikulka, DDS",Orlando,FL,5385 Conroy Road,32811,,,,,N/A,No website,,osm
"Ardin B. Manalo D.M.D., P.A.",Orlando,FL,5301 Conroy Road,32811,+1-407-246-0104,,,,N/A,No website,,osm
Nona Kid's Dentist,Orlando,,,,,,,,N/A,No website,,osm
Smiles of Ocoee,Ocoee33,FL,1104 Clarke Road,34761,,,,,N/A,No website,,osm
East Orange Endodontics,Orlando,,,,,,,,N/A,No website,,osm
Ideal Dental,Orlando,,,,,,,,N/A,No website,,osm
Pediatric Dental Group,Orlando,,,,,,,,N/A,No website,,osm
Nona Dental Arts,Orlando,,,,,,,,N/A,No website,,osm
Bright Now Dental,Orlando,,,,,,,,N/A,No website,,osm
Dentists of Ocoee,Orlando,,,,,,,,N/A,No website,,osm
Dentists of Vista,Orlando,,,,,,,,N/A,No website,,osm
Lake Nona Dental Implants and Periodontics of Orlando,Orlando,FL,9145 Narcoossee Road,32827,,,,,N/A,No website,,osm
Greenleaf Dental,Winter Springs,FL,1450 Tuskawilla Road,32708,,,,,N/A,No website,,osm
