name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Attorney Steve Lee,Houston,,,,,,,,N/A,No website,,osm
Citizen Law Firm PLLC,Houston,TX,2616 South Loop West,77054,,,,,N/A,No website,,osm
Weisblatt Law Firm LLC,Houston,TX,1800 Saint James Place,,,,,,N/A,No website,,osm
Gogo U.K. Owor,Houston,,,,,,,,N/A,No website,,osm
Domingo Garcia Law Office,Houston,TX,6200 Gulf Freeway,,,,,,N/A,No website,,osm
Ghuneim Law Firm,Pasadena,TX,3115 Preston Road,,+1 281 487 8929,,,,N/A,No website,,osm
Rosenberg & Associates,Houston,,3518 Travis Street,,,,,,N/A,No website,,osm
Caldwell Fletcher,Houston,,,,,,,,N/A,No website,,osm
"Rita Lucido, PC",Houston,,,,,,,,N/A,No website,,osm
Doyle & Dennis LLP,Houston,,,,,,,,N/A,No website,,osm
The Akers Firm,Houston,,,,,,,,N/A,No website,,osm
Adame Garza,Houston,,,,,,,,N/A,No website,,osm
The Gibson Law Firm,Houston,,,,,,,,N/A,No website,,osm
Greenwood Prather Law Firm,Houston,,,,,,,,N/A,No website,,osm
Law Office of Solis & Yan,Houston,,,,,,,,N/A,No website,,osm
