name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Dots,Tampa,,,,,,,,N/A,No website,,osm
rue21,Tampa,,,,,,,,N/A,No website,,osm
Citi Trends,Tampa,FL,East Fletcher Ave,33613,,,,,N/A,No website,,osm
Shalimar Jewelers,Tampa,,,,,,,,N/A,No website,,osm
Wooden Nickel,Tampa,FL,1441 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Asia Gift Shop,Tampa,FL,1441 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Discount Uniform Mall,Tampa,FL,1402 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Empire Street Wear,Tampa,,,,,,,,N/A,No website,,osm
IQ Outfitters Scrubs & Shool Uniforms,Tampa,,,,,,,,N/A,No website,,osm
Malani Jewelers,Tampa,,,,,,,,N/A,No website,,osm
Brooks Brothers,Tampa,FL,W Swann Ave,33606,,,,,N/A,No website,,osm
Charles Jewlers,Tampa,,,,,,,,N/A,No website,,osm
Hallmark,Tampa,,,,,,,,N/A,No website,,osm
Temple Terrace Florist,Tampa,,,,,,,,N/A,No website,,osm
Ann's Flower Mart,Tampa,,,,,,,,N/A,No website,,osm
Comfy Kids Consignment,Tampa,,,,,,,,N/A,No website,,osm
56th Street Florist,Tampa,,,,,,,,N/A,No website,,osm
On Your Toes,Tampa,,,,,,,,N/A,No website,,osm
Edible Arrangements,Tampa,,,,,,,,N/A,No website,,osm
Mona's Fashion,Tampa,,,,,,,,N/A,No website,,osm
Men's Wearhouse,Tampa,,,,,,,,N/A,No website,,osm
Army-Navy Surplus (and paintball),Tampa,,,,,,,,N/A,No website,,osm
DXL Men's Apparel,Tampa,,,,,,,,N/A,No website,,osm
CURV Exchange,Tampa,,,,,,,,N/A,No website,,osm
Sacino's,Tampa,,,,,,,,N/A,No website,,osm
Diana's Bridal,Tampa,,,,,,,,N/A,No website,,osm
Mona's Floral Creations,Tampa,,4311 West Kennedy Boulevard,,,,,,N/A,No website,,osm
Frank's Formal Wear,Tampa,,4355 West Kennedy Boulevard,,,,,,N/A,No website,,osm
Nature's Kingdom,Tampa,,,,,,,,N/A,No website,,osm
Tree Top Koala shop,Tampa,,,,,,,,N/A,No website,,osm
Giraffe Giftshop,Tampa,,,,,,,,N/A,No website,,osm
Stingray Gift Shop,Tampa,,,,,,,,N/A,No website,,osm
Adventure Outfitters,Tampa,,,,,,,,N/A,No website,,osm
Manatee Cove Gift Shop,Tampa,,,,,,,,N/A,No website,,osm
Lululemon,Tampa,,727 South Dakota Avenue,33606,,,,,N/A,No website,,osm
Lorikeet Landing,Tampa,,,,,,,,N/A,No website,,osm
Mosh Posh,Tampa,,500 S Howard Ave,33606,,,,,N/A,No website,,osm
Fairy Grandmothers' Favorite Shop,Tampa,,3217A South Macdill Avenue,,,,,,N/A,No website,,osm
Features Costumes,Tampa,,,,,,,,N/A,No website,,osm
Scrubs N Stuff,Tampa,,15140 Dale Mabry Highway,,,,,,N/A,No website,,osm
The Look Boutique,Tampa,,,,,,,,N/A,No website,,osm
La France,Tampa,FL,1612 East 7th Avenue,33605,,,,,N/A,No website,,osm
Hayman Jewelry Company,Tampa,FL,305 East Madison Street,33602,,,,,N/A,No website,,osm
Eclectic Gifts,Tampa,FL,1901 North 15th Street,,+1 813-247-6233,,,,N/A,No website,,osm
Lee Brother Jewelry,Tampa,,,,,,,,N/A,No website,,osm
Marcelo's,Tampa,,,,,,,,N/A,No website,,osm
Disney Store,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
Eleganza,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
Everything But Water,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
H&M,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
Hot Topic,Tampa,FL,Suite 183 International Plaza,33607,,,,,N/A,No website,,osm
Jessica McClintock,Tampa,FL,Suite 186 International Plaza,33607,,,,,N/A,No website,,osm
King Jewelers,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
Milano Exchange,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
PacSun,Tampa,FL,Suite 109 International Plaza,33607,,,,,N/A,No website,,osm
Ragz Boutique,Tampa,FL,Suite 107 International Plaza,33607,,,,,N/A,No website,,osm
Urban Outfitters,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
Congo River Outfitters,Tampa,,,,,,,,N/A,No website,,osm
Victoria's Secret,Tampa,,,,,,,,N/A,No website,,osm
Aeropostale,Tampa,,,,,,,,N/A,No website,,osm
Imagine That,Tampa,,,,,,,,N/A,No website,,osm
Salt Pines,Tampa,FL,1609 W Snow Circle,33606,,,,,N/A,No website,,osm
Things Remembered,Tampa,,,,,,,,N/A,No website,,osm
Hollister,Tampa,,,,,,,,N/A,No website,,osm
American Eagle Outfitters,Tampa,,,,,,,,N/A,No website,,osm
Lids,Tampa,,,,,,,,N/A,No website,,osm
Zumiez,Tampa,,,,,,,,N/A,No website,,osm
Torrid,Tampa,,,,,,,,N/A,No website,,osm
Soma,Tampa,,,,,,,,N/A,No website,,osm
Charlotte Russe,Tampa,,,,,,,,N/A,No website,,osm
White House Black Market,Tampa,,,,,,,,N/A,No website,,osm
Pink,Tampa,,,,,,,,N/A,No website,,osm
Pandora,Tampa,,,,,,,,N/A,No website,,osm
The Children's Place,Tampa,,,,,,,,N/A,No website,,osm
Chico's,Tampa,,,,,,,,N/A,No website,,osm
