name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Nail Talk and Tan,Atlanta,,,,+1-404-817-9326,,,,N/A,No website,,osm
Terra Mater Salon,Atlanta,,358,,,,,,N/A,No website,,osm
Randy's,Atlanta,,,,,,,,N/A,No website,,osm
Silver Moon Barber,Atlanta,,,,,,,,N/A,No website,,osm
Yanise Monet,Atlanta,,,,,,,,N/A,No website,,osm
Chocolate Nail Shop,Atlanta,,,,,,,,N/A,No website,,osm
Burden's Barber Shop,Atlanta,,,,,,,,N/A,No website,,osm
Tangles,Atlanta,,,,,,,,N/A,No website,,osm
Groomzmen,Atlanta,,,,,,,,N/A,No website,,osm
Eyebrow Threading Studio,Atlanta,,,,,,,,N/A,No website,,osm
The Hairspot,Atlanta,,,,,,,,N/A,No website,,osm
Brazilian Wax By Andreia,Atlanta,,857 Collier Road Northwest,,,,,,N/A,No website,,osm
Star Salon,Atlanta,,331 Elizabeth Street Northeast,30307,,,,,N/A,No website,,osm
VanMichael's,Atlanta,,778 North Highland Avenue Northeast,30306,,,,,N/A,No website,,osm
Sweet Peach Waxing & Sugaring Studio,Atlanta,GA,776 North Highland Avenue Northeast,30306,,,,,N/A,No website,,osm
Nail Vista,Atlanta,,,,,,,,N/A,No website,,osm
Vista Barber Shop,Atlanta,,,,,,,,N/A,No website,,osm
Salon Bougie,Atlanta,,335 Nelson Street Southwest,30313,,,,,N/A,No website,,osm
Lush,Atlanta,,,,+1-404-549-8553,,,,N/A,No website,,osm
C & S Beauty Supply,Atlanta,GA,87 Peachtree Street Southwest,30303,,,,,N/A,No website,,osm
Original Nails,Atlanta,GA,85 Peachtree Street Southwest,30303,+1-404-681-2244,,,,N/A,No website,,osm
77 Nail Spa,Atlanta,GA,77 Peachtree Street Southwest,30303,+1-404-331-7777,,,,N/A,No website,,osm
City Nails,Atlanta,GA,65 Peachtree Street Southwest,30303,+1-404-223-0400,,,,N/A,No website,,osm
Bella Wax Center,Atlanta,GA,2355 Cumberland Parkway Southeast,30339,,,,,N/A,No website,,osm
Vining's Nails,Atlanta,GA,2355 Cumberland Parkway Southeast,30339,,,,,N/A,No website,,osm
Angel Nails,Atlanta,,,,,,,,N/A,No website,,osm
American haircuts,Brookhaven,GA,4060 Peachtree Road Northeast,30319,,,,,N/A,No website,,osm
Little Barn Apothecary,Atlanta,,,,,,,,N/A,No website,,osm
Tutor,Atlanta,,1581,,,,,,N/A,No website,,osm
Nails & Facial,Atlanta,,Paces Ferry Road Southeast,,,,,,N/A,No website,,osm
Sage Hill Barber Shop,Atlanta,GA,1799 Briarcliff Road Northeast,30306,,,,,N/A,No website,,osm
Swella,Atlanta,,,,,,,,N/A,No website,,osm
Ken Bailey Hair Studio,Atlanta,,,,,,,,N/A,No website,,osm
Julio Caesar’s Salon & Day Spa,Atlanta,,,,,,,,N/A,No website,,osm
Taylor Made Cuts,Atlanta,,,,,,,,N/A,No website,,osm
Starr Nails,Atlanta,,,,,,,,N/A,No website,,osm
Q Nails,Atlanta,,,,,,,,N/A,No website,,osm
LV Nails,Atlanta,,,,,,,,N/A,No website,,osm
Essence Beauty Supply,Atlanta,,,,,,,,N/A,No website,,osm
Majestetic Nails,Atlanta,,,,,,,,N/A,No website,,osm
BodyWax,Atlanta,,,,,,,,N/A,No website,,osm
SpaTaneous Nails,Atlanta,,,,,,,,N/A,No website,,osm
Susan Lee,Atlanta,,,,,,,,N/A,No website,,osm
Sorianas Hair & Nails Salon,Atlanta,,,,,,,,N/A,No website,,osm
Zoe's Beauty,Atlanta,,,,,,,,N/A,No website,,osm
KD Fade,Atlanta,,,,,,,,N/A,No website,,osm
Aviary Beauty,Atlanta,,,,,,,,N/A,No website,,osm
K Nails,Atlanta,,821 Concord Road Southeast,,,,,,N/A,No website,,osm
Ma Signature Hair Salon,Atlanta,,821 Concord Road Southeast,,+1 678-503-2210,,,,N/A,No website,,osm
Wax Thread & Scissors,Atlanta,,1800 South Cobb Drive,,,,,,N/A,No website,,osm
Nail Style,Atlanta,,1600 South Cobb Drive,,,,,,N/A,No website,,osm
Avon,Atlanta,,1300 South Cobb Drive,,,,,,N/A,No website,,osm
Phenix,Atlanta,,850 South Cobb Drive,,,,,,N/A,No website,,osm
Barber Shop,Atlanta,,,,,,,,N/A,No website,,osm
Nails 1st,Atlanta,,,,,,,,N/A,No website,,osm
Pinnacle Hair Design,Atlanta,,3475 South Cobb Drive,,+1 678-424-8604,,,,N/A,No website,,osm
The Barber Shop Tone,Atlanta,,,,,,,,N/A,No website,,osm
Glossier,Atlanta,GA,675 Ponce de Leon Avenue Northeast,30308,,,,,N/A,No website,,osm
Nail Care Spa,Atlanta,,2566 Briarcliff Road Northeast,,,,,,N/A,No website,,osm
Cuts of Diamond,Atlanta,,,,+1-770-437-9792,,,,N/A,No website,,osm
Cutting Up Style Bar,Atlanta,,1184 Concord Road Southeast,,+1 770-435-2018,,,,N/A,No website,,osm
Bleutique,Atlanta,,2484 Briarcliff Road Northeast,,,,,,N/A,No website,,osm
