name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
West Davis Dental,Dallas,,611 North Bishop Avenue,,,,,,N/A,No website,,osm
Erickson Dental,Dallas,,,,,,,,N/A,No website,,osm
Yen Dentistry,Dallas,,,,,,,,N/A,No website,,osm
Legacy Dental,Dallas,,,,,,,,N/A,No website,,osm
Playa Dental,Dallas,,,,,,,,N/A,No website,,osm
MINT Dentistry,Dallas,,,,,,,,N/A,No website,,osm
Jefferson Dental Clinic,Dallas,,,,,,,,N/A,No website,,osm
Orthodontic Specialists of Dallas PA,Dallas,TX,7859 Walnut Hill Lane,75230,,,,,N/A,No website,,osm
Reign Dentistry + Aesthetics,Dallas,TX,7949 Walnut Hill Lane,75230,,,,,N/A,No website,,osm
Archpoint Implant Denstistry,Dallas,,,,,,,,N/A,No website,,osm
Dental Loft,Dallas,TX,8132 Park Lane,75231,,,,,N/A,No website,,osm
Northeast Dallas Dentistry,Dallas,TX,6401 East Northwest Highway,75231,,,,,N/A,No website,,osm
Aspen Dental,Dallas,,,,,,,,N/A,No website,,osm
Brident Dental & Orthodontics,Dallas,,,,,,,,N/A,No website,,osm
Great Expressions Dental Centers,Dallas,,,,,,,,N/A,No website,,osm
Doc's Dental,Dallas,,,,,,,,N/A,No website,,osm
MacArthur Dental,Dallas,,,,,,,,N/A,No website,,osm
My DFW Dentist,Irving,TX,2820 North O'Connor Road,75062,,,,,N/A,No website,,osm
Ideal Dental,Dallas,,140 North MacArthur Boulevard,,+1-972-432-9000,,,,N/A,No website,,osm
Annette Van Natta DDS,Dallas,,,,,,,,N/A,No website,,osm
Comestic & Family Dentistry,Dallas,,,,,,,,N/A,No website,,osm
Jefferson Dental,Dallas,,,,,,,,N/A,No website,,osm
Signature Smiles,Dallas,,,,,,,,N/A,No website,,osm
Allheart Dental,Dallas,,,,,,,,N/A,No website,,osm
24 Hour Dental Care,Dallas,,,,,,,,N/A,No website,,osm
Smile Doctors Braces,Dallas,,,,,,,,N/A,No website,,osm
S.E. Nolley DDS,Dallas,,,,,,,,N/A,No website,,osm
Sherry Lane Dental Offices,Dallas,TX,6033 Sherry Lane,,,,,,N/A,No website,,osm
For You Dental,Dallas,,,,,,,,N/A,No website,,osm
Marsh Lane Dental,Dallas,,,,,,,,N/A,No website,,osm
Kwon Dental,Dallas,,,,,,,,N/A,No website,,osm
Excel Dental Clinic,Dallas,,,,,,,,N/A,No website,,osm
Universal Dental Clinic,Dallas,,,,,,,,N/A,No website,,osm
Dental Dimensions,Dallas,,,,,,,,N/A,No website,,osm
Enamel Dental,Dallas,,,,,,,,N/A,No website,,osm
Ideal dental north Irving,Dallas,,,,,,,,N/A,No website,,osm
Texas A&M School of Dentistry Urgent Care Clinic,Dallas,,,,+1-214-828-8489,,,,N/A,No website,,osm
Trinity Dental Loft - Dallas,Dallas,,650,,,,,,N/A,No website,,osm
Ideal Dental Northeast Dallas,Dallas,TX,6243 Retail Road,75231,,,,,N/A,No website,,osm
Lakewood Family Dental Care,Dallas,TX,6329 Oram St,75214,,,,,N/A,No website,,osm
DentUrgent,Dallas,,13021 Coit Road,,,,,,N/A,No website,,osm
Fine Smile Dental,Dallas,,,,,,,,N/A,No website,,osm
Oak Cliff Dental Center of Bishop Arts Dallas,Dallas,TX,820 North Zang Boulevard,75208,,,,,N/A,No website,,osm
University Park Dental of Park Cities,Dallas,TX,8222 Douglas Avenue,75225,,,,,N/A,No website,,osm
Forest Lane Dental of Northwest Dallas,Dallas,TX,11722 Marsh Ln,75229,,,,,N/A,No website,,osm
ltra Smiles of Valley Ranch,Irving,TX,8870 North MacArthur Boulevard,75063,,,,,N/A,No website,,osm
Knox Dental,Dallas,TX,4514 Cole Avenue,75205,,,,,N/A,No website,,osm
Thrive Dental & Orthodontics,Dallas,,,,,,,,N/A,No website,,osm
Primary Dental,Dallas,,6871 Shady Brook Lane,,,,,,N/A,No website,,osm
Delicate Dental,Dallas,TX,8345 Walnut Hill Lane,75231,,,,,N/A,No website,,osm
Sunrise Dental,Richardson,TX,811 South Central Expressway,75080,+1-972-235-0300,,,,N/A,No website,,osm
Dallas Laser Dentistry,Dallas,TX,7557 Rambler Road,75231,,,,,N/A,No website,,osm
Lakewood Orthodontics,Dallas,,1931 Skillman Street,75206,,,,,N/A,No website,,osm
Knox Village Dentistry,Dallas,,2325 North Fitzhugh Avenue,,,,,,N/A,No website,,osm
Ark Dental,Dallas,,9777 Ferguson Road,,,,,,N/A,No website,,osm
Rodeo Dental,Dallas,,2514 Gus Thomasson Road,,,,,,N/A,No website,,osm
Cosmic Dental,Dallas,,,,,,,,N/A,No website,,osm
Artico Dental,Dallas,,9901 Royal Lane,,,,,,N/A,No website,,osm
East Lake Dental,Dallas,,718 North Buckner Boulevard,,,,,,N/A,No website,,osm
Monarch Dental,Dallas,,9440 Garland Road,,,,,,N/A,No website,,osm
"Chad T. Fletcher, D.D.S",Dallas,,1110 North Buckner Boulevard,,,,,,N/A,No website,,osm
