name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Fort Lee Animal Clinic,New York,,1580 Lemoine Avenue,,,,,,N/A,No website,,osm
Greenwood Veterinary Care,New York,,708 5th Avenue,11232,+1-347-457-5588,,,,N/A,No website,,osm
Fifth Avenue Veterinary Hospital,New York,,9102 5th Avenue,11209,+1-718-748-1066,,,,N/A,No website,,osm
Urban Vets Animal Hospital,New York,,163 Avenue C,10009,+1-212-674-6200,,,,N/A,No website,,osm
Prospect Heights Animal Hospital,Brooklyn,NY,277 Flatbush Avenue,11217,+1-718-789-3647,,,,N/A,No website,,osm
Gotham Animal Clinic,New York,,329 2nd Avenue,10003,+1-212-777-7299,,,,N/A,No website,,osm
BondVet,New York,,47-01 Vernon Boulevard,11101,,,,,N/A,No website,,osm
Veterinary Care Group,New York,,,,,,,,N/A,No website,,osm
South Brooklyn Animal Clinic,Brooklyn,NY,2394 Coney Island Avenue,11223,,,,,N/A,No website,,osm
Queens Veterinary Center,New York,,28-27 Steinway Street,,+1 718-689-2332,,,,N/A,No website,,osm
East Side Animal Hospital,New York,,321 East 52nd Street,,,,,,N/A,No website,,osm
Park Slope Vetrinary Care,New York,,,,,,,,N/A,No website,,osm
Animal Clinic of Long Island City,New York,,32-01 36th Avenue,,+1 718-204-1448,,,,N/A,No website,,osm
Brooklyn Roots Veterinary Hospital,New York,,319 3rd Avenue,11215,,,,,N/A,No website,,osm
Alison Animal Hospital,New York,,,,+1-718-473-0081,,,,N/A,No website,,osm
Park Slope Vetrinary Center,New York,,,,+1-718-369-7387,,,,N/A,No website,,osm
Windsor Terrace Veterinarians,New York,,1252 Prospect Avenue,11218,+1-718-431-8950,,,,N/A,No website,,osm
Hoboken Animal Hospital P.A.,New York,,,,,,,,N/A,No website,,osm
Heights & Hill Veterinary Hospital,New York,,,,,,,,N/A,No website,,osm
Riverside Veterinary Care,New York,NY,428 Columbus Avenue,10024,,,,,N/A,No website,,osm
21 Ave Animal Clinic,New York,,21-27 21st Avenue,11105,,,,,N/A,No website,,osm
Veterinary Medicine & Surgery,New York,,23-70 Steinway Street,,,,,,N/A,No website,,osm
Animal Hospital,New York,,35th Avenue,,,,,,N/A,No website,,osm
Muddy Paws Rescue,New York,,,,,,,,N/A,No website,,osm
Austin Veterinary Care,Forest Hills,NY,Austin Street,,+1 718 480 6100,,,,N/A,No website,,osm
Loving Paws Animal Hospital,New York,,6750 4th Avenue,11220,+1-718-333-5056,,,,N/A,No website,,osm
Animal Clinic of Queens,New York,,,,,,,,N/A,No website,,osm
Animal Empire Veterinary,New York,,Grand Avenue,,,,,,N/A,No website,,osm
Elmhurst Animal Emergency,New York,NY,87-06 Queens Boulevard,11373,,,,,N/A,No website,,osm
The Animal Clinic of new York,New York,,1623 1st Avenue,10028,+1 212-628-5580,,,,N/A,No website,,osm
Clinton Hill Animal Clinic,New York,,476 Myrtle Avenue,11205,,,,,N/A,No website,,osm
Small Door,Brooklyn,NY,118 North 4th Street,11249,+1-718-504-6363,,,,N/A,No website,,osm
Prospect Park Animal Clinic,New York,,,,+1-718-768-6125,,,,N/A,No website,,osm
Reade Street Animal Hospital,New York,,,,,,,,N/A,No website,,osm
Veterinary Emergency Group (VEG),New York,,,,,,,,N/A,No website,,osm
Sutton Animal Hospital,New York,,1147 1st Avenue,,,,,,N/A,No website,,osm
Symphony Vet,New York,,West 96th Street,,,,,,N/A,No website,,osm
York Veterinary Center,New York,,417 East 72nd Street,,,,,,N/A,No website,,osm
University Animal Hospital,New York,,354 East 66th Street,,,,,,N/A,No website,,osm
Manhattan Veterinary Group,New York,,240 East 80th Street,,,,,,N/A,No website,,osm
ABC Animal Hospital,New York,,,,,,,,N/A,No website,,osm
Unlimited Veterinary Care,New York,,84-09 Rockaway Boulevard,,+1 718 296 7700,,,,N/A,No website,,osm
Hospital for Veterinary Surgery,New York,NY,150 Amsterdam Avenue,10023,,,,,N/A,No website,,osm
IAC Urgent Vets,New York,NY,32-33 Junction Boulevard,11369,,,,,N/A,No website,,osm
Abingdon Square Veterinary Clinic,New York,,,,,,,,N/A,No website,,osm
"JAMES ROBINSON, INC.",New York,NY,480,10022,2127526166,,,,N/A,No website,,citydata-new york
EMPIRE DIAMOND CORPORATION,New York,NY,350,10118,2125644777,,,,N/A,No website,,citydata-new york
"HECHT SEWING MACHINE & MOTOR CO., INC.",New York,NY,304,10018,2125635950,,,,N/A,No website,,citydata-new york
IDEAL AUTO EXCHANGE CORP.,New York,NY,8825,11435,7186585132,,,,N/A,No website,,citydata-new york
"CHARLES FRANKEL JEWELER, INC.",New York,NY,1927,11229,7186482712,,,,N/A,No website,,citydata-new york
"FRENCH & COMPANY, INC.",New York,NY,17,10065,2125353330,,,,N/A,No website,,citydata-new york
CENTRAL TIME CLOCK INC.,New York,NY,523,11101,7187844900,,,,N/A,No website,,citydata-new york
"NESLE, INC.",New York,NY,3815,11101,2127550515,,,,N/A,No website,,citydata-new york
"SCHWEITZER, PAUL",New York,NY,108,10011,2126750035,,,,N/A,No website,,citydata-new york
"COMMERCIAL HOTEL, INC.",New York,NY,9636,11429,7184686400,,,,N/A,No website,,citydata-new york
"CARMEL GARAGE, INC.",New York,NY,6861,11375,718-544-2322,,,,N/A,No website,,citydata-new york
"ATTARA, PATRICIA & ATTARA, THERESA",New York,NY,165,11201,9177577792,,,,N/A,No website,,citydata-new york
NEW YORK PARKING 51ST STREET CORP.,New York,NY,251,10022,212-308-5959,,,,N/A,No website,,citydata-new york
"ALMAR GARAGE, INC.",New York,NY,700,10021,2127444750,,,,N/A,No website,,citydata-new york
RAINBOW PARKING CORP.,New York,NY,300,10021,212-308-5959,,,,N/A,No website,,citydata-new york
74 HUDSON STREET PARKING CORP.,New York,NY,74,10013,2124760135,,,,N/A,No website,,citydata-new york
"SHAH, JYOTEE HARESH",New York,NY,,10022,7182753049,,,,N/A,No website,,citydata-new york
TOWER EAST GARAGE CORP.,New York,NY,191,10021,2128887400,,,,N/A,No website,,citydata-new york
"MUTUAL PARKING, INC.",New York,NY,61,10028,2128887400,,,,N/A,No website,,citydata-new york
NEW YORK PARKING 56TH ST. CORP,New York,NY,65,10019,2123085959,,,,N/A,No website,,citydata-new york
CAROLE STORAGE CORPORATION,New York,NY,777,10017,212-753-6116,,,,N/A,No website,,citydata-new york
GEMA PARKING CORP.,New York,NY,333,10003,,,,,N/A,No website,,citydata-new york
"KRD REALTY CO., INC.",New York,NY,330,10036,2122658189,,,,N/A,No website,,citydata-new york
"CIRCLE LINE - SIGHTSEEING YACHTS, INC.",New York,NY,83,10036,2126308810,,,,N/A,No website,,citydata-new york
980 FIFTH AVENUE CORPORATION,New York,NY,980,10075,2123502808,,,,N/A,No website,,citydata-new york
CORNELL UNIVERSITY MEDICAL COLLEGE,New York,NY,404,10021,2127461089,,,,N/A,No website,,citydata-new york
KINGS HIGHWAY REALTY CORP.,New York,NY,5455,11203,7186290197,,,,N/A,No website,,citydata-new york
JIB REALTY HOLDING CORP.,New York,NY,15820,11365,7185912000,,,,N/A,No website,,citydata-new york
"SHAH, SUREKHA P.",New York,NY,,10023,(917) 257-0981,,,,N/A,No website,,citydata-new york
"CHARLES CHERIFF GALLERIES, LTD.",New York,NY,84,10003,2126756131,,,,N/A,No website,,citydata-new york
