name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Elvis Bridal & Tux,Las Vegas,,,,,,,,N/A,No website,,osm
Sky Shop,Las Vegas,,,,,,,,N/A,No website,,osm
Stupidiotic,Las Vegas,,,,,,,,N/A,No website,,osm
The Sixth Space,Las Vegas,,,,,,,,N/A,No website,,osm
Banana Republic,Las Vegas,,,,,,,,N/A,No website,,osm
Michael Kors Outlet,Las Vegas,,,,,,,,N/A,No website,,osm
Lululemon,Las Vegas,,,,,,,,N/A,No website,,osm
J Crew Factory,Las Vegas,,685 South Grand Central Parkway,,,,,,N/A,No website,,osm
RuPaul's Drag Race Store,Las Vegas,,,,,,,,N/A,No website,,osm
Las Vegas Sports Clothing Store,Las Vegas,,,,,,,,N/A,No website,,osm
Signature Gift Shop,Las Vegas,,,,,,,,N/A,No website,,osm
Rich Custom Jewelry,Las Vegas,,,,+1-702-870-8899,,,,N/A,No website,,osm
Friar Tux,Las Vegas,NV,3540 West Sahara Avenue,89102,+1-702-873-8830,,,,N/A,No website,,osm
Burkes,Las Vegas,,,,,,,,N/A,No website,,osm
Pachanga Gift Shop,Las Vegas,NV,2233 South Rainbow Boulevard,89146,,,,,N/A,No website,,osm
Goorin Bros Hat Shop,Las Vegas,,,,,,,,N/A,No website,,osm
Welcome To Fabulous Las Vegas,Las Vegas,,,,,,,,N/A,No website,,osm
Sandro,Las Vegas,,,,,,,,N/A,No website,,osm
Diesel,Las Vegas,,,,,,,,N/A,No website,,osm
Lids,Las Vegas,,,,,,,,N/A,No website,,osm
Paradiso,Las Vegas,NV,,,,,,,N/A,No website,,osm
Aerie,Las Vegas,,,,,,,,N/A,No website,,osm
Maceoo,Las Vegas,NV,,,,,,,N/A,No website,,osm
Grand & Co.,Las Vegas,,,,,,,,N/A,No website,,osm
Quiksilver,Las Vegas,,,,,,,,N/A,No website,,osm
Armani Exchange,Las Vegas,,,,,,,,N/A,No website,,osm
Gucci,Las Vegas,,,,,,,,N/A,No website,,osm
Prada,Las Vegas,,,,,,,,N/A,No website,,osm
Tiffany & Company,Las Vegas,,,,,,,,N/A,No website,,osm
Magnet Max,Paradise,NV,3717 South Las Vegas Boulevard,89109,,,,,N/A,No website,,osm
Viva Las Vegas,Paradise,NV,3717 South Las Vegas Boulevard,89109,,,,,N/A,No website,,osm
Brighton Collectibles,Las Vegas,,,,,,,,N/A,No website,,osm
H&M,Las Vegas,,,,,,,,N/A,No website,,osm
Victoria's Secret,Las Vegas,,,,,,,,N/A,No website,,osm
Robert Graham Outlet,Las Vegas,,,,,,,,N/A,No website,,osm
ETRO,Las Vegas,,,,,,,,N/A,No website,,osm
David Yurman,Las Vegas,,,,,,,,N/A,No website,,osm
Sports Treasures,Las Vegas,,,,,,,,N/A,No website,,osm
Polo Ralph Lauren,Las Vegas,,,,,,,,N/A,No website,,osm
Gap Outlet Kids & Baby,Las Vegas,,,,,,,,N/A,No website,,osm
Express Factory Outlet,Las Vegas,,,,,,,,N/A,No website,,osm
Inspire Me,Las Vegas,,,,,,,,N/A,No website,,osm
Timberland,Las Vegas,,,,,,,,N/A,No website,,osm
Michael Kors,Las Vegas,,,,,,,,N/A,No website,,osm
Karl Lagerfeld,Las Vegas,,,,,,,,N/A,No website,,osm
Perry Ellis,Las Vegas,,,,,,,,N/A,No website,,osm
Swarovski,Las Vegas,,,,,,,,N/A,No website,,osm
Brooks Brothers Factory Store,Las Vegas,,,,,,,,N/A,No website,,osm
VINCE.,Las Vegas,,,,,,,,N/A,No website,,osm
Columbia,Las Vegas,,,,,,,,N/A,No website,,osm
Tommy Hilfiger Kids,Las Vegas,,,,,,,,N/A,No website,,osm
Under Armour,Las Vegas,,,,,,,,N/A,No website,,osm
Burberry,Las Vegas,,,,,,,,N/A,No website,,osm
The North Face,Las Vegas,,,,,,,,N/A,No website,,osm
AG Adriano Goldschmied,Las Vegas,,,,,,,,N/A,No website,,osm
Forever 21,Las Vegas,,,,,,,,N/A,No website,,osm
Nike Factory Store,Las Vegas,,,,,,,,N/A,No website,,osm
Guess Factory,Las Vegas,,,,,,,,N/A,No website,,osm
Vinyard Vines,Las Vegas,,,,,,,,N/A,No website,,osm
Welcome to Las Vegas,Las Vegas,,,,,,,,N/A,No website,,osm
Calvin Klein,Las Vegas,,,,,,,,N/A,No website,,osm
U.S. Polo Assn.,Las Vegas,,,,,,,,N/A,No website,,osm
OshKosh B'gosh,Las Vegas,,,,,,,,N/A,No website,,osm
DKNY,Las Vegas,,,,,,,,N/A,No website,,osm
Rang & Bone New York,Las Vegas,,,,,,,,N/A,No website,,osm
Kay Jewelers,Las Vegas,,,,,,,,N/A,No website,,osm
Lovisa,Las Vegas,,,,,,,,N/A,No website,,osm
Champion,Las Vegas,,,,,,,,N/A,No website,,osm
Viva Vegas,Las Vegas,,,,,,,,N/A,No website,,osm
Hurley,Las Vegas,,,,,,,,N/A,No website,,osm
Zales,Las Vegas,,,,,,,,N/A,No website,,osm
Psycho Bunny,Las Vegas,,,,,,,,N/A,No website,,osm
White House Black Market,Las Vegas,,,,,,,,N/A,No website,,osm
Chico's Outlet,Las Vegas,,,,,,,,N/A,No website,,osm
Joe's Jeans,Las Vegas,,,,,,,,N/A,No website,,osm
