name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Sallustio & Son,New York,,417 Court Street,11231,+1-718-858-9080,,,,N/A,No website,,osm
Headquarters Mechanical,New York,,62 12th Street,11215,+1-718-234-1345,,,,N/A,No website,,osm
Star Plumbing & Heating,New York,,510 72nd Street,11209,+1-718-680-4000,,,,N/A,No website,,osm
Starlite Plumbing & Heating,New York,,1421 63rd Street,11219,+1-718-256-6100,,,,N/A,No website,,osm
William G. Iafe,New York,,6224 5th Avenue,11220,+1-718-492-0767,,,,N/A,No website,,osm
VMC,New York,,29 15th Street,11215,+1-718-854-3335,,,,N/A,No website,,osm
All Pro Plumbing and Heating,New York,,63-03 Forest Avenue,,+17183860393,,,,N/A,No website,,osm
Radant Plumbing & Heating,New York,,497 6th Avenue,11215,+1 719 499 5100,,,,N/A,No website,,osm
Kumo Supplies,New York,,343 Linden Street,,+1-718-381-8680,,,,N/A,No website,,osm
Belsito & Associates,New York,,,,+1 718 768 5246,,,,N/A,No website,,osm
CPH Services,New York,,,,+1-347-407-5540,,,,N/A,No website,,osm
Aqua Plumbing Supply,New York,,1499 Atlantic Avenue,,,,,,N/A,No website,,osm
Anchor Plumbing,New York,,,,,,,,N/A,No website,,osm
S&B Plumbing Heating Contractors Inc.,New York,,,,,,,,N/A,No website,,osm
Early Plumbing,New York,,149 33rd Street,11232,+1-718-499-9799,,,,N/A,No website,,osm
Eastern Metal Plumbing and Hardware,Brooklyn,NY,1029 Manhattan Avenue,11222,,,,,N/A,No website,,osm
AJ Plumbling Supplies,New York,,,,+1-212-219-3826,,,,N/A,No website,,osm
Systems 2000,New York,,424 East 81st Street,,,,,,N/A,No website,,osm
Barolli Plumbing-Heating-Gas,New York,,,,+1-718-333-5885,,,,N/A,No website,,osm
Corona Plumbing,New York,,104-66 Roosevelt Avenue,,+1 718-424-4133,,,,N/A,No website,,osm
Maurro & Sons Plumbing & Heating,New York,,8208 17th Avenue,11214,+1-718-256-1016,,,,N/A,No website,,osm
Agi Sewer & Drains,New York,,1818 McDonald Avenue,,+1 718-344-3346,,,,N/A,No website,,osm
Henry Quentzel Plumbing Supply Co.,New York,,377 Throop Avenue,,,,,,N/A,No website,,osm
"JAMES ROBINSON, INC.",New York,NY,480,10022,2127526166,,,,N/A,No website,,citydata-new york
