name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Brazil Auto Repair,Boston,,621 Somerville Avenue,,,,,,N/A,No website,Get noticed in Boston's competitive market with a modern website showcasing Brazil Auto Repair's expertise and services.,osm
GE Auto Repair,Boston,,631 Somerville Avenue,,+1 781-831-1034,,,,N/A,No website,Get seen by Boston drivers: create a website showcasing GE Auto Repair's expertise and services.,osm
P&E Auto Service,Boston,,446 Western Avenue,02135,,,,,N/A,No website,Get discovered by Boston drivers: build a website that showcases P&E Auto Service's expertise and trust.,osm
Columbia Road Gulf Service,Boston,,,,,,,,N/A,No website,We'll design a modern website showcasing Columbia Road Gulf Service's unique products and Boston charm.,osm
Fellsway Auto Repair,Boston,,,,,,,,N/A,No website,Establish an online presence for Fellsway Auto Repair to attract local customers and improve customer trust.,osm
J&P Garage,Allston,MA,9 Eatonia Street,02134,,,,,N/A,No website,"Elevate J&P Garage's online presence, driving new customers and increased sales, with a modern and functional website.",osm
Prospect Auto,Boston,,247 Prospect Street,,+1 617 354 2300,,,,N/A,No website,Give Boston's car shoppers a reason to choose Prospect Auto with a website that shows they care.,osm
Foreign Auto Center,Boston,,251 Prospect Street,,+1 617 876 1262,,,,N/A,No website,"Elevate your business, connect with Boston's diverse community, and drive more sales with a modern website.",osm
Goodyear,Somerville,MA,1 Bow Street,,,,,,N/A,No website,"Help Goodyear in Somerville, MA drive sales with a modern, user-friendly website that showcases their services.",osm
P & M Service Center,Belmont,,82 Concord Avenue,,,,,,N/A,No website,"Elevate your business with a professional online presence, driving more customers to P & M Service Center.",osm
Boston Village Auto Body & Repairs,Boston,,1 Emery Road,,,,,,N/A,No website,Elevate Boston Village Auto Body's reputation with a website showcasing expertise and quality repairs.,osm
Mercedes-Benz of Boston Service Center,Somerville,MA,259 McGrath Highway,02143,,,,,N/A,No website,Get back on the road with a website that showcases our top-notch service at Mercedes-Benz of Boston.,osm
Dino's Auto Center / Auto Mechanic Sousa,Somerville,MA,308 McGrath Highway,02143,,,,,N/A,No website,Create a website to showcase Dino's Auto Center's reputation and services in the Somerville community.,osm
Barnes & Walsh Auto Body,Somerville,MA,224 Somerville Avenue,02143,,,,,N/A,No website,"Barnes & Walsh Auto Body in Somerville: trusted repairs, expert service, and a website to showcase your excellence.",osm
Firestone Complete Auto Care,Boston,,972 Commonwealth Avenue,,,,,,N/A,No website,Get your wheels turning online: we'll build a user-friendly website for Firestone Complete Auto Care in Boston.,osm
Sullivan Tire & Auto Service,Boston,,950 Commonwealth Avenue,,,,,,N/A,No website,Create an engaging online presence for Sullivan Tire & Auto Service to attract Boston-area customers and increase visibility.,osm
Somerville Auto Repair,Boston,,453 Somerville Avenue,,,,,,N/A,No website,Elevate your auto repair business with a website that showcases expertise and builds trust with Boston customers.,osm
Toucan Auto Center,Boston,,,,,,,,N/A,No website,"Get online with a custom website for Toucan Auto Center, shining a light on Boston's top auto repair shop.",osm
Peter Ford MFG. Co.,Boston,,50 Park Street,,,,,,N/A,No website,Establish a strong online presence with a website that showcases Peter Ford MFG. Co.'s Boston-based expertise.,osm
Parts Authority,Boston,,,,,,,,N/A,No website,Let's build a website that showcases Parts Authority's expertise and drives sales in the Boston area.,osm
Abe's Complete Auto Care,Boston,,,,,,,,N/A,No website,Create a website showcasing Abe's Complete Auto Care expertise and services to attract Boston area car owners.,osm
Fresh Pond Auto Service,Boston,,,,,,,,N/A,No website,Get a website that sparks trust and sets Fresh Pond Auto Service apart from the competition in Boston.,osm
Petrola,Boston,,,,,,,,N/A,No website,Create a modern website for Petrola in Boston to showcase services and attract new customers.,osm
Hillside Auto Repair,Boston,,,,,,,,N/A,No website,"Get online and shine a light on your business, Hillside Auto Repair, and attract Boston's car owners.",osm
"DM Auto Services, Inc.",Boston,,,,,,,,N/A,No website,"Get online and grow with DM Auto Services, a professional website that showcases your expertise and services to Boston.",osm
MacKenzie Motors,Boston,,296 North Beacon Street,02135,+1-617-254-2886,,,,N/A,No website,"Create a website that showcases MacKenzie Motors' Boston inventory, services, and expertise to local car buyers.",osm
Samuels Jaguar Motors,Boston,,296 North Beacon Street,02135,+1-617-787-1187,,,,N/A,No website,Give Boston's luxury car buyers a reason to visit Samuels Jaguar Motors online with a modern website.,osm
Tire Tech Service Center,Boston,,,,,,,,N/A,No website,Get on the road to success with a website that showcases Tire Tech's expertise in Boston.,osm
Amazing Auto Service,Boston,,,,,,,,N/A,No website,Amaze Boston drivers with a website that showcases Amazing Auto Service's expertise and trustworthiness.,osm
Four Wheels Auto,Boston,,,,,,,,N/A,No website,Get online with Four Wheels Auto - boost visibility and drive more sales in Boston.,osm
