name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Timothy P. Alnwick Attorney at Law,New York,,111 Atlantic Avenue,11201,,,,,N/A,No website,,osm
Leonard B. Sukherman,New York,,,,+1-718-787-0500,,,,N/A,No website,,osm
Carl J. Muraco Attorney at Law,New York,,124 Willoughby Avenue,11205,+1-718-938-9732,,,,N/A,No website,,osm
"Guerriera, Feldman & Williams",New York,,363 6th Avenue,11215,+1 718 965 1979,,,,N/A,No website,,osm
"May C. Davy, C.P.A.",New York,,,,+1-718-935-9776,,,,N/A,No website,,osm
Law Office of Zara Javakov,New York,,100 Livingston Street,11201,+1-718-615-4600,,,,N/A,No website,,osm
Law Office of Michael Schaum,New York,,288 8th Street,11215,+1-718-499-4942,,,,N/A,No website,,osm
"Law Office of Cardi, P.C.",New York,,9809 4th Avenue,11209,+1-718-921-2280,,,,N/A,No website,,osm
"The Law Office of C. Laurie Bizzarro, P.C.",New York,,309 82nd Street,11209,+1-718-833-8246,,,,N/A,No website,,osm
Sands & Mammolito P.C.,New York,,,,,,,,N/A,No website,,osm
Shimonov Law,New York,,98-35 Metropolitan Avenue,11375,+1 833 374 4666,,,,N/A,No website,,osm
"Steven T. Gee, P.C.",New York,,,,+1-212-334-8838,,,,N/A,No website,,osm
"Law Office of Stephen Dibrienza, Daniel G. Newman, Olga Onishchuk",New York,,161 East 4th Street,11218,,,,,N/A,No website,,osm
"Hernandez & Paulonis, P.C.",New York,,,,+1-718-502-9744,,,,N/A,No website,,osm
"Nwalor, Esq. & Associates Immigration Law Office",New York,,,,+1-347-378-2554,,,,N/A,No website,,osm
Immigration Law Office,New York,,,,+1-718-749-1133,,,,N/A,No website,,osm
Herskovits PLLC,New York,NY,1185 6th Avenue,10036,,,,,N/A,No website,,osm
Javier Nieves,New York,,384 Broadway,11211,+1-718-388-2309,,,,N/A,No website,,osm
Orochena Law Office,New York,,42-02 48th Avenue,11377,+1-646-580-9692,,,,N/A,No website,,osm
"Law Office Of Omrani & Taub, PC",Elmhurst,NY,75-24 Broadway,11373,+1 212 529 7848,,,,N/A,No website,,osm
Law Offices of Rifat A. Harb,New York,,25-69 Steinway Street,,,,,,N/A,No website,,osm
Law Offices John J. Ciafone Esq.,New York,,25-59 Steinway Street,,+1-718-278-3900,,,,N/A,No website,,osm
Law Office,New York,,1131 Sutter Avenue,,,,,,N/A,No website,,osm
Daniels Norelli Cecere & Tavel PC,New York,,97-77 Queens Boulevard,,+1-718-459-6000,,,,N/A,No website,,osm
"James F. Rooney, Esq.",New York,,86-07 Jamaica Avenue,,,,,,N/A,No website,,osm
"Marianne Gonzales, Esq",New York,,95-07 Jamaica Avenue,,,,,,N/A,No website,,osm
TaxPrePlus,New York,,,,+1 718-366-0900,,,,N/A,No website,,osm
Breuer Herskowitz LLP,New York,,268 Willoughby Avenue,11205,,,,,N/A,No website,,osm
"Bader-Yakaitis, LLP",New York,,40-41 81st Street,,,,,,N/A,No website,,osm
Law office of Okasi & Okasi,New York,,1106 White Plains Road,,,,,,N/A,No website,,osm
Abbott Bushlow & Schechner LLP,New York,,70-11 Fresh Pond Road,,+1-718-366-0464,,,,N/A,No website,,osm
Alomar & Associates PC,New York,,60-89 Myrtle Avenue,,+1-718-456-1845,,,,N/A,No website,,osm
Abogados,New York,,75-21 Broadway,,,,,,N/A,No website,,osm
The Law Firm of Ryan J. Walsh & Associates,New York,,76-12 41st Avenue,,+1-718-793-2488,,,,N/A,No website,,osm
Joseph Poggioli,New York,,,,+1 718 622 8807,,,,N/A,No website,,osm
The Law Office of Jennifer Garcia,New York,,1041 44th Street,,,,,,N/A,No website,,osm
Pacheco & Lugo,New York,,,,+1 866 698 7425,,,,N/A,No website,,osm
Law Office of James Medows,New York,,306 Atlantic Avenue,11201,+1-917-856-1247,,,,N/A,No website,,osm
Domenick Napoletano,New York,,,,+1-718-522-1377,,,,N/A,No website,,osm
Ira S. Levine & Kurt L. Roth,New York,,,,+1-718-855-2110,,,,N/A,No website,,osm
"Rotolo, Bozanian & Yi, LLC.",New York,,,,,,,,N/A,No website,,osm
"Morton J. Weiner, Esq.",New York,,579A 6th Street,11215,,,,,N/A,No website,,osm
