name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Central Commercial Real Estate,Miami,FL,390 Northwest 26th Street,33127,,,,,N/A,No website,,osm
Berkshire Hathaway HomeServices,Coral Gables,FL,135 San Lorenzo Avenue,33146,,,,,N/A,No website,,osm
Douglas Elliman Real Estate,Bay Harbor Islands,FL,1021 Kane Concourse,33154,,,,,N/A,No website,,osm
One Stop Realty,Miami,FL,2530 Southwest 87th Avenue,33165,,,,,N/A,No website,,osm
Leasing Office - District West Gables,Miami,FL,2001 Ludlam Road,33155,,,,,N/A,No website,,osm
luxe living realty,Miami,,,,,,,,N/A,No website,,osm
Sterling Equity Realty,Miami,,,,,,,,N/A,No website,,osm
Caldwell Banker,Miami Beach,FL,1682 Jefferson Avenue,33139,,,,,N/A,No website,,osm
The Keyes Company,Miami,,,,,,,,N/A,No website,,osm
The Brandon Company,Miami,,,,,,,,N/A,No website,,osm
Harmony Homes of Miami,Miami,FL,2331 Southwest 82nd Place,33155,,,,,N/A,No website,,osm
924 bird rd coral gable,Miami,,,,,,,,N/A,No website,,osm
restaurante,Miami,,,,,,,,N/A,No website,,osm
Morgan Whitney Realty,Miami Beach,FL,335 Ocean Drive,33139,,,,,N/A,No website,,osm
Douglas Elliman,Miami,,,,,,,,N/A,No website,,osm
South Pointe Drive Realty,Miami Beach,FL,500 South Pointe Drive,33139,,,,,N/A,No website,,osm
Fortune International Realty,Miami Beach,FL,110 Washington Avenue,33139,,,,,N/A,No website,,osm
E11EVEN Residences Sales Gallery,Miami,FL,1018 North Miami Avenue,33136,,,,,N/A,No website,,osm
Island Realty,Miami,,,,,,,,N/A,No website,,osm
GZI Strategies for Real Estate,Bay Harbor Islands,FL,1132 Kane Concourse,33154,,,,,N/A,No website,,osm
Casa de Maria Realty,Bay Harbor Islands,FL,1045 Kane Concourse,33154,+1 305-331-5686,,,,N/A,No website,,osm
Steinmauer Real Estate Invesment,Bay Harbor Islands,FL,1108 96th Street,33154,,,,,N/A,No website,,osm
Miami Premier Realty,Miami,,,,,,,,N/A,No website,,osm
Opendoor by Bonnie and Ilene,Bay Harbor Islands,FL,1019 96th Street,33154,,,,,N/A,No website,,osm
Elliman Capital,Bay Harbor Islands,FL,1021 96th Street,33154,,,,,N/A,No website,,osm
Avenew Realty,Miami,,,,,,,,N/A,No website,,osm
