name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Bread Coffeehouse,Atlanta,,,,,,,,N/A,No website,,osm
Thumbs Up Diner,Atlanta,,1617 White Way,30344,,,,,N/A,No website,,osm
OZ Pizza,Atlanta,,,,,,,,N/A,No website,,osm
Brake Pad,Atlanta,,,,,,,,N/A,No website,,osm
Terra Terroir Grill and Wine Patio,Atlanta,,,,,,,,N/A,No website,,osm
Seasons American Bar and Grille,Atlanta,,,,,,,,N/A,No website,,osm
Inman Perk Coffee,Atlanta,,,,,,,,N/A,No website,,osm
Park Avenue Deli & Market,Atlanta,,,,,,,,N/A,No website,,osm
The Majestic Diner,Atlanta,,,,+1-404-875-0276,,,,N/A,No website,,osm
Parish Market Cajun Kitchen,Atlanta,,,,,,,,N/A,No website,,osm
"Ray's NY Pizza, Cedar's Mediterranean",Atlanta,,,,+1-404-888-9911,,,,N/A,No website,,osm
Gyro Bros,Atlanta,,,,,,,,N/A,No website,,osm
N.Highland Pub,Atlanta,,,,,,,,N/A,No website,,osm
Agave,Atlanta,,,,,,,,N/A,No website,,osm
Rosa's Pizza,Atlanta,,,,,,,,N/A,No website,,osm
Alibaba's Turkish Food,Atlanta,,,,,,,,N/A,No website,,osm
Sensational Subs,Atlanta,,,,,,,,N/A,No website,,osm
The Side Bar,Atlanta,,,,,,,,N/A,No website,,osm
Paolino Italian Restaurant,Decatur,GA,350 Mead Road,30030,+1-404-975-3146,,,,N/A,No website,,osm
Oakview Coffee,Atlanta,,707,,,,,,N/A,No website,,osm
Mellow Mushroom,Decatur,GA,340 West Ponce de Leon Avenue,30030,,,,,N/A,No website,,osm
Sushi Avenue,Atlanta,,308C W Ponce de Leon Avenue,,,,,,N/A,No website,,osm
Gato Bizco,Atlanta,,1660,,,,,,N/A,No website,,osm
Pit Boss BBQ,Atlanta,,,,+1-404-768-0036,,,,N/A,No website,,osm
Johnny's New York Style Pizza and Subs,Atlanta,,,,,,,,N/A,No website,,osm
Grecian Gyro,Atlanta,,855 Virginia Avenue,,+1-404-762-1627,,,,N/A,No website,,osm
