name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Steinway Auto Repairs,New York,,23-05 Steinway Street,,+1-718-545-6129,,,,N/A,No website,Establish a professional online presence for Steinway Auto Repairs to attract and retain local customers.,osm
Twin Towers Service Station,New York,,1290 Anderson Ave,07024,+1-201-224-8444,,,,N/A,No website,"Elevate your brand with a modern website, boosting visibility and fueling growth for Twin Towers Service Station.",osm
Luna's Tire Shop,New York,,,,+1-718-403-9769,,,,N/A,No website,Get on the road to success with a website that fuels Luna's Tire Shop's New York growth.,osm
Carlos Repair @ Ridge,New York,,264 3rd Avenue,11215,+1-718-832-1413,,,,N/A,No website,Establish an online presence for Carlos Repair @ Ridge in New York to reach a wider customer base.,osm
New Xcell Auto Repair,New York,,,,+1-718-625-4110,,,,N/A,No website,"Get online, get ahead: launch a website to establish credibility and grow business for New Xcell Auto Repair.",osm
BP Jamaica Auto Service,New York,,,,+1-718-647-2580,,,,N/A,No website,Get seen by thousands in New York with a website showcasing BP Jamaica's top-notch auto service.,osm
I & A,New York,,99-20 Metropolitan Avenue,11375,+1 718 520 0800,,,,N/A,No website,"Establish a strong online presence for I & A in New York with a user-friendly, responsive website.",osm
Rush Auto Tire Shop,New York,,1263 Atlantic Avenue,11216,+1-347-533-8054,,,,N/A,No website,Let's put Rush Auto Tire Shop on the map with a website that rolls out excellent customer service.,osm
Chang's Auto Repair,Brooklyn,NY,293 Bond Street,11231,+1-718-858-5845,,,,N/A,No website,Get in gear with a professional website that showcases Chang's Auto Repair's expertise and Brooklyn roots.,osm
Viva Mexico Tire Shop,New York,,,,+1-718-246-7349,,,,N/A,No website,Establish a strong online presence for Viva Mexico Tire Shop in New York to attract more customers.,osm
Mario's Auto Repair,New York,,,,+1-718-638-6465,,,,N/A,No website,Elevate Mario's Auto Repair in New York with a user-friendly website for seamless service bookings and trust-building transparency.,osm
Friendly Auto Repair,New York,,,,+1-929-250-2461,,,,N/A,No website,Get seen by thousands of potential customers with a professional website for Friendly Auto Repair in New York.,osm
Quality Repair Center,New York,,,,+1-718-491-6161,,,,N/A,No website,"Help New York locals find trusted, local repair services with a user-friendly website for Quality Repair Center.",osm
Neptune Auto Parts,Brooklyn,NY,255 Neptune Avenue,11235,+1 718-646-1133,,,,N/A,No website,Neptune Auto Parts in Brooklyn needs a website that showcases their products and services for the local community.,osm
67th St. Tire Shop,New York,,6702 5th Avenue,11220,+1-718-833-6482,,,,N/A,No website,Help 67th St. Tire Shop in NYC roll into the digital age with a user-friendly online presence.,osm
TMB Services,New York,,1414 62nd Street,11219,+1-718-232-1724,,,,N/A,No website,Bring TMB Services into the digital age with a professional website showcasing your expertise in New York.,osm
Los Primos Tire Shop,New York,,6302 4th Avenue,11220,+1-718-792-7541,,,,N/A,No website,Establish a strong online presence for Los Primos Tire Shop and attract more customers to your New York location.,osm
Automotriz,New York,,212 56th Street,11220,+1-646-474-7787,,,,N/A,No website,"Create a sleek online presence for Automotriz New York, showcasing your expertise and services to local car owners.",osm
Genesis of Brooklyn Service & Parts,Brooklyn,NY,126 51st Street,11232,,,,,N/A,No website,"Get found, get fixed: a website for Genesis of Brooklyn Service and Parts to shine in Brooklyn's competitive market.",osm
Alex Collision & Auto Repair,New York,,260 42nd Street,11232,+1-718-832-0332,,,,N/A,No website,Get seen in New York - a website for Alex Collision & Auto Repair boosts trust and drives customers.,osm
A 1st Stop Auto Repair,New York,,,,+1-929-298-0098,,,,N/A,No website,Get ahead of the competition in New York car repair with a custom website from A 1st Stop.,osm
Friends Tire Shop,New York,,900 4th Avenue,11232,,,,,N/A,No website,Let us create a website that gets your Friends Tire Shop rolling in New York.,osm
Chino's Tire Shop,New York,,,,+1-646-379-8943,,,,N/A,No website,"Get in gear with Chino's Tire Shop's online presence, reaching NYC drivers in need of reliable service.",osm
Kings Fort Hamilton Tires & Rims,New York,,3623 Fort Hamilton Parkway,11218,,,,,N/A,No website,"Bring your business into the 21st century, and give customers a seamless online experience at Kings Fort Hamilton Tires & Rims.",osm
Punctual Auto Center,New York,,18 Church Avenue,11218,+1-718-438-2700,,,,N/A,No website,"Elevate your New York reputation with a modern website, increasing customer trust and loyalty.",osm
Brooklyn Auto Sound & Glass,New York,,626 4th Avenue,11215,+1-718-369-3030,,,,N/A,No website,Get found online with a website that showcases Brooklyn Auto Sound & Glass's top-notch auto services and repair expertise.,osm
Prospect Auto Repair,New York,,628 4th Avenue,11215,+1-718-788-7683,,,,N/A,No website,Create a website for Prospect Auto Repair to showcase services and attract new customers in New York.,osm
Ultra Service Center,New York,,,,,,,,N/A,No website,Get online and stand out from the competition with a custom website for Ultra Service Center.,osm
Kings Plaze Auto Repair,New York,,,,,,,,N/A,No website,Get online and shine with a website that showcases Kings Plaza Auto Repair's top-notch service in New York.,osm
10 Minute Oil Change,New York,,504 Utica Avenue,11203,,,,,N/A,No website,Get back on the road fast with 10 Minute Oil Change's reliable services and expert New York technicians.,osm
FTS Fama Tire Shop,New York,,2770 Atlantic Avenue,11207,+1-929-368-1563,,,,N/A,No website,Bring FTS Fama Tire Shop into the digital age with a modern website that drives New York customers to your doors.,osm
Jimmy's Auto Repair Shop,New York,,,,+1-718-647-7150,,,,N/A,No website,Get found online in the Big Apple - a website for Jimmy's Auto Repair Shop.,osm
Mufflers Discount Center,New York,,,,+1-718-346-0466,,,,N/A,No website,"Mufflers Discount Center, bring your expertise to New York's auto repair market with a professional website.",osm
K&W Chung,New York,,301 Rockaway Avenue,11233,+1-718-342-0720,,,,N/A,No website,Establish a professional online presence with a custom website showcasing K&W Chung's services and expertise in New York.,osm
Marino Tire Shop,New York,,304 Throop Avenue,11206,+1-718-404-6004,,,,N/A,No website,Help Marino Tire Shop in New York establish an online presence and boost local customer base.,osm
Unique Truck & Auto,New York,,,,+1-718-855-1488,,,,N/A,No website,Help Unique Truck & Auto shine in New York with a website that showcases their exceptional repair services.,osm
Arys Complete Auto Repair,New York,,568A Grand Avenue,11238,+1-646-387-8529,,,,N/A,No website,"Get online with Arys Complete Auto Repair: expert service, trusted reputation, and a website to prove it.",osm
Frontline Automotive,New York,,568D Grand Avenue,11238,,,,,N/A,No website,Get online with a website that showcases Frontline Automotive's New York expertise and car repair services today.,osm
Thumbs Up Tire Shop,New York,,418 Hooper Street,11211,+1-718-384-0022,,,,N/A,No website,Thumbs Up Tire Shop: Get a grip on your online presence and drive more customers to your New York location.,osm
David's Auto Service,New York,,321 McGuinness Boulevard,11222,+1-718-609-9150,,,,N/A,No website,Get online with David's Auto Service and rev up your business in the competitive New York market.,osm
JP Auto Repair,New York,,50-37 69th Place,11377,+1-728-639-4668,,,,N/A,No website,Get online and get ahead: a professional website for JP Auto Repair in New York.,osm
Five Five Auto Repair,Queens,NY,50-01 69th Street,11377,+1-718-478-6588,,,,N/A,No website,Get noticed in Queens: Let Five Five Auto Repair shine online with a modern website that drives real results.,osm
DMJ Auto Truck Repair,Woodside,NY,69-33 51st Avenue,11377,,,,,N/A,No website,"Elevate your auto repair business with a professional online presence, connecting you to Woodside customers.",osm
Master Auto Body Supplies,New York,,56-19 Northern Boulevard,11377,,,,,N/A,No website,Rev up your online presence with a website that shows off Master Auto Body Supplies' expertise.,osm
Auto Body & Repair Inc.,New York,,36-04 Steinway Street,11101,+1 718-472-3300,,,,N/A,No website,Get noticed in the Big Apple with a website that showcases your top-notch auto repair services.,osm
Kings Automotive,New York,,36-06 Steinway Street,11101,+1 718-757-0378,,,,N/A,No website,Take your New York business to the next level with a modern website for Kings Automotive.,osm
TM&T Complete Auto Repairs,New York,,41-15 Northern Boulevard,11101,+1 718-729-3500,,,,N/A,No website,"Get back on the road with TM&T Complete Auto Repairs - expert repair services, now online.",osm
NY Best Auto Repair Inc,New York,,21-20 Newtown Avenue,11102,+1 718 274 9389,,,,N/A,No website,"Get online, grow your business: NY Best Auto Repair Inc, we'll drive traffic to your doorstep.",osm
Central Collision,New York,,,,,,,,N/A,No website,"Help Central Collision dominate the New York auto repair scene with a high-quality, user-friendly website.",osm
Apex,New York,,,11377,+17184572643,,,,N/A,No website,"Help Apex establish its presence in New York with a modern, intuitive website that showcases its expertise.",osm
Mark's Motors,New York,,,,,,,,N/A,No website,Help Mark's Motors drive more sales with a professional website that showcases their New York services.,osm
Universal Auto Tech and Body Works,New York,,,,+1-718-707-0410,,,,N/A,No website,Get noticed in the Big Apple - create a website for Universal Auto Tech and Body Works.,osm
A&M Auto Repair,New York,,,,,,,,N/A,No website,Get noticed on the road to success with a professional website for A&M Auto Repair.,osm
Gotham City Collision,New York,,,,,,,,N/A,No website,Get back on the road in Gotham City with a website that showcases our expert collision repair services.,osm
Daikin,New York,,,,,,,,N/A,No website,Create a dynamic website for Daikin New York to showcase products and services to the local market effectively.,osm
Jassi's Auto Body,New York,,,,,,,,N/A,No website,"Establish a strong online presence for Jassi's Auto Body, showcasing expertise and attracting local customers.",osm
Hybrid Auto,New York,,,,,,,,N/A,No website,Establish a strong online presence with a website that showcases Hybrid Auto's unique services and local expertise.,osm
Tire shop,New York,,1919 Cropsey Avenue,,,,,,N/A,No website,Get ahead of the competition in the Big Apple with a website that's as tough as NYC streets.,osm
Paul Auto Alarm,New York,,5-02 Broadway,,,,,,N/A,No website,Help Paul Auto Alarm shine in the New York market with a customized online presence.,osm
C&F tire corp,New York,,33-11 Astoria Boulevard,,,,,,N/A,No website,"Get ahead in the competitive New York tire market with a modern, informative C&F Tire Corp website.",osm
Thala Auto Detail Center,New York,,40-13 Astoria Boulevard,,,,,,N/A,No website,Transform your New York car detail business with a stunning online presence that drives more customers to Thala Auto Detail Center.,osm
Exclusive Auto Plus Corp.,New York,,108-04 47th Avenue,,+1 718-810-8392; +1 718-271-1737,,,,N/A,No website,Exclusive Auto Plus Corp. needs a sleek online presence to showcase luxury vehicles and establish credibility.,osm
#1 Queens Auto Repair,New York,,37-20 23rd Street,,,,,,N/A,No website,Get back on the road to success with a website that showcases Queens Auto Repair's top-notch service.,osm
Freddy's 2 Auto Repair,New York,,37-26 23rd Street,,,,,,N/A,No website,"Freddy's 2 Auto Repair needs a website, not just a fix-it shop, but a trusted New York resource.",osm
Wyckoff Halsey Auto Service,New York,,981 Wyckoff Avenue,,+1-718-366-4386,,,,N/A,No website,Get seen by thousands of New Yorkers with a website showcasing Wyckoff Halsey Auto Service expertise.,osm
Beauty and the Beast Auto Repair,New York,,,,,,,,N/A,No website,"Get back on the road with Beauty and the Beast Auto Repair - expert service, a fair price.",osm
LLL Auto Repair,New York,,524-528 President Street,11215,+1-718-488-9244,,,,N/A,No website,Get your shine back: LLL Auto Repair needs a website to rev up online visibility.,osm
"Quicken Auto Mechanic, Inc.",New York,,1659 Woodbine Street,,+1-718-821-1114,,,,N/A,No website,"Get seen by 8 million New Yorkers, drive more customers and grow your auto repair business online.",osm
Five Star Auto Body,New York,,63-51 Forest Avenue,,+1-718-821-6581,,,,N/A,No website,Transform your NYC auto repair reputation with a website that shines like a freshly polished bumper.,osm
Red Line Tire Center,Queens,NY,110-09 Northern Boulevard,11369,+1 718 672 7600,,,,N/A,No website,Get ahead of the competition with a professional online presence for Red Line Tire Center.,osm
El Casique,New York,,25-01 25th Avenue,,,,,,N/A,No website,"Give El Casique a digital voice, showcasing Latin-inspired cuisine and vibrant New York culture to the world.",osm
