name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Jollibee,Chicago,IL,116 South Michigan Avenue,60603,+1-312-270-8909,,,,N/A,No website,,osm
Sbarro,Chicago,IL,1725 West Polk Street,60612,,,,,N/A,No website,,osm
Park Place Cafe,Chicago,,,,,,,,N/A,No website,,osm
Lou Malnati's Pizzeria,Chicago,IL,958 West Wrightwood Avenue,60614,,,,,N/A,No website,,osm
Savor the Flavor,Chicago,,,,,,,,N/A,No website,,osm
Rocks Lincoln Park,Chicago,IL,1301 West Schubert Avenue,60614,,,,,N/A,No website,,osm
Gaslight,Chicago,,,,,,,,N/A,No website,,osm
Brunos Lounge,Chicago,IL,6562 North Sheridan Road,60626,+1-773-764-7900,,,,N/A,No website,,osm
Bird's Nest,Chicago,,,,,,,,N/A,No website,,osm
The Ginger Man Tavern,Chicago,IL,3740 North Clark Street,60613,+1-773-549-2050,,,,N/A,No website,,osm
Wild Hare,Chicago,,,,,,,,N/A,No website,,osm
Range,Chicago,,,,,,,,N/A,No website,,osm
Mo's,Chicago,,,,,,,,N/A,No website,,osm
Royal Highness Zhu,Chicago,,,,,,,,N/A,No website,,osm
Golden Apple,Chicago,IL,2971 North Lincoln Avenue,60657,+1-773-528-1413,,,,N/A,No website,,osm
Pockets,Chicago,IL,3001 North Lincoln Avenue,60657,,,,,N/A,No website,,osm
Giordano's Pizzeria,Chicago,IL,1040 West Belmont Avenue,60657,,,,,N/A,No website,,osm
Tapas Barcelona,Evanston,IL,1615 Chicago Avenue,60201,+1-847-866-9900,,,,N/A,No website,,osm
Buffalo Joe's,Evanston,IL,812 Clark Street,60201,+1-847-328-5525,,,,N/A,No website,,osm
Koi,Evanston,IL,624 Davis Street,60201,,,,,N/A,No website,,osm
Mt. Everest Restaurant,Evanston,IL,630 Church Street,60201,+1-847-491-1069,,,,N/A,No website,,osm
Habibi In Mediterranean Grill,Evanston,IL,825 Church Street,60201,,,,,N/A,No website,,osm
Stella's Diner,Chicago,IL,3042 North Broadway,60657,,,,,N/A,No website,,osm
Canton Express,Chicago,,,,,,,,N/A,No website,,osm
Efebina's,Chicago,,,,,,,,N/A,No website,,osm
Rock's,Chicago,IL,3463 North Broadway,60657,,,,,N/A,No website,,osm
Eggsperience Pancakes & Cafe,Chicago,IL,3233 North Broadway,60657,,,,,N/A,No website,,osm
Ping Pong Asian-Thai,Chicago,,,,,,,,N/A,No website,,osm
Charlie's Chicago,Chicago,IL,3726 North Broadway,60613,,,,,N/A,No website,,osm
Circuit,Chicago,,,,,,,,N/A,No website,,osm
Las Mananitas,Chicago,IL,3523 North Halsted Street,60657,+1-773-528-2109,,,,N/A,No website,,osm
Hydrate,Chicago,IL,3458 North Halsted Street,60657,,,,,N/A,No website,,osm
Roscoe's Tavern & Cafe,Chicago,IL,3356 North Halsted Street,60657,,,,,N/A,No website,,osm
Progress Bar Chicago,Chicago,,,,,,,,N/A,No website,,osm
Savanna Restaurant,Chicago,IL,3334 North Halsted Street,60657,,,,,N/A,No website,,osm
Scarlet,Chicago,IL,3320 North Halsted Street,,,,,,N/A,No website,,osm
Ino's Pizzeria,Chicago,IL,5973 North Clark Street,60660,+1-773-275-8830,,,,N/A,No website,,osm
Huaraches Dona Chio,Chicago,IL,1547 West Elmdale Avenue,60660,,,,,N/A,No website,,osm
Nilda's Place,Chicago,IL,1858 West Iowa Street,60622,,,,,N/A,No website,,osm
El Burrito Mexicano,Chicago,IL,936 West Addison Street,60613,,,,,N/A,No website,,osm
Rosati's,Chicago,IL,2218 North California Avenue,60647,,,,,N/A,No website,,osm
Bobby Love's,Chicago,IL,3729 North Halsted Street,60613,+1 773-525-1200,,,,N/A,No website,,osm
Cole's Bar,Chicago,IL,2338 North Milwaukee Avenue,60647,,,,,N/A,No website,,osm
Budacki's,Chicago,,,,,,,,N/A,No website,,osm
House of Wings,Chicago,,2447 North Clark Street,,,,,,N/A,No website,,osm
Nine,Chicago,,,,,,,,N/A,No website,,osm
Tapas Restarurant/Bar,Chicago,,,,,,,,N/A,No website,,osm
