name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
ATI Physical Therapy,Peoria,AZ,9494 West Northern Avenue,85305,,,,,N/A,No website,,osm
Alliance Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Desert Institute of Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Surgenex,Phoenix,,,,,,,,N/A,No website,,osm
ATI Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Precision Physical Therapy & Sports Medicine,Phoenix,,,,,,,,N/A,No website,,osm
Athletico Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Foothills Physical Sports Therapy,Phoenix,AZ,15432 South Mountain Parkway,85048,+1-480-940-8299,,,,N/A,No website,,osm
South Mountain Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
ATI Physical Therapy,Tempe,AZ,5110 South Rural Road,85282,,,,,N/A,No website,,osm
Banner Physical Therapy,Tempe,AZ,East Baseline Road,85283,,,,,N/A,No website,,osm
Spooner Physical Therapy,Avondale,AZ,10721 West Indian School Road,85392,,,,,N/A,No website,,osm
STI Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Preferred Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Valley Rehabilitation,Phoenix,,,,,,,,N/A,No website,,osm
Spooner Estrella Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Complete Physical Therapy,Phoenix,AZ,4110 North 108th Avenue,85037,,,,,N/A,No website,,osm
IHPT Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Play Smart Pediatric Therapy Center,Phoenix,AZ,1990 West Camelback Road,85015,,,,,N/A,No website,,osm
Spooner Physical Therapy,Phoenix,,,,,,,,N/A,No website,,osm
Empower Physical Therapy,Phoenix,,11851 North 51st Avenue,,+1-623-934-1154,,,,N/A,No website,,osm
