name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
New England Collections,Boston,,,,,,,,N/A,No website,,osm
Streets Boutique,Boston,,,,,,,,N/A,No website,,osm
Bobby from Boston,Boston,,,,,,,,N/A,No website,,osm
Coleen's Flower Shop,Boston,,,,,,,,N/A,No website,,osm
On Centre,Boston,,676 Centre Street,,+1 617 522-2255,,,,N/A,No website,,osm
Lux Bond & Green,Boston,,416 Boylston Street,,,,,,N/A,No website,,osm
Wild Goose Chase,Boston,,,,,,,,N/A,No website,,osm
Boston Gift Shop,Boston,,,,,,,,N/A,No website,,osm
Indigo Fire,Boston,,,,,,,,N/A,No website,,osm
Wagner Jewelers,Boston,,,,+1 617 776 7500,,,,N/A,No website,,osm
Denise Hajjar,Boston,,,,,,,,N/A,No website,,osm
Wing's Flowers,Boston,,,,,,,,N/A,No website,,osm
Abercrombie & Fitch,Boston,,1 Faneuil Hall Marketplace,,,,,,N/A,No website,,osm
Banana Republic,Somerville,MA,599 Assembly Row,02145,,,,,N/A,No website,,osm
Brooks Brothers,Somerville,MA,660 Assembly Row,02145,,,,,N/A,No website,,osm
J.Crew,Somerville,MA,600 Assembly Row,02145,,,,,N/A,No website,,osm
La Sirenita,Allston,MA,248 Brighton Avenue,02134,,,,,N/A,No website,,osm
Hatched,Boston,,668 Centre Street,,,,,,N/A,No website,,osm
Elleyo Handmade Jewelry Artisan Goods,Jamaica Plain,MA,146 South Street,02130,,,,,N/A,No website,,osm
T&C Jewelry Co.,Boston,,693 Centre Street,,+1 617 522-4744,,,,N/A,No website,,osm
Old Navy,Boston,,,,,,,,N/A,No website,,osm
Harvard Coop,Boston,,,,,,,,N/A,No website,,osm
Primark,Boston,,,,,,,,N/A,No website,,osm
Best of Boston,Boston,,354 North Market Street,,+1-617-227-3962,,,,N/A,No website,,osm
J. August Harvard Shop,Boston,,,,,,,,N/A,No website,,osm
Harvard Shop,Boston,,,,,,,,N/A,No website,,osm
Boston Tops,Boston,,,,,,,,N/A,No website,,osm
K&G,Boston,,,,,,,,N/A,No website,,osm
OshKosh B'gosh,Boston,,,,,,,,N/A,No website,,osm
American Eagle Outfitters,Somerville,MA,541 Assembly Row,02145,,,,,N/A,No website,,osm
Pandora,Somerville,MA,505 Assembly Row,02145,,,,,N/A,No website,,osm
Athleta,Somerville,MA,501 Assembly Row,02145,,,,,N/A,No website,,osm
Ann Taylor,Boston,,,,,,,,N/A,No website,,osm
Reebok,Somerville,MA,540 Assembly Row,02145,,,,,N/A,No website,,osm
Charlotte Russe,Boston,,,,,,,,N/A,No website,,osm
Express Factory Outlet,Somerville,MA,301 Artisan Way,02145,,,,,N/A,No website,,osm
Kay Jewelers,Somerville,MA,360 Artisan Way,02145,,,,,N/A,No website,,osm
Nike,Somerville,MA,300 Artisan Way,02145,,,,,N/A,No website,,osm
Tax Duty Free,Boston,,,,,,,,N/A,No website,,osm
Victoria's Secret,Boston,,,,,,,,N/A,No website,,osm
Hudson,Boston,,,,,,,,N/A,No website,,osm
The Bead Factory,Boston,,,,,,,,N/A,No website,,osm
iStore Boutique,Boston,,,,,,,,N/A,No website,,osm
GoGo Gifts,Boston,,,,,,,,N/A,No website,,osm
Shop BOS,Boston,,,,,,,,N/A,No website,,osm
Travel and Leisure,Boston,,,,,,,,N/A,No website,,osm
Boston Jewels,Boston,,,,,,,,N/A,No website,,osm
Rainbow,Boston,,Winter Street,,,,,,N/A,No website,,osm
Gap,Boston,,,,,,,,N/A,No website,,osm
Drinkwater's,Boston,,,,,,,,N/A,No website,,osm
Keezer's,Boston,,,,,,,,N/A,No website,,osm
Buffalo Exchange,Somerville,MA,238 Elm Street,02144,,,,,N/A,No website,,osm
Gap,Cambridge,MA,15 Brattle Street,02138,,,,,N/A,No website,,osm
Petali,Boston,,,,,,,,N/A,No website,,osm
Lucy's League,Boston,,,,,,,,N/A,No website,,osm
Newbury Comics,Boston,,,,,,,,N/A,No website,,osm
I Love Boston Sports,Boston,,,,,,,,N/A,No website,,osm
Michal Negrin,Boston,,,,,,,,N/A,No website,,osm
Urban Outfitters,Boston,,,,,,,,N/A,No website,,osm
Boston Pewter Company,Boston,,,,,,,,N/A,No website,,osm
The Harvard Shop,Boston,,,,,,,,N/A,No website,,osm
Marine Layer,Boston,,,,,,,,N/A,No website,,osm
Laura Jean Floral Design,Boston,,,,,,,,N/A,No website,,osm
The Andover Shop,Boston,,,,,,,,N/A,No website,,osm
Rossy Jewelry,Boston,,,,,,,,N/A,No website,,osm
Talbots,Boston,,,,,,,,N/A,No website,,osm
Gorjana,Boston,MA,209 Newbury Street,02116,,,,,N/A,No website,,osm
Maison de Mer,Boston,MA,23 Dartmouth Street,02116,+1-617-803-2192,,,,N/A,No website,,osm
Kendall Flower Shop,Boston,,,,,,,,N/A,No website,,osm
Old Navy,Watertown,MA,110 Arsenal Yards Boulevard,02472,+1 617 744 6271,,,,N/A,No website,,osm
Joyeria Sofia y Variedad,Boston,,,,+1 617 561 0270,,,,N/A,No website,,osm
Loly's Boutique,Boston,,,,,,,,N/A,No website,,osm
New England Collection,Boston,,,,,,,,N/A,No website,,osm
Omar & Oscar Jewelry,East Boston,MA,100 Meridian Street,02128,+1 617-561-4452,,,,N/A,No website,,osm
Girle Tata Boutique,East Boston,MA,119 London Street,02128,,,,,N/A,No website,,osm
