name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Adams Park Recreation Center,Atlanta,GA,,,,,,,N/A,No website,,osm
Adamsville Recreation Center,Atlanta,GA,,,,,,,N/A,No website,,osm
Allen Temple Recreation Center,Atlanta,GA,,,,,,,N/A,No website,,osm
Grove Park Recreation Center,Atlanta,GA,,,,,,,N/A,No website,,osm
College Street Recreation Center,Atlanta,GA,,,,,,,N/A,No website,,osm
Ben Hill Park Recreation Center,Atlanta,GA,,,,,,,N/A,No website,,osm
X3 Sports,Atlanta,,"240, Suite 2B North Highland Avenue Northeast",30307,,,,,N/A,No website,,osm
Trinity fitness,Atlanta,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Atlanta,GA,855 Emory Point Drive,30329,+1 404-698-0251,,,,N/A,No website,,osm
Pink Barre,Atlanta,,,,,,,,N/A,No website,,osm
VIllage Fitness,Atlanta,,1231 Glenwood Avenue Southeast,30316,,,,,N/A,No website,,osm
CorePower Yoga,Atlanta,GA,650 North Avenue Northeast,30308,,,,,N/A,No website,,osm
Sung Ming Shu dojo,Atlanta,GA,465 Boulevard Southeast,30312,,,,,N/A,No website,,osm
Complex Fitness Room,Atlanta,,,,,,,,N/A,No website,,osm
Sanskrit Moon,Atlanta,,,,,,,,N/A,No website,,osm
Kennedy Natatorium,Atlanta,,,,,,,,N/A,No website,,osm
Challenge Aerial,Atlanta,,464,,,,,,N/A,No website,,osm
Barre3,Atlanta,,2480 Briarcliff Road Northeast,,,,,,N/A,No website,,osm
Core Power Yoga,Atlanta,,2484 Briarcliff Road Northeast,,,,,,N/A,No website,,osm
Hotworx,Atlanta,GA,780 Memorial Drive Southeast,30316,,,,,N/A,No website,,osm
The Sky Barre Downtown Beltline,Atlanta,GA,210 Bill Kennedy Way,30316,,,,,N/A,No website,,osm
The Hidden Gym,Atlanta,,,,,,,,N/A,No website,,osm
Grindhouse Fitness,Atlanta,GA,1833 Peachtree Street Northeast,30309,,,,,N/A,No website,,osm
Sharkie's Swim Academy,Atlanta,,,,,,,,N/A,No website,,osm
Aqua Tots Swim School,Atlanta,,,,,,,,N/A,No website,,osm
Pace,Atlanta,,,,,,,,N/A,No website,,osm
Go Hard Fitness,Atlanta,,2080 Defoor Avenue Northwest,,,,,,N/A,No website,,osm
Syretch Zone,Atlanta,,857 Collier Road Northwest,,,,,,N/A,No website,,osm
Village Skatepark ATL,Atlanta,GA,1060 Donald Lee Hollowell Parkway Northwest,30318,,,,,N/A,No website,,osm
Yoga Energy Center,Atlanta,,,,,,,,N/A,No website,,osm
Intown Pilates Atlanta,Atlanta,,550 Amsterdam Avenue Northeast,,+1-404-575-2333,,,,N/A,No website,,osm
Madabolic,Atlanta,,661 Auburn Avenue Northeast,30312,,,,,N/A,No website,,osm
Discovery Ropes Course,Atlanta,,,,,,,,N/A,No website,,osm
