name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Closet Masters,Scottsdale,AZ,16055 North Dial Boulevard,85260,,,,,N/A,No website,,osm
Closet Factory,Phoenix,,,,,,,,N/A,No website,,osm
Murphy Bed Lifestyles,Phoenix,,,,,,,,N/A,No website,,osm
Apple Blossom Woodworks,Phoenix,,,,,,,,N/A,No website,,osm
Custom Woodworking & Remodeling,Phoenix,,,,,,,,N/A,No website,,osm
Hardwoods - Phoenix,Phoenix,,,,,,,,N/A,No website,,osm
D&F Cabinets,Phoenix,,,,,,,,N/A,No website,,osm
Q Com Partners,Phoenix,AZ,902 North 17th Avenue,85007,,,,,N/A,No website,,osm
Cutting Edge Components,Phoenix,,,,,,,,N/A,No website,,osm
Vande Hey Associates LLC,Phoenix,,,,,,,,N/A,No website,,osm
Peter Thomas Designs,Phoenix,,,,,,,,N/A,No website,,osm
Premium Millwork,Phoenix,AZ,4222 South 36th Place,85040,,,,,N/A,No website,,osm
