name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Melrose Pet Clinic,Los Angeles,,,,,,,,N/A,No website,,osm
Miller Robertson Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Rosecrans Veterinary Clinic,Los Angeles,,5267 Rosecrans Avenue,,,,,,N/A,No website,,osm
Overland Veterinary Clinic,Los Angeles,CA,3465 Overland Avenue,,,,,,N/A,No website,,osm
Center Sinai Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Sepulveda Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
City of Angels,Los Angeles,,,,,,,,N/A,No website,,osm
Beverly Robertson Veterinary Clinic,Los Angeles,,,,,,,,N/A,No website,,osm
VCA Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Grand Park Animal Hospital,Los Angeles,CA,333 South Alameda Street,90013,,,,,N/A,No website,,osm
West LA Veterinary,Los Angeles,,,,,,,,N/A,No website,,osm
VCA Century,Los Angeles,,,,,,,,N/A,No website,,osm
Pasternak Veterinary Center,Los Angeles,,,,,,,,N/A,No website,,osm
Rancho Park Veterinary Clinic,Los Angeles,,,,,,,,N/A,No website,,osm
Culver Palms Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
VCA Animal Hospitals Urgent Care - Mar Vista,Los Angeles,CA,12108 Venice Boulevard,90066,+1-310-558-5121,,,,N/A,No website,,osm
Value Vet,Los Angeles,,,,,,,,N/A,No website,,osm
Carlsen Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Culver City Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Emerald Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Pacific Animal Clinic,Los Angeles,,,,,,,,N/A,No website,,osm
Westside Pet Clinic,Los Angeles,,1304 Wilshire Boulevard,,,,,,N/A,No website,,osm
Brent-Air Veterinary,Los Angeles,,,,,,,,N/A,No website,,osm
Banfield Pet Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Fox Hills Animal Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Westchester Veterinary Center,Los Angeles,,8911 South Sepulveda Boulevard,,,,,,N/A,No website,,osm
Santa Monica Veterinary Group,Los Angeles,,,,,,,,N/A,No website,,osm
Stewart Veterinary,Los Angeles,,,,,,,,N/A,No website,,osm
Santa Monica Dog and Cat Hospital,Los Angeles,,,,,,,,N/A,No website,,osm
Wayfarer,Los Angeles,,2024 Hyperion Avenue,90027,+1-323-662-8197,,,,N/A,No website,,osm
California Animal Rehabilitation,Los Angeles,,,,,,,,N/A,No website,,osm
Green Dog Dental,Los Angeles,,,,,,,,N/A,No website,,osm
Modern Animal,Los Angeles,,,,,,,,N/A,No website,,osm
Veterinary Emergency Group,Los Angeles,,,,,,,,N/A,No website,,osm
Papaya,Los Angeles,,,,,,,,N/A,No website,,osm
Urgent Care Animal hostpital,Los Angeles,,,,,,,,N/A,No website,,osm
