name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Synergy at Mira Bella,San Diego,CA,3455 Kearny Villa Road,92123,,,,,N/A,No website,,osm
Bayview Inn,San Diego,,801 National City Boulevard,,,,,,N/A,No website,,osm
Travel Time Motel,San Diego,,5447 El Cajon Boulevard,92115,,,,,N/A,No website,,osm
"Red Roof Inn - Pacific Beach, San Diego",San Diego,,4545 Mission Bay Drive,92109,,,,,N/A,No website,,osm
Extended Stay America - San Diego - Fashion Valley,San Diego,,7440 Mission Valley Road,92108,,,,,N/A,No website,,osm
Quality Inn San Diego Downtown North,San Diego,,1840 4th Avenue,92101,,,,,N/A,No website,,osm
Navajo Lodge,San Diego,,5721 El Cajon Boulevard,92115,,,,,N/A,No website,,osm
Cassia Hotels,National City,,425 Roosevelt Avenue,91950,,,,,N/A,No website,,osm
The Pearl Hotel,San Diego,,1410 Rosecrans Street,92106,,,,,N/A,No website,,osm
Rodeway Inn San Diego Beach SeaWorld Area,San Diego,,4345 Mission Bay Drive,92109,,,,,N/A,No website,,osm
West Park Inn,San Diego,,1830 4th Avenue,92101,,,,,N/A,No website,,osm
Zephyr,San Diego,,4360 Alvarado Canyon Road,92120,,,,,N/A,No website,,osm
Clarion Hotel National City San Diego South,San Diego,,700 National City Boulevard,,,,,,N/A,No website,,osm
Handlery Hotel San Diego,San Diego,,,,,,,,N/A,No website,,osm
Hotel Iris,San Diego,,,,,,,,N/A,No website,,osm
Sommerset Suites Hotel,San Diego,,,,,,,,N/A,No website,,osm
Pidgeon at Monte Viston,San Diego,,,,,,,,N/A,No website,,osm
La Quinta Inn & Suites San Diego SeaWorld/Zoo,San Diego,CA,645 Camino del Rio South,92108,+1 619-295-6886,,,,N/A,No website,,osm
Motel San Diego,San Diego,CA,4780 Mission Bay Dr,92109,+1 858-273-6533,,,,N/A,No website,,osm
Navy Gateway Inn and Suites,San Diego,CA,,,,,,,N/A,No website,,osm
Ebb Tide Motel,San Diego,,,,,,,,N/A,No website,,osm
Abpopa Hillcrest,San Diego,,3776 4th Avenue,92103,,,,,N/A,No website,,osm
