name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
H-E-B Pharmacy,Austin,TX,5808 Burnet Road,78756,+1-512-454-6691,,,,N/A,No website,,osm
H-E-B Pharmacy,Pflugerville,TX,201 Farm to Market 685,78660,+1-512-251-9037,,,,N/A,No website,,osm
Peoples Pharmacy,Austin,,,,,,,,N/A,No website,,osm
H-E-B Pharmacy,Westlake Hills,TX,701 Capital of Texas Highway,78746,+1-512-329-5184,,,,N/A,No website,,osm
Liberty Pharmacy,Austin,,,,,,,,N/A,No website,,osm
People's Pharmacy,Austin,,,,,,,,N/A,No website,,osm
NuCara Pharmacy,Austin,TX,6111 Burnet Road,78757,,,,,N/A,No website,,osm
Nau's Enfield Drug,Austin,,,,,,,,N/A,No website,,osm
VMC Pharmacy,Austin,,,,,,,,N/A,No website,,osm
Metrix Pharmacy,Austin,TX,2121 West Parmer Lane,78727,,,,,N/A,No website,,osm
