name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Dr Fred Purcell General Dentistry,Chicago,,,,,,,,N/A,No website,,osm
Douglas R Hasegawa DDS,Skokie,IL,Dempster Street,60076,,,,,N/A,No website,,osm
Lincoln Square Orthodontics,Chicago,,,,,,,,N/A,No website,,osm
North Shore Dental,Evanston,IL,635 Chicago Avenue,60202,+1-847-491-0880,,,,N/A,No website,,osm
DentalWorks,Chicago,,,,,,,,N/A,No website,,osm
Evanston Family Dental Associates,Evanston,,823 Chicago Avenue,60202,+1-847-491-1200,,,,N/A,No website,,osm
Way Dental,Evanston,IL,2424 Main Street,60202,,,,,N/A,No website,,osm
Dental Arts Specialists,Evanston,IL,1964 Dempster Street,60202,,,,,N/A,No website,,osm
Radiant Smile,Evanston,IL,1632 Maple Avenue,60201,+1-847-328-8573,,,,N/A,No website,,osm
Premier Dental Care,Evanston,IL,1819 Church Street,60201,,,,,N/A,No website,,osm
Big Smile Dental,Chicago,IL,2833 North Milwaukee Avenue,60618,,,,,N/A,No website,,osm
Julianne Carrara DMD MS Limited,Chicago,IL,2551 North Clark Street,60614,+1 773 244 1933,,,,N/A,No website,,osm
Advantage Dental,Chicago,,,,,,,,N/A,No website,,osm
1st Dental,Chicago,,,,,,,,N/A,No website,,osm
Dental Magic,Chicago,IL,West North Avenue,60647,,,,,N/A,No website,,osm
Lakeview Dental Arts,Chicago,IL,3115 North Broadway,60657,+1-773-270-5000,,,,N/A,No website,,osm
Cicero Irving Park Dental,Chicago,,,,,,,,N/A,No website,,osm
Family Dental,Chicago,,,,,,,,N/A,No website,,osm
Brite Dental,Chicago,,,,,,,,N/A,No website,,osm
Dentologie,Chicago,IL,353 East Grand Avenue,60611,,,,,N/A,No website,,osm
East Village Dental,Chicago,,,,,,,,N/A,No website,,osm
Impress,Evanston,IL,901 Church Street,60201,,,,,N/A,No website,,osm
Aspen Dental,Chicago,IL,1114 South Clinton Street,60607,,,,,N/A,No website,,osm
America's Best Dental Solutions,Chicago,IL,2941 West Addison Street,60618,,,,,N/A,No website,,osm
Devon Dental,Chicago,,,,,,,,N/A,No website,,osm
Northside Dental,Chicago,,,,,,,,N/A,No website,,osm
1st Family Dental Andersonville,Chicago,IL,5333 North Clark Street,60640,,,,,N/A,No website,,osm
Pearl aesthetics & dentistry,Chicago,IL,1009 West Webster Avenue,60614,,,,,N/A,No website,,osm
Healthy Smiles Inc. Family Dentistry,Chicago,,,,,,,,N/A,No website,,osm
Elevate Dental Wellness,Chicago,,,,,,,,N/A,No website,,osm
Lincolnwood Family Dental,Lincolnwood,IL,4368 West Touhy Avenue,60712,+18476109272,,,,N/A,No website,,osm
Family Dentist,Chicago,IL,5240 North Pulaski Road,60630,,,,,N/A,No website,,osm
Dental Sunshine Chicago,Chicago,IL,1609 West 18th Street,60608,+1 312-633-0400,,,,N/A,No website,,osm
Chicago Smile Design,Chicago,,West North Avenue,,+1-312-664-2100,,,,N/A,No website,,osm
Allure Dental,Chicago,,,,,,,,N/A,No website,,osm
The Dental Loft,Chicago,IL,111 West Washington Street,60602,,,,,N/A,No website,,osm
First Dental Center,Chicago,,4108 North Sheridan Road,,+1 773-244-6517,,,,N/A,No website,,osm
Pure Design Dentistry,Chicago,,,,,,,,N/A,No website,,osm
Modern Dental Logan Square,Chicago,IL,2645 North Milwaukee Avenue,60647,,,,,N/A,No website,,osm
Apple Dental Care,Chicago,IL,2062 North Milwaukee Avenue,60647,,,,,N/A,No website,,osm
Sparrow Dental,Chicago,,,,,,,,N/A,No website,,osm
Beloved Community Family Wellness Center - Dental Clinic,Chicago,IL,6853 South Halsted Street,60621,,,,,N/A,No website,,osm
Smile Studio Chicago,Chicago,IL,East Hyde Park Boulevard,60615,,,,,N/A,No website,,osm
Presidential Dental Associates,Chicago,IL,564 West Washington Boulevard,60661,+1-312-902-3131,,,,N/A,No website,,osm
The Dental Practice of Lincoln Park,Chicago,,,,,,,,N/A,No website,,osm
Lee Orthodontics,Chicago,,,,,,,,N/A,No website,,osm
Dental Clinic,Chicago,,,,,,,,N/A,No website,,osm
Pilsen Smiles,Chicago,,971 West 18th Street,,,,,,N/A,No website,,osm
Ora Dental Studio,Chicago,IL,26 North Sangamon Street,60607,,,,,N/A,No website,,osm
Millennium Dental,Chicago,,,,,,,,N/A,No website,,osm
West Loop Smile Studio,Chicago,,,,,,,,N/A,No website,,osm
Get It Straight Orthodontics,Chicago,,,,,,,,N/A,No website,,osm
Enamel Dental,Chicago,,1061 West Jackson Boulevard,,,,,,N/A,No website,,osm
Aligner Experts,Chicago,IL,810 West Monroe Street,60607,,,,,N/A,No website,,osm
Pediatric Dental Care,Chicago,,,,,,,,N/A,No website,,osm
motto Clear Aligners,Chicago,,,,,,,,N/A,No website,,osm
Smiles On Ashland,Chicago,,,,,,,,N/A,No website,,osm
Old Town Dental Care,Chicago,IL,1504 North Wells Street,60610,,,,,N/A,No website,,osm
Affinity Dental,Chicago,,,,,,,,N/A,No website,,osm
West Loop Dental Associates,Chicago,IL,1111 West Madison Street,60607,+13126665166,,,,N/A,No website,,osm
Zephyr Dental,Chicago,IL,3531 North Western Avenue,60618,,,,,N/A,No website,,osm
Smile Design Studio Of Hyde Park LLC,Chicago,IL,1525 East 53rd Street,60615,,,,,N/A,No website,,osm
Gleam Dental Studio,Chicago,IL,669 North Milwaukee Avenue,60642,,,,,N/A,No website,,osm
Post Family Dental In The Loop,Chicago,IL,333 Michigan Avenue,60601,,,,,N/A,No website,,osm
In Smyle,Chicago,,3514 North Lincoln Avenue,,,,,,N/A,No website,,osm
Noble Dentistry of Chicago,Chicago,IL,3052 North Lincoln Avenue,60657,,,,,N/A,No website,,osm
Regen Smile Studio,Chicago,IL,1610 West Belmont Avenue,60657,,,,,N/A,No website,,osm
Westend Dental of Lincoln Park Chicago,Chicago,IL,1170 West Armitage Avenue,60614,,,,,N/A,No website,,osm
Dental Group Of Chicago,Chicago,,1556 South Michigan Avenue,,,,,,N/A,No website,,osm
South & West Loop Dental,Chicago,,601-605 West Roosevelt Road,,,,,,N/A,No website,,osm
Advantage Dental Care,Chicago,IL,7300 North Western Avenue,60645,,,,,N/A,No website,,osm
Dental 360,Chicago,IL,6720 North Clark Street,60626,,,,,N/A,No website,,osm
Todo Dental,Chicago,IL,3750 West 26th Street,60623,,,,,N/A,No website,,osm
A-PLUS CLEANING & MAINTANANCE,Chicago,IL,1009 N HUMPHREY,60302,,,,,N/A,No website,,citydata-chicago
"Calumet City Plumbing & Heating Co., Inc.",Chicago,IL,645  STATE ST,60409,,,,,N/A,No website,,citydata-chicago
