name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Maplewood Pharmacy,Dallas,TX,2515 Inwood Road,75235,+1-844-627-9663,,,,N/A,No website,,osm
Pharmacy Toi,Irving,TX,8300 North MacArthur Boulevard,75063,+19728072663,,,,N/A,No website,,osm
Tom Thumb Pharmacy,Dallas,TX,315 South Hampton Road,75208,,,,,N/A,No website,,osm
Valley View Pharmacy,Farmers Branch,TX,12879 Josey Lane,75234,+1 972 982 2232,,,,N/A,No website,,osm
Sam's Club Pharmacy,Dallas,TX,9461 Webb Chapel Road,75220,+1-972-869-0172,,,,N/A,No website,,osm
Sam's Club,Dallas,,,,,,,,N/A,No website,,osm
Cash Saver Pharmacy,Dallas,,,,,,,,N/A,No website,,osm
Las Colinas Pharmacy,Dallas,,,,,,,,N/A,No website,,osm
Sam's Club Pharmacy,Irving,TX,1213 Market Place Boulevard,75063,+1 972 401 0230,,,,N/A,No website,,osm
Savon Pharmacy,Dallas,TX,320 Casa Linda Plaza,75218,+1-214-319-8221,,,,N/A,No website,,osm
Tom Thumb Pharmacy,Addison,TX,14280 Marsh Lane,75001,+1 972 241 4532,,,,N/A,No website,,osm
Walgreen's,Dallas,,,,,,,,N/A,No website,,osm
