name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Fazoli's,Nashville,,,,,,,,N/A,No website,,osm
Blue Gene's 37203,Nashville,,,,,,,,N/A,No website,,osm
Buds n Brews,Nashville,TN,1024 Woodland Street,37206,,,,,N/A,No website,,osm
Broadway Brewhouse and Mojo,Nashville,,1900 Broadway,,,,,,N/A,No website,,osm
Thai Kitchen,Nashville,,,,,,,,N/A,No website,,osm
Zoofari Cafe,Nashville,,,,,,,,N/A,No website,,osm
No. 1 Chinese,Nashville,,,,,,,,N/A,No website,,osm
Bailey & Cato Family Restaurant,Nashville,,1307 McGavock Pike,37216,,,,,N/A,No website,,osm
Beer Sellar,Nashville,,107 Church Street,,,,,,N/A,No website,,osm
Vinyl Tap,Nashville,,,,,,,,N/A,No website,,osm
Sweet Cece's Frozen Yogurt,Nashville,,,,,,,,N/A,No website,,osm
Fido,Nashville,TN,21st Avenue South,,,,,,N/A,No website,,osm
Burgur Up,Nashville,,,,,,,,N/A,No website,,osm
Las Paletas,Nashville,,,,,,,,N/A,No website,,osm
Edley's BBQ,Nashville,,,,,,,,N/A,No website,,osm
Gabby's Burgers,Nashville,,,,,,,,N/A,No website,,osm
Goten Restaurant and Sushi Bar,Nashville,,,,,,,,N/A,No website,,osm
Ted's Montana Grill,Nashville,,,,,,,,N/A,No website,,osm
Maggie Moo's Ice Cream,Nashville,,,,,,,,N/A,No website,,osm
Which Wich?,Nashville,,,,,,,,N/A,No website,,osm
Rumba,Nashville,,,,,,,,N/A,No website,,osm
BrickTop's,Nashville,,,,,,,,N/A,No website,,osm
Tin Angel,Nashville,,,,,,,,N/A,No website,,osm
Smoothie King,Nashville,,,,,,,,N/A,No website,,osm
Stoney River Legendary Steaks,Nashville,,,,,,,,N/A,No website,,osm
Jeni's Splendid Ice Cream,Nashville,,,,,,,,N/A,No website,,osm
Rose Pepper,Nashville,,,,,,,,N/A,No website,,osm
Marche Artisan Foods,Nashville,,,,,,,,N/A,No website,,osm
Ninki,Nashville,,,,,,,,N/A,No website,,osm
Erbil Kebab Restaurant,Nashville,,3734 Nolensville Pike,37211,,,,,N/A,No website,,osm
Grassmere Grill,Nashville,,3802 Nolensville Pike,37211,,,,,N/A,No website,,osm
The Twin Kegs,Nashville,,413 West Thompson Lane,37211,,,,,N/A,No website,,osm
Kebab Gyro,Nashville,,718 Thompson Lane,37204,,,,,N/A,No website,,osm
El Mariachi Mexican Restaurant,Nashville,,614 Thompson Lane,37204,,,,,N/A,No website,,osm
Las Cazuelas,Nashville,,4114 Nolensville Pike,37211,,,,,N/A,No website,,osm
Tacos y Mariscos El Amigo,Nashville,,3901 Nolensville Pike,37211,,,,,N/A,No website,,osm
Pupuseria Salvadorena,Nashville,,340 Welch Road,37211,,,,,N/A,No website,,osm
Kebab Gyros,Nashville,,3416 Nolensville Pike,37211,,,,,N/A,No website,,osm
Tacos y Mariscos “El Tapatio” #2,Nashville,TN,3611 Nolensville Pike,37211,,,,,N/A,No website,,osm
Norman Couser's Country Cookin',Nashville,,3754 Nolensville Pike,37211,,,,,N/A,No website,,osm
Guantanamera Restaurant,Nashville,,3744 Nolensville Pike,37211,,,,,N/A,No website,,osm
12 South Taproom,Nashville,,,,,,,,N/A,No website,,osm
Portland Brew,Nashville,,1921 Eastland Avenue,37206,,,,,N/A,No website,,osm
Taj Indian Restaurant,Nashville,,3943 Nolensville Pike,37211,,,,,N/A,No website,,osm
Pupuseria Reina La Benedicion,Nashville,,300 Timmons Street,37211,,,,,N/A,No website,,osm
Pupuseria La Metapaneca,Nashville,,3013 Nolensville Pike,37211,,,,,N/A,No website,,osm
Rock Bottom Brewery,Nashville,,111 Broadway,,,,,,N/A,No website,,osm
The Silver Dollar Saloon,Nashville,,110 2nd Avenue North,,,,,,N/A,No website,,osm
Fleet Street Pub,Nashville,,207 Printers Alley,,,,,,N/A,No website,,osm
Fiddle & Steel Guitar Bar,Nashville,,210 Printers Alley,,,,,,N/A,No website,,osm
Bourbon Street Blues & Boogie Bar,Nashville,,220 Printers Alley,,,,,,N/A,No website,,osm
Deviance foods. Gyros,Nashville,,210 4th Avenue North,,,,,,N/A,No website,,osm
Entry Mexican Restaurant,Nashville,,139 2612 ave,,,,,,N/A,No website,,osm
The Well Coffeehouse,Nashville,,,,,,,,N/A,No website,,osm
Vanderbilt Hospital Cafeteria,Nashville,,,,,,,,N/A,No website,,osm
Margot,Nashville,,,,,,,,N/A,No website,,osm
The Pub - Nashville,Nashville,TN,400 11th Avenue South,37203,,,,,N/A,No website,,osm
The Black Abbey,Nashville,,,,,,,,N/A,No website,,osm
craft brewed,Nashville,,,,,,,,N/A,No website,,osm
Taco Mamacita,Nashville,,,,,,,,N/A,No website,,osm
Bella Napoli Pizzeria,Nashville,,,,,,,,N/A,No website,,osm
Old Glory,Nashville,,,,,,,,N/A,No website,,osm
Edgehill Cafe,Nashville,TN,1201 Villa Place,37212,,,,,N/A,No website,,osm
Barcelona Wine Bar,Nashville,,,,,,,,N/A,No website,,osm
Checkers,Nashville,,,,,,,,N/A,No website,,osm
Bastion,Nashville,TN,434 Houston Street,37210,,,,,N/A,No website,,osm
Sir Pizza,Nashville,,,,,,,,N/A,No website,,osm
China Buffet,Nashville,,,,,,,,N/A,No website,,osm
Nations Bar and Grill,Nashville,,,,,,,,N/A,No website,,osm
