name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Postillion immigration law,Orlando,,,,,,,,N/A,No website,,osm
Dra LilianA,Orlando,,1060 Woodcock Road,,,,,,N/A,No website,,osm
"Swann Hadley Stump Dietrich & Spears, P.A.",Winter Park,FL,200 East New England Avenue,32789,,,,,N/A,No website,,osm
"Maiorova Law Group, PLLC",Orlando,FL,6965 Piazza Grande Avenue,32835,,,,,N/A,No website,,osm
Willbur Law,Orlando,FL,55 East Pine Street,32801,,,,,N/A,No website,,osm
"Adam Ross Littman, P.A.",Winter Park,FL,1801 Lee Road,32789,,,,,N/A,No website,,osm
"Wolny & Slanda, PLC",Winter Park,FL,1801 Lee Road,32789,,,,,N/A,No website,,osm
"William Dietz, P.A.",Winter Park,FL,1801 Lee Road,32789,,,,,N/A,No website,,osm
"The Sanders Firm, P.A",Winter Park,FL,1801 Lee Road,32789,,,,,N/A,No website,,osm
Harris Harris Bauerle Lopez,Winter Park,FL,1801 Lee Road,32789,,,,,N/A,No website,,osm
